MID_WU_C_1_IN_#001	신룡 님, 실례하지.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	일어났나.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	미안하다, 내가 깨우러 올 필요도 없었군.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	잘 자는걸.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	기분 좋게 자는 모습을 보니까\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	나도 조금 졸린데…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	하암… 안 되지, 신성한 제단에서…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	아, 좋은 아침이야.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	조금만 있으면 나도 잘 뻔했는데…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	일어나 줘서 고맙군.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	디아만드다. 신룡 님을 깨우러 달려왔지.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	인기척을 감지하고\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	바로 일어나다니…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	역시 대단해.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	그런데, 어떻게 깨워야 할까.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	큰 소리로 깨우자니\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	모처럼 자는데 심하다는 생각이 드는걸.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	일어났나?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	미안하군, 깨우기가 안쓰러워서…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	스스로 일어나기를 기다렸어. 좋은 아침이야.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 님, 오늘 작전 회의 말인데…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	자고 있었나.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	피곤하면 쉬는 게 좋아.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	오늘은 취소하고 날을 다시 잡도록 모두에게 전해 두지.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	생각해 보니… 여기서 처음으로 신룡 님을 본 건\x0E\x04\x00\x00
