MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	메이지 캐넌
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	메이지 캐넌은 포탄을 발사해서\n원거리 공격을 하기 때문에 주의할 필요가 있습니다
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	적 메이지 캐넌의 전체 위험 범위 표시는\n일반적인 전체 위험 범위 표시와 다르게 표시됩니다
MID_TUT_HUB_WELL_TITLE	신비한 우물
MID_TUT_HUB_WELL_0	우물에 필요 없는 아이템을 떨어뜨려 봅시다\n(떨어뜨린 아이템은 사라집니다)
MID_TUT_HUB_WELL_1	1번 출격한 후에 다시 우물을 조사하면\n떨어뜨린 물건과는 다른 아이템을 획득합니다
MID_TUT_HUB_WELL_2	떨어뜨린 아이템의 가치가 높을수록 기대치도 상승하며\n더 좋은 아이템을 획득할 가능성이 상승합니다
MID_TUT_HUB_WELL_WEAPON_1	무기점 주인이 하고 싶은 이야기가 있는 듯합니다
MID_TUT_HUB_WELL_WEAPON_2	무기점 주인이 잃어버린 물건을 찾으러 우물로 가 봅시다
MID_TUT_HUB_WELL_WEAPON_3	우물에서 주운 무기를 무기점에 전달합시다
MID_TUT_GOD_CHROM_TITLE	문장사 크롬
MID_TUT_GOD_CHROM_0	｢문장사 크롬｣은 크롬의 검술과 파트너인 러플레의\n마법과 계책을 이용한 전법으로 적을 농락합니다
MID_TUT_GOD_CHROM_1	싱크로 스킬 ｢기습｣은\n｢회피 상승 보정을 받는 지형｣에서 공격했을 경우에\n적의 반격을 받지 않게 합니다
MID_TUT_GOD_CHROM_2	인게이지 무기 ｢선더 소드｣는\n떨어진 적에게 마법 공격을 할 수 있습니다
MID_TUT_GOD_CHROM_3	인게이지 스킬 ｢반신｣은\n러플레의 힘에 의해 마력을 크게 상승시키며\n전투 시에 러플레가 체인 어택에 참가합니다
MID_TUT_GOD_CHROM_4	인게이지 기술 ｢기가 선더 소드｣는\n마력을 담은 검으로 적을 공격해\n｢마방｣이 낮은 상대에게 큰 대미지를 입힐 수 있습니다
MID_TUT_GOD_VERONICA_TITLE	문장사 베로니카
MID_TUT_GOD_VERONICA_0	｢문장사 베로니카｣는 아군을 소환하거나\n특수한 공격을 사용하는 등 변칙적인 전법이 특기입니다
MID_TUT_GOD_VERONICA_1	싱크로 스킬 ｢피의 복수｣는\n적을 공격했을 때 자신의 HP가 줄어 있다면\n감소량의 30%만큼을 공격력에 추가합니다
MID_TUT_GOD_VERONICA_2	인게이지 무기 ｢흘리드스캴프｣는\n직접 공격했을 때 상대에게 반격당하지 않습니다
MID_TUT_GOD_VERONICA_3	인게이지 스킬 ｢계약｣은\n행동을 끝낸 동료가 그 자리에서 다시 한번\n공격 또는 아이템 사용을 할 수 있게 힘을 줍니다
MID_TUT_GOD_VERONICA_4	인게이지 기술 ｢영웅 소환｣은\n맵에 동료가 될 유닛을 랜덤하게 소환해\n동료로서 싸우게 할 수 있습니다
MID_TUT_TIPS_Veronica	문장사 베로니카
MID_TUT_TIPS_Chrom	문장사 크롬
MID_TUT_TIPS_Reflet	문장사 러플레
MID_TIPS_OTHER_36	｢신비한 우물｣에 아이템을 떨어뜨리면 1번 출격한 후에 다른 아이템이 되돌아온다.
MID_TIPS_SKILL_34	자신보다 레벨이 높은 유닛을 격파했을 때 맵 종료 시점까지 자신의 레벨이 상승한다.
MID_TIPS_SKILL_35	전투 및 아이템 사용 등을 하지 않고 대기했을 때 ｢이계의 힘｣이 1단계 강화된다.
MID_TIPS_JOB_01	환영늑대의 ｢송곳니의 저주｣는 레스트의 지팡이로 해제할 수 있다.
MID_TIPS_GOD_35	다른 세계로 통하는 문을 닫는 힘을 지닌 이계의 국가 엠블라 제국의 황녀.
MID_TIPS_GOD_36	이계의 영웅을 조종하는 힘을 지닌 소녀. 그 힘을 사용해 타국을 침공했다.
MID_TIPS_GOD_37	이계의 국가 이리스 성왕국의 왕자로 전설의 검 ｢팔시온｣을 계승한 인물.
MID_TIPS_GOD_38	크롬과 강한 인연을 맺은 참모. 그 책략으로 전황을 바꾸고 동료를 승리로 이끌었다.
