MID_WU_C_1_IN_#001	실례하겠습니다.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	이렇게 금방 일어나시다니…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	적의 습격이 있더라도 안심이군요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	그럼, 저는 이만 물러가겠습니다.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	이런 식으로 침소에 들어오는 건, 조금 내키지 않지만\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	이게 임무라면 어쩔 수 없겠죠.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	…신룡 님, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	저 같은 사람이 말을 걸면\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	깨어나실 때 기분이 상하실지도 모르지만…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	용서해 주시길.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	기사는 제단에 발을 들였다…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	신룡은 기사의 발소리에 곧바로 일어났다…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	좋은 아침입니다, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	제단에 누운 귀인의 숨소리에는 변화가 보이지 않는다.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	그 순간 기사는 요란하게 넘어지며 귀인의 잠을 방해…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	…해서는 안 되겠지.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	기사는 무난한 말을 건네며\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	신룡을 천천히 깨웠다…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	좋은 아침입니다, 기분은 어떠십니까?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	조용한걸… 여기서 명상하면 집중할 수 있겠어.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	죄송합니다, 정적을 깨 버렸군요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	시간이 다 돼 가니 출발 준비를 하시죠.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	아직 잠깐 시간이 있구나. 정각까지 명상을 하자.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	……안 돼, 잡념이…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	…다음에 쓸 웃긴 이야기의 구상이 떠올랐어……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	일어나셨습니까?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	그럼, 저는 이만.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	잊기 전에 이 구상을 적어 놓아야겠어…\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	기사는 신룡의 조용한 숨소리를 들었다…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	어제 신룡 님께서 말씀하신 대로 석양이 예뻤습니다…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	오늘은 분명 좋은 날씨가 되겠군요.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	신룡 님께서는 참으로 다정하시지…\x0E\x04\x00\x00
