MID_WU_C_1_IN_#001	이봐, 게으름피우지 마, 신룡.
MID_WU_C_1_SOON_#001	코를 크게 골던 것 치고는
MID_WU_C_1_SOON_#002	잘 일어나는군.
MID_WU_C_1_SOON_#003	…음? 아아, 코를 골았다는 건 거짓말이다.
MID_WU_C_1_SOON_#004	그걸 믿을 줄이야, 멍청한 녀석.
MID_WU_C_1_WAKEUP_#001	흥, 얼빠진 얼굴로 자는군.
MID_WU_C_1_WAKEUP_#002	문장사를 깨우는 능력을 가진 나라도
MID_WU_C_1_WAKEUP_#003	이 세계에서는… 평범하게 깨우는 수밖에 없어.
MID_WU_C_1_WAKEUP_#004	이봐, 일어나.
MID_WU_C_1_HELLO_#001	드디어 일어났나.
MID_WU_C_1_HELLO_#002	나 참,
MID_WU_C_1_HELLO_#003	이 세계에 와서까지 사람을 깨우게 될 줄은 몰랐는데.
MID_WU_C_1_HELLO_#004	…볼일은 마쳤으니 나는 돌아가지.
MID_WU_C_2_IN_#001	내가 깨우러 와 줬다, 신룡.
MID_WU_C_2_SOON_#001	호오, 내가 와서 기쁜가?
MID_WU_C_2_SOON_#002	하지만 아깝겠군,
MID_WU_C_2_SOON_#003	역할을 다했으니 난 갈 거다.
MID_WU_C_2_SOON_#004	붙잡아도 소용없다고.
MID_WU_C_2_WAKEUP_#001	괜찮겠나?
MID_WU_C_2_WAKEUP_#002	한때 적이었던 내게
MID_WU_C_2_WAKEUP_#003	이렇게 잠자는 모습을 드러내다니.
MID_WU_C_2_WAKEUP_#004	만약 이전의 나였다면
MID_WU_C_2_WAKEUP_#005	네 녀석은 지금쯤 어떻게 되었을지 모른다고.
MID_WU_C_2_HELLO_#001	훗, 드디어 일어났군.
MID_WU_C_2_HELLO_#002	무사히 깨어난 것에 감사해라.
MID_WU_C_2_HELLO_#003	동료일지라도 무슨 꿍꿍이가 있을지 모른다는 것을
MID_WU_C_2_HELLO_#004	…네 녀석은 나한테 배웠잖아?
MID_WU_B_1_IN_#001	확실히, 깨우는 역할에는
MID_WU_B_1_IN_#002	내가 적임이겠지.
MID_WU_B_1_IN_#003	그렇다고 해도…
MID_WU_B_1_SOON_#001	오, 하려고 하면 할 수 있었군.
MID_WU_B_1_SOON_#002	내가 오기 전에 알아서 일어나 줬다면
MID_WU_B_1_SOON_#003	더 좋았을 텐데 말이지.
MID_WU_B_1_WAKEUP_#001	하아… 신룡 깨우기 당번이라는
MID_WU_B_1_WAKEUP_#002	이상한 당번이 버젓이 있다는 것을 이해할 수 없군.
MID_WU_B_1_WAKEUP_#003	나는 다른 이들처럼 다정하게 깨우지 않는다.
MID_WU_B_1_WAKEUP_#004	지금 여기서 용석을 사용해서… 음?
MID_WU_B_1_HELLO_#001	감이 좋은 녀석이군.
MID_WU_B_1_HELLO_#002	조금만 더 늦었다면…
MID_WU_B_1_HELLO_#003	일어나자마자
MID_WU_B_1_HELLO_#004	거대한 사룡과 대면했을 거다.
MID_WU_B_1_HELLO_#005	그렇게 되지 않아서 다행이지?
MID_WU_B_2_IN_#001	아직도 자고 있나?
MID_WU_B_2_IN_#002	나 참, 너도 어지간한 녀석이군.
MID_WU_B_2_SOON_#001	금방 일어났으니 용서해 주지.
MID_WU_B_2_SOON_#002	다음에 내 시간을 허비하게 한다면…
MID_WU_B_2_SOON_#003	알고 있겠지?
MID_WU_B_2_WAKEUP_#001	이봐, 저번에 내가 한 이야기 들었잖아.
MID_WU_B_2_WAKEUP_#002	누나가 깨어나기를 기다린 나를…
