MID_WU_C_1_IN_#001	여기가 솔라넬의… 신룡 제단…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	저기, 처음으로 눈을 떴던 날도\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	이런 느낌이었어?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	분명, 엄청 예뻤겠지.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	여기서 계속 잤었구나.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	혹시 좀 더 빨리 찾았더라면…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	아니. 찾았더라도\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	예전의 난 이곳에 올 수 없었을 거야. 그러니까…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	나, 지금의 내가 자랑스러워.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	싸우지 않았으면, 꿈을 가지지 않았으면…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	지금은 없었을 거야.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	이 순간은 기적 같은 거겠지.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	실은 혼자서 일어날 수 있는데\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	모두랑 교류하고 싶어서 자는 척한 적 없어…?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	에헤헤, 있었구나?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	나도 예전에 신전 사람들이랑 이야기하고 싶어서\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	못 일어나는 척한 적 있거든.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	오늘은 나랑 이야기할래?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	…그렇게 생각했었는데, 이거…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	곤히 자고 있네.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	못 일어날 정도로 깊이 잠드는 거, 이해해,\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	나도 용이니까.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	…좋아, 일어나~!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	좋은 아침!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	몸 상태는 어때?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	그렇구나… 그럼 다행이야.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	앞으로는 동생인 내가 있으니까\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	불안한 건… 뭐든 나랑 상담해 줘.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡의 제단과 사룡의 제단… 역시 전혀 다르구나.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	아, 일어났다!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	저기 있잖아, 그 제단 잠자리는 어때?\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	음? 자 볼 거냐고…?\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	그건 좀, 글쎄…?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	내가 자던 제단은 더 어두웠고\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	해님의 빛도 거의 없었거든…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	하지만 꺼질 듯이 흔들리던 촛대의 불이\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	항상 예뻤어…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	에헤헤, 왠지 그리워지네.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	그래도 거기로 돌아갈 일은 없을 거야.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	나도 같이\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	빛 속에서 살기로 정했으니까.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	깨진 용석이 꿈에 나왔어.\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	그래서 무사한가 싶어서…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	다행이야… 별일 없었구나.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	에헤헤… 마음이 놓이니까 왠지 배가 고파졌어.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	나, 아무거나 매운 거 먹고 올게.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	음, 그냥 자는 거구나. 안심했어…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	혹시, 저건 내 용석인가?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	용이 되지 않겠다고 결심한 날에 묻은, 그 돌…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	깨워서 미안해.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	…응, 내 용석은 이젠 없어.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	하지만 후회하지 않아.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	커다란 용이 되지 않더라도…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	강한 힘은 여기에 있으니까.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	여긴 저녁이어도 밝구나. 별빛이… 예쁘다.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	내가 깨웠어? 미안해.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	조금 기분 나쁜 꿈을 꿨거든.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	여기 조금만 더 있어도 돼?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	그렇구나, 에헤헤… 고마워…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	죽으면 별이 된다 그러던데.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	그러면 엄마랑… 마론은 어디 있을까?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	또 다른 나도, 지금은… 예쁜 별이 됐을까…?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	깨워서 미안.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	좀 더 이곳에 있게 해 줘.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	제단에서 잔 적은 있어도…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	기도한 적은 없었거든.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	사룡이 기도하는 거지만, 닿았으면 좋겠다.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	만나고 싶을 때\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	이렇게 금방 만날 수 있으니까 정말 좋다.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	전에는 만나고 싶어도 만나지 못해서 그런지 더 기뻐.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	사실은 아빠 때도… 그렇다고,\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	예전엔 생각했지만…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	그 꿈은 더 이상 꾸지 않을 거야.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	지난번엔 아빠에 대한 마음을 들어 줘서 고마워.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	덕분에 나도 다시 각오를 다질 수 있었어.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	이 손으로 인연을 끊을 각오를…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	이러고 있으니까 평범한 형제 같아.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	난 평범하다는 게 뭔지 잘 모르지만…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	앞으로 같이 알아 가고 싶어.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	아침이야. 아직 졸리겠지만\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	안 일어나면 세계를 구할 수 없으니까.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	나도 요즘은 잘 자고 있어. 에헤헤…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	우리 형제가 함께한다면\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	분명 많은 걸 극복할 수 있을 거야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	정말이지, 여전히 안 일어나다니.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…그래도 기뻐. 이러고 있으니까 우리 정말로\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	평범한 가족 같아. 이제 두 번 다시 잃지 않을 거야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	『약속의 반지』는 용석처럼 깨지게 두지 않겠어.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	\x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는 내가 지킬 거야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	동생으로서, 오직 하나뿐인 파트너로서…!\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	아, 드디어 일어났네.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	오늘도 힘내자.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	싸워서 빨리 이계의 문까지 도달해야 해.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	…그때는 반드시 우리가…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	아빠를 막자.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	파트너인 내가 깨우러 왔어.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	…그래, 파트너야, 에헤헤.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	앗, 실실 웃어서 미안해.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	단지 기뻤거든.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…동경하던 형제와 대등해진 것 같아서.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	나를 선택해 줘서… 고마워.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	내가 준 돌, 여기에 뒀구나.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	지금의 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는 이걸 쓰면\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	뤼미에르처럼 새하얀 용이 될 수 있을 것만 같아.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	나도 언젠가 올바른 용이 되고 싶어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	아니… 그렇게 될 거야.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…피는 바꿀 수 없어도 마음만큼은 다르다고\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	\x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가 그렇게 가르쳐 줬으니까.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	다음엔 파트너로서 날 깨우러 와 줘.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	\x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가 깨우러 와 준다면…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	나, 기뻐서 달려들지도 몰라.\x0E\x04\x00\x00
