MID_OP1_#001	キャラ配置(PID_グリ, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\n章タイトル(CID_E003)\n\nウェイト(3)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	ウェイト(1.5)
MID_OP1_#005	*\nフェードアウト()
MID_OP2_#001	サウンドイベント(Movie_Narration03_Stop_MS)\nキャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_E003_イル, ME_IN_B, [服装], Normal, IdleNormal, 30)\nキャラ配置(PID_E003_エル, ME_MID_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_E003_セレスティア, ME_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_E003_エル, 0.2, 0, -0.5)\nキャラ配置調整(PID_E003_セレスティア, 0.1, 0, -0.5)\n\nキャラ配置(PID_E003_グレゴリー, YOU_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_E003_グレゴリー,False)\n\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\n\n背景(Map_Event_M007_04)\nライト(CharaLight_E003, 0, 0, 0)\n\nサウンドイベント(Env_Evt_Filene_Rock_Start)\n\nキャラモーション再生(PID_E003_イル, Normal, WalkIn2)\n\nウェイト(0.5)\nフェードイン()\nキャラモーション再生(PID_リュール, Normal, WalkIn2)\nキャラモーション再生(PID_E003_エル, Normal, WalkIn)\nキャラモーション再生(PID_E003_セレスティア, Normal, WalkIn)\n\nキャラ回転(PID_リュール,225,1.5, 3.5)\nキャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラモーション再生(PID_リュール, Normal, TurnL, 3.5,1)\n\nキャラ回転(PID_E003_イル,135, 1.5,3)\nキャラモーション再生(PID_E003_イル, Normal, TurnR,2.5, 0.5)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n//ウェイト(4.5)\nキャラモーション再生(PID_E003_イル, Shy, EmoLook,0,1)\n\n*\n//パペット会話中断()\nキャラモーション待ち(PID_E003_セレスティア)
MID_OP2_#002	キャラモーション再生(PID_E003_セレスティア, Smile, EmoProud,0, 0.5)
MID_OP2_#003	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,0,0.5)\nキャラモーション再生(PID_E003_セレスティア, Smile, IdleNormal,0,1)
MID_OP2_#004	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E003_エル, Normal, EmoDeny2,0,0.5)
MID_OP2_#005	キャラモーション再生(PID_E003_エル, Normal, EmoThinkIn,0,1)
MID_OP2_#006	キャラモーション再生(PID_E003_エル, Normal, EmoThinkOut,0,0.5)
