MID_OP1_#001	キャラ配置(GID_チキ, ME_IN_BC, [服装], Normal, IdleNormal,30)\nキャラ配置調整(GID_チキ, -0.1, 0, -0.19)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal)\n\n背景(Map_Event_G003_01)\nライト(CharaLight_G003, 0, 0, 0)\n\n章タイトル(CID_G003)\nサウンドイベント(BGM_Evt_Ring)\n\nウェイト(1.5)\nフェードアウト()\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoLook)\nキャラモーション再生(GID_チキ, Angry, EmoLook,2,0.5)\n\nフェードイン()\n\n*\nパペット会話中断()\nキャラモーション待ち(GID_チキ)
MID_OP1_#002	
MID_OP1_#003	一枚絵表示(Tex_Event_DLC_ItemPicture_06, picture_item_fade_in_normal)\n\nキャラモーション再生(GID_チキ, Surprise, EmoSurprise2,0, 0.5)
MID_OP1_#004	キャラ視線(GID_チキ, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, GID_チキ, GID_チキ)\n\nキャラモーション再生(PID_リュール, Smile, EmoNod,0, 0.5)\nキャラモーション再生(GID_チキ, Smile)\n*\nパペット会話中断()
MID_OP1_#005	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_zoom_out_slow)\n\nキャラ視線リセット(PID_リュール)\nキャラモーション再生(PID_リュール, Angry, EmoPray, 0, 0.5)\n\n一枚絵非表示(picture_item_fade_out_normal)\n\nサウンドイベント(SE_Evt_Advent_WhiteOut)\nウェイト(1.8)\nサウンドイベント(BGM_Evt_Ring_Stop_Normal)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\n*\nフェードアウト()
MID_OP2_#001	キャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal)\nキャラ表示切替(PID_リュール,False)\nキャラ配置(GID_ヴェロニカ, YOU_IN_CD, [服装], Normal, IdleNormal)\nキャラ配置調整(GID_ヴェロニカ,0, 0, 0.2)\n\n背景(Map_Event_G003_01)\nライト(CharaLight_G003, 0, 0, 0)\n\nキャラ視線(GID_ヴェロニカ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_ヴェロニカ, cam_anim_track_l_slow)\n\nエフェクト表示(Effect01, Effects/Event/G003_MID_OP1/Prefabs/G003_MID_OP1)\nキャラモーション再生(GID_ヴェロニカ, Serious, WalkIn)\n\nサウンドイベント(BGM_Evt_Brave)\nキャラモーション再生(GID_ヴェロニカ, Angry, EmoTalk2,1, 0.5)\n\nフェードイン()
MID_OP2_#002	キャラ表示切替(PID_リュール,True)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoRelax, 0, 0.3)\nキャラモーション再生(GID_ヴェロニカ, Angry, IdleNormal,0,1)
MID_OP2_#003	
MID_OP2_#004	キャラモーション再生(GID_ヴェロニカ, Angry, EmoThink, 1.0, 0.5)
MID_OP2_#005	キャラモーション再生(PID_リュール, Smile, EmoTalk, 0, 0.5)\nキャラモーション再生(GID_ヴェロニカ, Angry, IdleNormal,0,1)
MID_OP2_#006	キャラモーション再生(PID_リュール, Smile, EmoPray, 0, 0.5)
