MID_OP1_#001	キャラ配置(GID_アイク, ME_IN_BC, [服装], Normal, IdleNormal, 20)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 345)\n\nキャラ配置調整(GID_アイク, 0, 0, -0.4)\n\n背景(Map_Event_S005_01)\nライト(CharaLight_S005, 0, 0, 0)\n\n章タイトル(CID_S005)\n\nサウンドイベント(BGM_Evt_Ring)\n\nキャラ表示切替(GID_アイク,False)\n\nウェイト(2)\nフェードアウト()\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow) \nキャラモーション再生(PID_リュール, Normal, EmoLook)\nキャラモーション再生(GID_アイク, Normal, WalkIn)\n\nフェードイン()
MID_OP1_#002	ウェイト(0.2)\n白フェードアウト(0.2)\nエフェクト表示(Effect01, Effects/Event/S005_MID_OP1/Prefabs/S005_MID_OP1)\nキャラ表示切替(GID_アイク,True)\nキャラモーション再生(GID_アイク, Normal , WalkIn)\n白フェードイン(0.5)\nウェイト(0.8)
MID_OP1_#003	キャラ視線(PID_リュール, GID_アイク, GID_アイク)\nキャラ視線(GID_アイク, PID_リュール, PID_リュール)
MID_OP1_#004	
MID_OP1_#005	キャラモーション再生(GID_アイク, Die, EmoThinkIn, 0.5, 0.5)\n\nキャラ視線リセット(GID_アイク)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_l_slow)
MID_OP1_#006	キャラモーション再生(GID_アイク, Normal, EmoThinkOut, 0.5, 0.5)\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2, 0, 0.5)
MID_OP1_#007	キャラ視線(GID_アイク, PID_リュール, PID_リュール)
MID_OP1_#008	キャラ視線リセット(GID_アイク)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, GID_アイク, cam_anim_zoom_in_slow)
MID_OP1_#009	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(GID_アイク, Die, EmoSad, 0.5, 0.5)
MID_OP1_#010	キャラモーション再生(GID_アイク, Normal )\n\nキャラ視線(GID_アイク, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, GID_アイク, cam_anim_track_r_normal)\n
MID_OP1_#011	キャラモーション再生(PID_リュール, Surprise, EmoTalk2)\n\nキャラカメラ(CharaCam_FrontLong_Right_Mid, PID_リュール, cam_anim_pan_r_slow)
MID_OP1_#012	キャラモーション再生(GID_アイク, Smile, EmoProud, 0.3, 0.3)\nキャラモーション再生(PID_リュール, Normal)
MID_OP1_#013	キャラモーション再生(GID_アイク, Normal )
MID_OP1_#014	キャラモーション再生(PID_リュール, Serious, EmoPray, 1, 0.5)
