MID_RELIANCE_C_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, YOU_IN_C, [服装], Normal, IdleNormal, 180)\n\nキャラ配置(PID_ヴェイル, ME_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_ヴェイル, 0, -0.7, 3)\nキャラ表示切替(PID_ヴェイル, False)\n\n背景(Map_Event_M019_01)\nライト(CharaLight_M019, 0, 0, 0)\n\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\nキャラ表示切替(PID_ヴァンドレ, False)\n\nキャラモーション再生(PID_モーヴ, Normal, WalkIn2)\nキャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track_l_normal)\nフェードイン()\n\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal, 2, 1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)\nキャラ表示切替(PID_ヴァンドレ, True)
MID_RELIANCE_C_#002	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_モーヴ, cam_anim_dolly_l_normal)
MID_RELIANCE_C_#003	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラ回転(PID_モーヴ, -180, 1.7)\nキャラ視線(PID_モーヴ, PID_ヴァンドレ, PID_ヴァンドレ)\nキャラモーション再生(PID_モーヴ, Normal, TurnR,, 0.3)\n*\nキャラ視線(PID_モーヴ, PID_ヴァンドレ, PID_ヴァンドレ)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)
MID_RELIANCE_C_#004	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_ヴェイル)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoThink,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_C_#005	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_slow)\nキャラモーション再生(PID_モーヴ, Die, EmoSad,,1)\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal, 4, 2)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)
MID_RELIANCE_C_#006	キャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_track_l_slow)
MID_RELIANCE_C_#007	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_pan_r_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoTalk,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)
MID_RELIANCE_C_#008	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_モーヴ, cam_anim_track2_l_normal)
MID_RELIANCE_C_#009	キャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)
MID_RELIANCE_C_#010	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track2_r_normal)\nキャラモーション再生(PID_モーヴ, Sad, EmoSad,,1)
MID_RELIANCE_C_#011	キャラモーション再生(PID_モーヴ, Sad, EmoDeny2,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)
MID_RELIANCE_C_#012	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Relax, EmoNod,,1)\nキャラモーション再生(PID_ヴァンドレ, Relax, IdleNormal, 2, 1)\n*\nキャラモーション再生(PID_ヴァンドレ, Relax, IdleNormal)
MID_RELIANCE_C_#013	キャラカメラ(CharaCam_Side_Right2_Top, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoJoy,,1)\n*\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal,,1)
MID_RELIANCE_C_#014	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_pan_l_normal)\n*\nパペット会話中断()\nキャラ視線リセット(PID_ヴァンドレ)\nキャラ回転(PID_ヴァンドレ, 180, 1.7)\nキャラモーション再生(PID_ヴァンドレ, Normal, TurnR,, 0.3)\nキャラモーション再生(PID_ヴァンドレ, Normal, WalkOut, 1.3, 1)\nウェイト(3)\nキャラ表示切替(PID_ヴァンドレ, False)\nキャラ配置調整(PID_ヴェイル, 0, -1, -5)
MID_RELIANCE_C_#015	キャラカメラ(CharaCam_Front_Center_Mid, PID_モーヴ, cam_anim_track_r_slow)\nキャラモーション再生(PID_モーヴ, Sad, EmoDeny2,,1)
MID_RELIANCE_C_#016	キャラモーション再生(PID_モーヴ, Sad)\nキャラ視線(PID_モーヴ, PID_ヴェイル, PID_ヴァンドレ)\n*\nフェードアウト()
