MID_OP1_#001	キャラ配置(PID_セピア, ME_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_マロン, YOU_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_グリ, YOU_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, YOU_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_セピア, 0, 0, 0, -20)\nキャラ配置調整(PID_マロン, -0.25, 0, 0.1, -110)\nキャラ配置調整(PID_グリ, 0, 0, 0, 130)\nキャラ配置調整(PID_モーヴ, -0.1, 0, 0.2, 10)\n\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_マロン, PID_マロン)\n\n背景(Map_Event_M012_03)\nライト(CharaLight_M012, 0, 0, 0)\n\n章タイトル(CID_M019)\n\nウェイト(2.9)\n\nフェードアウト()\n\nキャラモーション再生(PID_セピア, Normal, WalkIn2)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track2_r_normal)\n\nウェイト(0.1)\n\nフェードイン()\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_セピア)
MID_OP1_#002	キャラ視線(PID_マロン, PID_セピア, PID_セピア)\nキャラ視線(PID_グリ, PID_セピア, PID_セピア)\nキャラ視線(PID_モーヴ, PID_セピア, PID_セピア)\n\nキャラモーション再生(PID_マロン, Normal, TurnR,, 0.3)\n\nキャラ回転(PID_マロン, 60, 2.5)\nキャラ回転(PID_グリ, 230)\nキャラ回転(PID_モーヴ, 340, 1.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_マロン, cam_anim_track_r_normal)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP1_#003	キャラモーション再生(PID_グリ, Normal, EmoTalk2,, 0.3)\n\nキャラ視線(PID_セピア, PID_グリ, PID_グリ)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_グリ, cam_anim_track_l_normal)
MID_OP1_#004	キャラモーション再生(PID_セピア, Die, EmoSad2,, 0.3)\nキャラモーション再生(PID_グリ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_セピア, cam_anim_track_r_normal)
MID_OP1_#005	キャラモーション再生(PID_グリ, Smile, EmoProud,, 0.3)\nキャラモーション再生(PID_セピア, Die, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_グリ, cam_anim_track_l_normal)
MID_OP1_#006	キャラモーション再生(PID_セピア, Normal, EmoDeny2,, 0.3)\nキャラモーション再生(PID_グリ, Smile, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_セピア, cam_anim_track_r_normal)
MID_OP1_#007	キャラモーション再生(PID_セピア, Normal, IdleNormal)\nキャラモーション再生(PID_マロン, Smile,, 1.7)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_マロン, cam_anim_track_r_slow)
MID_OP1_#008	キャラモーション再生(PID_マロン, Smile, EmoProud,, 0.3)
MID_OP1_#009	キャラモーション再生(PID_セピア, Normal, EmoTalk2,, 0.3)\nキャラモーション再生(PID_マロン, Smile, IdleNormal)\n\nキャラカメラ(CharaCam_Shoulder_Left_Top, PID_グリ, cam_anim_track2_l_normal)
MID_OP1_#010	キャラモーション再生(PID_モーヴ, Sad, EmoDeny2,, 0.3)\nキャラモーション再生(PID_セピア, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_モーヴ, cam_anim_track_r_slow)
MID_OP1_#011	キャラモーション再生(PID_モーヴ, Die)\n\nキャラ視線(PID_セピア, PID_モーヴ, PID_モーヴ)
