MID_OP1_#001	キャラ配置(PID_E005_Boss, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	
MID_OP1_#005	ウェイト(1.5)
MID_OP1_#006	*\nフェードアウト()
MID_OP2_#001	サウンドイベント(Movie_Narration05_Stop_MS)\nキャラ配置(PID_M011_モーヴ, ME_IN_A, [服装], Sad, IdleNormal,40)\nキャラ配置調整(PID_M011_モーヴ,0,0, 0.4)\nキャラ配置(PID_E004_マデリーン, ME_IN_B, [服装], Sad, IdleNormal,-10)\nキャラ配置調整(PID_E004_マデリーン,0,0, -0.1)\nキャラ配置(PID_E004_グレゴリー, ME_IN_C, [服装], Sad, IdleNormal, -10)\nキャラ配置調整(PID_E004_グレゴリー,0,0, -0.2)\nキャラ配置(PID_E004_セレスティア, ME_IN_D, [服装], Sad, IdleNormal,-30)\nキャラ配置調整(PID_E004_セレスティア,0,0, 0.1)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.1, 1.5)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ配置(PID_E005_エル, YOU_IN_BC, [服装], Normal, IdleNormal,0)\nキャラ表示切替(PID_E005_エル, False)\n\n背景(Map_Event_E004_01)\nライト(CharaLight_E004, 0, 0, 0)\n\nキャラモーション再生(PID_E004_セレスティア, Sad, EmoThinkIn)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_グレゴリー, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_セレスティア, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_マデリーン, Sad, EmoTalk2,0, 0.5)\n\nサウンドイベント(Env_Evt_Wind3_Start)\n\nフェードイン()
MID_OP2_#002	キャラ視線(PID_E004_マデリーン, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoSad,0, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Sad, IdleNormal,0,1)
MID_OP2_#003	キャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_M011_モーヴ, Sad, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E004_マデリーン, Normal)\n\n*\nキャラモーション再生(PID_E004_セレスティア, Sad, EmoThinkOut,0, 0.5)\n\nウェイト(1)
MID_OP2_#004	キャラ視線(PID_E004_グレゴリー, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_M011_モーヴ, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_セレスティア, Serious, EmoDeny,0,1)
MID_OP2_#005	キャラモーション再生(PID_M011_モーヴ, Surprise, IdleNormal,0,1)
