MID_OP1_#001	キャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, ME_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_マロン, YOU_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0.1, 0, 0.1, 0)\nキャラ配置調整(PID_モーヴ, -0.1, 0, 0.2, 0)\nキャラ配置調整(PID_マロン, 0, 0, 0.2, 0)\n\nキャラ表示切替(PID_マロン, False)\n\n背景(Map_Event_M019_01)\nライト(CharaLight_M019, 0, 0, 0)\n\n章タイトル(CID_M021)\n\nサウンドイベント(BGM_Evt_Consultation)\nサウンドイベント(Env_Evt_Ircion_Harbor_Start)\n\n\nウェイト(2.5)\n\nフェードアウト()\n\nキャラモーション再生(PID_リュール, Normal, WalkIn2, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, WalkIn2)\n\nウェイト(0.5)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_l_normal)\n\nフェードイン()\n\nキャラモーション待ち(PID_モーヴ)\n\nキャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)
MID_OP1_#002	キャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_track_r_normal)\n\nキャラ表示切替(PID_マロン, True)
MID_OP1_#003	キャラモーション再生(PID_マロン, Normal, EmoJoy,, 0.5)\nキャラモーション再生(PID_マロン, Surprise,, 6.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_マロン, cam_anim_fix)\n\nキャラモーション待ち(PID_マロン)\n\nキャラ視線(PID_リュール, PID_マロン, PID_マロン)\nキャラ視線(PID_モーヴ, PID_マロン, PID_マロン)\nキャラ視線(PID_マロン, PID_リュール, PID_モーヴ, 6)
MID_OP1_#004	キャラモーション再生(PID_マロン, Surprise, EmoSurprise,, 0.5)\n\nキャラ視線(PID_マロン, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_マロン, cam_anim_zoom_in_fast)
MID_OP1_#005	キャラモーション再生(PID_マロン, Surprise, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_zoom_in_normal)\n\n*\n\nキャラモーション再生(PID_マロン, Angry, RunIn)\n\nウェイト(0.1)
MID_OP1_#006	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_zoom_in_normal)\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラモーション待ち(PID_マロン)\n\n
MID_OP1_#007	キャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_モーヴ, cam_anim_track_r_normal)
MID_OP1_#008	キャラモーション再生(PID_マロン, Angry, EmoSad2,, 0.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_マロン, cam_anim_track_l_normal)
MID_OP1_#009	キャラモーション再生(PID_モーヴ, Normal, TurnR,, 0.5)\nキャラモーション再生(PID_マロン, Angry, IdleNormal)\n\nキャラ回転(PID_モーヴ, 30, 1)\n\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\n\nキャラカメラ(CharaCam_FrontLong_Left_Top, PID_モーヴ, cam_anim_pan_l_slow)\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラモーション待ち(PID_モーヴ)
MID_OP1_#010	
MID_OP1_#011	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_モーヴ, cam_anim_track_l_normal)
MID_OP1_#012	キャラモーション再生(PID_リュール, Normal, EmoRelax,, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP1_#013	キャラモーション再生(PID_マロン, Sad, EmoTalk2,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_マロン, cam_anim_track_l_normal)
MID_OP1_#014	キャラモーション再生(PID_モーヴ, Normal, TurnL,, 0.5)\nキャラモーション再生(PID_マロン, Sad, IdleNormal)\n\nキャラ回転(PID_モーヴ, 330, 1)\n\nキャラ視線(PID_モーヴ, PID_マロン, PID_マロン)\nキャラ視線(PID_リュール, PID_マロン, PID_マロン)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_モーヴ, cam_anim_track_r_normal)
MID_OP1_#015	キャラモーション再生(PID_リュール, Normal, EmoDeny,, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP1_#016	キャラモーション再生(PID_マロン, Angry, EmoAngry,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_マロン, cam_anim_zoom_in_normal)
MID_OP1_#017	キャラモーション再生(PID_モーヴ, Normal, EmoDeny2,, 0.5)\nキャラモーション再生(PID_マロン, Angry, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_モーヴ, cam_anim_track_r_normal)
