MID_OP1_#001	キャラ配置(PID_リュール, ME_IN_B, [服装], Normal, IdleNormal, 10)\nキャラ配置(PID_ヴェイル, ME_IN_D, [服装], Sad, IdleNormal, -10)\nキャラ配置調整(PID_ヴェイル, -0.4, 0, 0)\n\nキャラ配置(PID_ヴァンドレ, ME_IN_A, [服装], Normal, IdleNormal, 35)\nキャラ配置調整(PID_ヴァンドレ, -0.2, 0, 0.3)\n\nキャラ配置(PID_ディアマンド, ME_MID_A, [服装], Normal, IdleNormal, 30)\nキャラ配置調整(PID_ディアマンド, -0.1, 0, 0.2)\n\nキャラ配置(PID_アイビー, ME_MID_B, [服装], Normal, IdleNormal, 15)\n\nキャラ配置(PID_アルフレッド, ME_MID_CD, [服装], Normal, IdleNormal, -10)\nキャラ配置調整(PID_アルフレッド, -0.3, 0, -0.4)\n\nキャラ配置(PID_ミスティラ, ME_MID_D, [服装], Normal, IdleNormal, -25)\n\nキャラ配置(PID_M025_ルミエル, YOU_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_M025_ルミエル, False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_C, [服装], Die, IdleNormal, 334)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.7, 0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ視線(PID_ヴェイル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n背景(Map_Event_M025_01)\nライト(CharaLight_M011, 0, 0, 0)\n\n一枚絵表示(Tex_Event_Picture_24, picture_zoom_out_center)\n章タイトル(CID_M025)\n\nサウンドイベント(Env_Evt_Gradron_RockMountain_Start)\nサウンドイベント(Field_Outdoor)\n\nウェイト(4)\n\n\n\n//キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴェイル, cam_anim_dolly_r_normal)\n
MID_OP1_#002	キャラ視線(PID_リュール, PID_ヴェイル, PID_ヴェイル)\n\n*\nパペット会話中断()\nウェイト(1)\nフェードアウト()\n一枚絵非表示()\nウェイト(1)\nキャラカメラ(CharaCam_Side_Right_Mid, PID_リュール, cam_anim_track_l_slow)\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,,1)\nキャラ視線(PID_ミスティラ, PID_ヴェイル, PID_ヴェイル)\nキャラ視線(PID_アルフレッド, PID_ヴェイル, PID_ヴェイル)\nフェードイン()
MID_OP1_#003	*\nキャラモーション再生(PID_リュール, Normal, IdleNormal,,1)
MID_OP1_#004	キャラ視線(PID_ヴェイル, PID_リュール, PID_リュール)\nキャラ回転(PID_ヴェイル, -60, 0.5)\nキャラモーション再生(PID_ヴェイル, Sad, EmoTalk,,1)
MID_OP1_#005	キャラ視線(PID_アイビー, PID_リュール, PID_リュール)\nキャラ視線(PID_ディアマンド, PID_リュール, PID_リュール)\n*\nキャラモーション再生(PID_ヴェイル, Sad, IdleNormal,,1)
MID_OP1_#006	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\nキャラ回転(PID_リュール, 25, 0.5)\nキャラモーション再生(PID_リュール, Normal, EmoDeny2,,1)\n*\nキャラモーション再生(PID_リュール, Normal, IdleNormal,,1)
MID_OP1_#007	キャラカメラ(CharaCam_Side_Right2_Top, PID_ヴェイル, cam_anim_track_l_slow)\nキャラモーション再生(PID_ヴェイル, Sad, EmoPray,,1)
MID_OP1_#008	*\nキャラモーション再生(PID_ヴェイル, Sad, IdleNormal,,1)
MID_OP1_#008_F	*\nキャラモーション再生(PID_ヴェイル, Sad, IdleNormal,,1)
MID_OP1_#009	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_pan_l_normal)\nキャラモーション再生(PID_リュール, Sad, EmoDeny2,,1)
MID_OP1_#010	キャラ表示切替(PID_M025_ルミエル, True)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,,1)
