MID_OP1_#001	キャラ配置(GID_マルス, ME_IN_BC, [服装], Normal, IdleNormal, 15)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 345)\nキャラ配置(PID_アイビー, YOU_MID_BC [服装], Normal, IdleNormal, 0)\n\nキャラ表示切替(PID_アイビー,False)\n\nキャラ配置調整(GID_マルス, 0, 0, -0.1)\n\n背景(Map_Event_S014_01)\nライト(CharaLight_S014, 0, 0, 0)\n\n章タイトル(CID_S014)\n\nサウンドイベント(BGM_Evt_Ring)\n\nウェイト(2)\nフェードアウト()\n\nキャラカメラ(CharaCam_Side_Left2_Mid, GID_マルス, cam_anim_track_r_slow)\n\nキャラモーション再生(GID_マルス, Smile, EmoLook)\n\nフェードイン()
MID_OP1_#002	キャラモーション再生(PID_リュール, Surprise, EmoTalk)\nキャラモーション再生(GID_マルス, Normal)\n\nキャラ視線(GID_マルス, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, GID_マルス, GID_マルス)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_l_slow)
MID_OP1_#003	キャラモーション再生(GID_マルス, Normal, EmoNod, 0, 0.5)\nキャラモーション再生(PID_リュール, Normal)
MID_OP1_#004	キャラモーション再生(PID_リュール, Sad)
MID_OP1_#005	キャラモーション再生(GID_マルス, Angry, EmoTalk)\nキャラモーション再生(PID_リュール, Normal)\n\nシーンカメラ(SceneCam_FrontMe_Center_Mid, cam_anim_zoom_out_slow)
MID_OP1_#006	キャラモーション再生(GID_マルス, Angry )\nキャラモーション再生(PID_リュール, Sad, IdreNormal, 7.0, 0.5)
MID_OP1_#007	キャラモーション再生(GID_マルス, Sad, EmoDeny2, 1.5, 0.5)\n\nキャラ視線(GID_マルス, PID_リュール, PID_リュール)
MID_OP1_#008	キャラモーション再生(GID_マルス, Smile, IdreNormal, 1.0, 0.5 )\nキャラモーション再生(PID_リュール, Normal, IdreNormal, 1.0, 0.5 )\n\nウェイト(1)
MID_OP1_#009	キャラモーション再生(GID_マルス, Angry)\n\nキャラカメラ(CharaCam_Front_Center_Mid, GID_マルス, cam_anim_zoom_in_slow)\n\nウェイト(1)
MID_OP1_#010	キャラモーション再生(GID_マルス, Angry, EmoRelax, 1.0, 0.5)
MID_OP1_#011	キャラモーション再生(PID_リュール, Normal, EmoNod)\n\nライト(CharaLight_S014, 0, -20, 0)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_fix)
MID_OP1_#012	キャラ表示切替(PID_アイビー,True)\n\nキャラモーション再生(PID_リュール, Angry, EmoPray, 3.5, 0.5)\n\nキャラ視線(PID_リュール, PID_アイビー, PID_アイビー)
MID_OP1_#013	キャラ表示切替(PID_アイビー,False)\n\nキャラモーション再生(GID_マルス, Smile, EmoNod)\n\nキャラ視線リセット(PID_リュール)\n\nライト(CharaLight_S014, 0, 0, 0)\nキャラカメラ(CharaCam_Side_Left2_Bot, GID_マルス, cam_anim_track_l_slow)
MID_OP1_#014	キャラモーション再生(GID_マルス, Normal, IdreNormal, 4.0, 0.5)
MID_OP1_#015	キャラモーション再生(PID_リュール, Angry, EmoRelax)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)
MID_OP1_#016	キャラモーション再生(GID_マルス, Normal, EmoJoy)\n\nキャラ視線(PID_リュール, GID_マルス, GID_マルス)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_l_slow)
MID_OP1_#017	キャラモーション再生(PID_リュール, Surprise)
MID_OP1_#018	キャラモーション再生(GID_マルス, Angry, EmoNod, 0, 0.5)
MID_OP1_#019	キャラモーション再生(PID_リュール, Angry)
MID_OP1_#020	キャラモーション再生(PID_リュール, Angry, EmoJoy)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)\n\n*\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_BT1_#001	
MID_BT1_#002	
MID_BT1_#003	
MID_BT1_#004	
MID_BT2_#001	
MID_BT2_#002	
MID_BT2_#003	
MID_BT2_#004	
