MID_OP1_#001	キャラ配置(PID_S002_蛮族_お頭, ME_IN_B, [服装], Normal, IdleNormal, 15)\nキャラ配置(PID_S002_蛮族_アクスアーマー_中央, YOU_IN_AB, [服装], Normal, IdleNormal, -30)\nキャラ配置(PID_S002_蛮族_モンク_中央, YOU_IN_BC, [服装], Normal, IdleNormal, 10)\n\nキャラ配置調整(PID_S002_蛮族_モンク_中央, 0, 0, 0)\nキャラ配置調整(PID_S002_蛮族_アクスアーマー_中央, 0, 0, 0.25)\n\n背景(Map_Event_S002_01)\nライト(CharaLight_S002, 0, 0, 0)\n\n章タイトル(CID_S002)\n\nウェイト(2)\nフェードアウト()\n\nキャラ視線(PID_S002_蛮族_モンク_中央, PID_S002_蛮族_お頭, PID_S002_蛮族_お頭)\nキャラ視線(PID_S002_蛮族_お頭, PID_S002_蛮族_モンク_中央, PID_S002_蛮族_モンク_中央)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_S002_蛮族_お頭, StandBy, EmoAngry)\nキャラモーション再生(PID_S002_蛮族_モンク_中央, Pain, EmoTired)\n\nキャラ表示切替(PID_S002_蛮族_アクスアーマー_中央, False)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	キャラモーション再生(PID_S002_蛮族_お頭, Serious, EmoSad)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_S002_蛮族_お頭, cam_anim_track_r_slow)
MID_OP1_#004	キャラモーション再生(PID_S002_蛮族_お頭, Angry, IdleNormal, 0.5, 0.5)
MID_OP1_#005	キャラモーション再生(PID_S002_蛮族_モンク_中央, StandBy, EmoNod)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_S002_蛮族_モンク_中央, cam_anim_fix)
MID_OP1_#006	キャラ表示切替(PID_S002_蛮族_アクスアーマー_中央, True)\n\nキャラ視線(PID_S002_蛮族_アクスアーマー_中央, PID_S002_蛮族_お頭, PID_S002_蛮族_お頭)\nキャラ視線(PID_S002_蛮族_お頭, PID_S002_蛮族_アクスアーマー_中央,　PID_S002_蛮族_アクスアーマー_中央)\nキャラ視線(PID_S002_蛮族_モンク_中央, PID_S002_蛮族_アクスアーマー_中央,　PID_S002_蛮族_アクスアーマー_中央)\n\nキャラモーション再生(PID_S002_蛮族_アクスアーマー_中央, Die, RunIn)\nキャラモーション再生(PID_S002_蛮族_モンク_中央, Surprise, IdleNormal, 0.5, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_S002_蛮族_アクスアーマー_中央, cam_anim_fix, 1.5)\n*\nパペット会話中断()\nキャラモーション待ち(PID_S002_蛮族_アクスアーマー_中央)
MID_OP1_#007	キャラモーション再生(PID_S002_蛮族_お頭, Angry, EmoSurprise2)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_normal)
MID_OP1_#008	キャラモーション再生(PID_S002_蛮族_アクスアーマー_中央, Sad, EmoTalk)
MID_OP1_#009	キャラモーション再生(PID_S002_蛮族_お頭, Pein, EmoSad, 0, 0.5)\n\nキャラ視線(PID_S002_蛮族_モンク_中央, PID_S002_蛮族_お頭, PID_S002_蛮族_お頭)\nキャラ視線(PID_S002_蛮族_お頭, PID_S002_蛮族_モンク_中央, PID_S002_蛮族_モンク_中央)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_S002_蛮族_お頭, cam_anim_track2_l_normal)
MID_OP1_#010	キャラモーション再生(PID_S002_蛮族_お頭, StandBy, EmoJoy, 0.5, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_S002_蛮族_お頭, cam_anim_zoom_in_fast, 4)
MID_OP1_#011	キャラモーション再生(PID_S002_蛮族_お頭, StandBy, EmoAngry, 0.5, 0.5)
MID_OP1_#012	キャラモーション再生(PID_S002_蛮族_モンク_中央, StandBy, EmoJoy)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_S002_蛮族_モンク_中央, cam_anim_zoom_in_fast)\n\n*\nフェードアウト()
MID_OP2_#001	
MID_OP2_#002	
MID_OP2_#003	
MID_OP2_#004	
MID_OP3_#001	
MID_OP4_#001	
MID_OP4_#002	
MID_OP5_#001	
MID_OP6_#001	
MID_OP6_#002	
MID_OP6_#003	
MID_OP6_#004	
MID_EV1_#001	
MID_EV1_#002	
MID_EV1_#003	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_EV5_#001	
MID_EV5_#002	
MID_EV5_#003	
MID_EV5_#004	
MID_EV5_#005	
MID_EV5_INIT_#001	
MID_EV6_#001	
MID_EV6_#002	
MID_EV6_#003	
MID_BT1_#001	
MID_BT1_#002	
MID_BT3_#001	
MID_BT4_#001	
MID_BT4_#002	
MID_BT4_#003	
MID_BT4_#004	
MID_BT5_#001	
MID_DIE_LOCAL_Anna_#001	
MID_DIE_CASUAL_LOCAL_Anna_#001	
MID_ED1_#001	キャラ配置(PID_リュール, ME_IN_B, [服装], Normal, IdleNormal, 15)\n\n背景(Map_Event_S002_01)\nライト(CharaLight_S002, 0, 0, 0)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nフェードイン()
