MID_OP1_#001	キャラ配置(PID_セピア, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	ウェイト(1.5)
MID_OP1_#005	*\nフェードアウト()
MID_OP2_#001	サウンドイベント(Movie_Narration02_Stop_MS)\nキャラ配置(PID_リュール, ME_MID_CD, [服装], Surprise, IdleNormal, 0)\nキャラ配置(PID_E002_イル, YOU_IN_BC, [服装], Smile, IdleNormal, 180)\nキャラ配置(PID_E002_エル, YOU_IN_CD, [服装], Die, IdleNormal, 180)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_OUT_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, 1, 0)\n\nキャラモーション再生(PID_E002_エル, Normal, WalkIn2)\nウェイト(0.3)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E002_イル, cam_anim_zoom_out_normal)\n\n背景(Map_Event_M004_04)\nライト(CharaLight_E002, 0, 0, 0)\n\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)\n\nキャラモーション再生(PID_E002_イル, Normal, WalkIn2)\nキャラモーション再生(PID_リュール, Normal, WalkIn)\n\nキャラ回転(PID_E002_イル, 180, 1.5, 1.5)\nキャラモーション再生(PID_E002_イル, Normal, TurnR,1, 0.5)\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_E002_イル, Smile, EmoTalk,2, 0.5)\n\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nフェードイン()\n\nサウンドイベント(Env_Evt_Wind3_Start)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_OP2_#002	キャラモーション再生(PID_E002_イル, Shy, EmoShy,0,1)\n\nキャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)\n\nキャラ回転(PID_E002_エル, -45, 1.5, 0.5)\nキャラモーション再生(PID_E002_エル, Normal, TurnL,1,1)
MID_OP2_#003	キャラカメラ(CharaCam_ShoulderLong_Left_Bot, PID_リュール, cam_anim_track2_r_normal)\n\nキャラモーション再生(PID_E002_イル, Normal)\n\nキャラモーション再生(PID_リュール, Normal, EmoLook,0, 0.5)\n\n*\nキャラモーション待ち(PID_リュール)
MID_OP2_#004	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_エル, cam_anim_track_l_slow)\n\nキャラ回転(PID_E002_エル, -135, 1.5, 0.5)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_エル, Normal, TurnL, 0.5, 0.5)
MID_OP2_#005	キャラモーション再生(PID_E002_エル, Normal, EmoTalk,0, 0.5)
MID_OP2_#006	
