MID_OP1_#001	キャラ配置(PID_E001_エル, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	ウェイト(1.5)
MID_OP1_#005	*\nフェードアウト()
MID_OP2_#001	サウンドイベント(Movie_Narration01_Stop_MS)\nキャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_青リュール, YOU_OUT_C, [服装], Normal, IdleNormal, 0, True)\nキャラ表示切替(PID_青リュール,False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -3, 0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_デモ用_視線設定用2, ME_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用2,0,0, 2.8)\nキャラ表示切替(PID_デモ用_視線設定用2,False)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n背景(Map_Event_M026_04)\nライト(CharaLight_M026, 0, 0, 0)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_リュール, Die)\nキャラモーション再生(PID_リュール, Surprise, EmoLook, 2.0, 0.5)\n\nキャラモーション再生(PID_デモ用_視線設定用, Surprise, EmoLook)\n\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\nサウンドイベント(Env_Evt_Gradron_Evil_Start)\nウェイト(1)\n白フェードイン(2)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_デモ用_視線設定用)
MID_OP2_#002	キャラ表示切替(PID_青リュール,True)\nキャラ視線(PID_リュール, PID_青リュール, PID_青リュール)
MID_OP2_#003	キャラカメラ(CharaCam_FrontLong_CenterDLC_Mid, PID_青リュール, cam_anim_waisttoface)
MID_OP2_#004	
MID_OP2_#005	キャラモーション再生(PID_青リュール, Die, EmoDeny, 0, 0.5)\n\nキャラ視線リセット(PID_リュール)
MID_OP2_#006	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Normal, EmoThink, 0, 0.5)\nキャラモーション再生(PID_青リュール, Normal, IdleNormal,0,1)
MID_OP2_#007	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_青リュール, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_青リュール, Normal, EmoTalk, 0, 0.5)
MID_OP2_#008	
MID_OP2_#009	キャラモーション再生(PID_青リュール, Serious, EmoRelax,0,1)
MID_OP2_#010	キャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)\n\nウェイト(0.2)\nキャラモーション再生(PID_リュール, Angry, EmoNod, 0, 0.5)
MID_OP2_#011	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_青リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_青リュール, Normal, EmoTalk2, 0, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)
