MID_OP1_#001	キャラ配置(PID_マロン, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	
MID_OP1_#005	ウェイト(1.5)
MID_OP1_#006	*\nフェードアウト()
MID_OP2_#001	サウンドイベント(Movie_Narration04_Stop_MS)\nキャラ配置(PID_E001_エル, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_E001_エル,False)\nキャラ配置(PID_E004_エル, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_E004_エル,False)\n\nキャラ配置(PID_青リュール, YOU_IN_C, [服装], Normal, IdleNormal, 135, True)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1, 0.7)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\n背景(Map_Event_M002_03)\nライト(CharaLight_M002, 0, 0, 0)\n\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\nサウンドイベント(BGM_Evt_Past_A)\nサウンドイベント(BGM_Evt_Past)\n\nウェイト(1)\nシーンカメラ(SceneCam_ViewFromMe_Back, cam_anim_zoom_in_normal)\n\nフェードイン()\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#002	キャラ視線(PID_青リュール, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_青リュール, Smile, EmoTalk2,0, 0.5)
MID_OP2_#003	キャラ表示切替(PID_E001_エル,True)\nキャラ視線(PID_E001_エル, PID_青リュール, PID_青リュール)\n\nキャラ回転(PID_青リュール,-90,1,0)\nキャラモーション再生(PID_青リュール, Smile, TurnL,0,1)\nキャラモーション再生(PID_E001_エル, Smile, WalkIn)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_青リュール, cam_anim_track_l_slow)\n\n*\nキャラモーション待ち(PID_E001_エル)
MID_OP2_#004	キャラモーション再生(PID_青リュール, Smile, EmoTired,0,1)\nキャラモーション再生(PID_青リュール, Smile, IdleNormal,2,2)
MID_OP2_#005	キャラモーション再生(PID_E001_エル, Shy, EmoDeny,0, 0.5)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_E001_エル, cam_anim_pan_l_slow, 2)\nキャラモーション再生(PID_E001_エル, Smile, EmoTalk2, 4.5, 0.5)
MID_OP2_#006	キャラカメラ(CharaCam_Side_LeftBackDLC_Mid, PID_青リュール, cam_anim_track_l_slow)\n\nキャラ回転(PID_青リュール,-45,1,0)\nキャラモーション再生(PID_青リュール, Smile, TurnL,0,1)\n\nキャラ表示切替(PID_E001_エル, False)\nキャラモーション再生(PID_青リュール, Smile, EmoNod,1, 0.5)
MID_OP2_#007	キャラモーション再生(PID_青リュール, Smile, EmoTalk2,0, 1)
MID_OP2_#008	キャラ削除(PID_青リュール)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E001_エル, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_E001_エル, True)\n\nキャラモーション再生(PID_E001_エル, Shy, IdleNormal,0,1)\n*\nパペット会話中断()
