MID_OP1_#001	キャラ配置(PID_青リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	ウェイト(1.5)
MID_OP1_#005	*\nフェードアウト()
MID_OP2_#001	サウンドイベント(Movie_Narration06_Stop_MS)\nサウンドイベント(Movie_Narration06_F_Stop_MS)\nキャラ配置(PID_E006_エル, ME_IN_B, [服装], Sad, IdleNormal, 90)\nキャラアニメーター切替(PID_E006_エル, Unit/Anim/Hub/AOC_Hub_Hum0F)\nキャラモーション再生(PID_E006_エル, Die, SitNormal2)\n\nキャラ配置(PID_E005_Boss, YOU_IN_B, [服装], Normal, IdleNormal, 0)\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_Hum2M)\n\nキャラ配置(GID_E006_敵エーデルガルト, YOU_IN_A, [服装], Normal, IdleNormal,0)\nキャラ配置調整(GID_E006_敵エーデルガルト, -0.1,0, 0.3)\nキャラ表示切替(GID_E006_敵エーデルガルト, False)\n\nキャラ配置(GID_E006_敵チキ, YOU_MID_A, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E006_敵チキ, -0.25,0, 0.3)\nキャラ表示切替(GID_E006_敵チキ, False)\nキャラ配置(GID_E006_敵ヘクトル, YOU_OUT_A, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E006_敵ヘクトル, -0.05,0, 0.3)\nキャラ表示切替(GID_E006_敵ヘクトル, False)\nキャラ配置(GID_E006_敵ヴェロニカ, YOU_MID_AB, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E006_敵ヴェロニカ, -0.1,0, 0.3)\nキャラ表示切替(GID_E006_敵ヴェロニカ, False)\nキャラ配置(GID_E006_敵セネリオ, YOU_OUT_B, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E006_敵セネリオ, 0.35,0, 0.2)\nキャラ表示切替(GID_E006_敵セネリオ, False)\nキャラ配置(GID_E006_敵カミラ, YOU_MID_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E006_敵カミラ, 0.25,0, 0.2)\nキャラ表示切替(GID_E006_敵カミラ, False)\nキャラ配置(GID_E006_敵クロム, YOU_OUT_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E006_敵クロム, 0.35,0, 0.2)\nキャラ表示切替(GID_E006_敵クロム, False)\n\nキャラ配置(PID_リュール, ME_MID_D, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_リュール, -1,0,0)\nキャラ表示切替(PID_リュール, False)\n\nキャラ配置(PID_デモ用_視線設定用, ME_OUT_D, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, -1.3, -0.5, 1.6)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoTalk,0, 0.5)\n\nキャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_u_normal)\n\n背景(Map_Event_E006_01)\nライト(CharaLight_E006, 0, 0, 0)\nサウンドイベント(Env_Evt_Gradron_Evil_Start)\nフェードイン()
MID_OP2_#002	キャラモーション再生(PID_E005_Boss, Die)
MID_OP2_#003	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_l_slow)
MID_OP2_#004	キャラモーション再生(PID_E005_Boss, Serious, IdleNormal,0,1)
MID_OP2_#005	キャラ回転(PID_E006_エル, -90,0,0)\nキャラアニメーター切替(PID_E006_エル, Unit/Anim/Demo/AOC_Demo_c051)\n\n*\nパペット会話中断()\nキャラモーション再生(PID_E006_エル, Sad, EmoTired,0, 2)\nウェイト(1)\nキャラモーション再生(PID_E005_Boss, Normal)\nウェイト(1)
MID_OP2_#006	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow) \n\nキャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル)\nキャラモーション再生(PID_E005_Boss, Angry, IdleNormal,0,1)\n\n*\nウェイト(1)
