MID_RELIANCE_C_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 120)\nキャラ配置(PID_クラン, YOU_IN_D, [服装], Normal, IdleNormal, 15)\nキャラ配置調整(PID_クラン, 0, 0, 0.15)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_C, [服装], Die, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.9, 0)\n\n//背景(Map_Event_M001_01)\n//ライト(CharaLight_M001, 0, 0, 0)\n\n背景(Map_Event_Hub_Solanel_21_Day)\nライト(CharaLight_Hub_Day, 0, 0, 0)\n\nキャラ視線(PID_クラン, PID_ヴァンドレ, PID_ヴァンドレ)\n\nキャラモーション再生(PID_クラン, Normal, WalkIn2)\nキャラカメラ(CharaCam_Shoulder_Right_Top, PID_ヴァンドレ, cam_anim_track_l_normal)\nフェードイン()\n\nキャラモーション再生(PID_クラン, Normal, IdleNormal, 2, 2)\nキャラ視線(PID_ヴァンドレ, PID_クラン, PID_クラン)\n
MID_RELIANCE_C_#002	キャラモーション再生(PID_ヴァンドレ, Normal, EmoNod,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)\nキャラ回転(PID_ヴァンドレ, -60, 0)
MID_RELIANCE_C_#003	キャラカメラ(CharaCam_Side_Left2_Top, PID_クラン, cam_anim_track_r_slow)\nキャラモーション再生(PID_クラン, Normal, EmoTalk,,1)\n*\nキャラモーション再生(PID_クラン, Normal, IdleNormal)
MID_RELIANCE_C_#004	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoNod,,1)\n\nキャラ配置調整(PID_クラン, -0.5, 0, -0.15, -15)
MID_RELIANCE_C_#005	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoGive,,1)\n*\nキャラモーション再生(PID_クラン, Normal, IdleNormal)
MID_RELIANCE_C_#006	キャラカメラ(CharaCam_Side_Right2_Mid, PID_クラン, cam_anim_track_l_slow)\nキャラモーション再生(PID_クラン, Normal, EmoNod,,1)\n\nキャラ視線リセット(PID_ヴァンドレ)\n*\nキャラモーション再生(PID_クラン, Normal, IdleNormal)
MID_RELIANCE_C_#007	キャラカメラ(CharaCam_Side_Left_Mid, PID_ヴァンドレ, cam_anim_dolly_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Sad, EmoDeny,,1)
MID_RELIANCE_C_#008	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_track_l_normal)
MID_RELIANCE_C_#009	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラ視線(PID_ヴァンドレ, PID_クラン, PID_クラン)\nキャラ回転(PID_ヴァンドレ, -60, 1.3)\nキャラモーション再生(PID_ヴァンドレ, Normal, TurnL,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_C_#010	キャラカメラ(CharaCam_Side_Right2_Top, PID_クラン, cam_anim_pan_r_normal)\nキャラモーション再生(PID_クラン, Normal, EmoDeny2,,1)\n*\nキャラモーション再生(PID_クラン, Normal, IdleNormal)
MID_RELIANCE_C_#011	キャラカメラ(CharaCam_Side_Left_Mid, PID_ヴァンドレ, cam_anim_dolly_l_normal)
