MID_OP1_#001	キャラ配置(GID_ロイ, ME_IN_BC, [服装], Normal, IdleNormal, 10)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 350)\n\nキャラ配置調整(GID_ロイ, 0, 0, -0.1)\n\nキャラ表示切替(GID_ロイ,False)\n\n背景(Map_Event_S012_01)\nライト(CharaLight_S012, 0, 0, 0)\n\n章タイトル(CID_S012)\n\nサウンドイベント(BGM_Evt_Ring)\n\nウェイト(2)\nフェードアウト()\n\nキャラカメラ(CharaCam_FrontLong_Right_Bot, PID_リュール, cam_anim_pan_r_slow)\nキャラモーション再生(PID_リュール, Surprise, EmoLook)\nキャラモーション再生(GID_ロイ, Surprise, WalkIn)\n\nフェードイン()
MID_OP1_#002	ウェイト(0.2)\n白フェードアウト(0.2)\nエフェクト表示(Effect01, Effects/Event/S012_MID_OP1/Prefabs/S012_MID_OP1)\nキャラ表示切替(GID_ロイ,True)\nキャラモーション再生(GID_ロイ, Shy , WalkIn)\n白フェードイン(0.5)\nウェイト(0.8)\n\nキャラ視線(PID_リュール, GID_ロイ, GID_ロイ)
MID_OP1_#003	キャラモーション再生(PID_リュール, Normal, EmoTalk, 0.3, 0.5)\nキャラモーション再生(GID_ロイ, Normal )\n\nキャラ視線(GID_ロイ, PID_リュール, PID_リュール)
MID_OP1_#004	キャラモーション再生(GID_ロイ, Smile, EmoDeny2, 0.3, 0.5)
MID_OP1_#005	キャラモーション再生(GID_ロイ, Normal, EmoLook)\n\nキャラ視線リセット(GID_ロイ)\n\nシーンカメラ(SceneCam_FrontYou_Center_Mid, cam_anim_zoom_out_slow)\n*\nパペット会話中断()\nキャラモーション待ち(GID_ロイ)
MID_OP1_#006	キャラモーション再生(PID_リュール, Smile, EmoTalk, 0.5, 0.5)\n\nキャラ視線(GID_ロイ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_l_slow, 0.5)
MID_OP1_#007	キャラモーション再生(GID_ロイ, Angry, EmoThink, 0.5, 0.5 )
MID_OP1_#008	キャラモーション再生(GID_ロイ, Serious )\n\nキャラ視線リセット(GID_ロイ)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, GID_ロイ, cam_anim_zoom_in_slow)
MID_OP1_#009	キャラモーション再生(GID_ロイ, Angry, EmoJoy, 0.3, 0.5)
MID_OP1_#010	キャラ視線(GID_ロイ, PID_リュール, PID_リュール)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)
MID_OP1_#011	キャラモーション再生(GID_ロイ, Die, EmoDeny2, 0.3, 0.5)\n\nウェイト(1)
MID_OP1_#012	キャラモーション再生(PID_リュール, Smile, EmoJoy, 0.8, 0.5)\nキャラモーション再生(GID_ロイ, Smile)\n\nキャラ視線(GID_ロイ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_l_slow)
MID_OP1_#013	キャラモーション再生(GID_ロイ, Die, EmoPray, 0.5, 0.5)
MID_OP1_#014	キャラモーション再生(GID_ロイ, Angry)
MID_OP1_#015	キャラモーション再生(PID_リュール, Surprise, EmoTalk, 0, 0.5)
MID_OP1_#016	キャラモーション再生(GID_ロイ, Angry, EmoJoy)\nキャラモーション再生(PID_リュール, Surprise, EmoNod)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, GID_ロイ, cam_anim_track_r_slow)
MID_OP1_#017	
MID_OP1_#018	キャラモーション再生(GID_ロイ, Smile, EmoTalk2, 4.0, 0.5)\nキャラモーション再生(PID_リュール, Angry)
MID_OP1_#019	キャラモーション再生(PID_リュール, Smile, EmoJoy, 1.0, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_track_l_slow)\n\n*\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_EV2_#002	
MID_BT1_#001	
MID_BT1_#002	
MID_BT1_#003	
MID_BT1_#004	
MID_BT2_#001	
MID_BT2_#002	
MID_BT2_#003	
MID_BT2_#004	
MID_BT3_#001	
MID_BT3_#002	
MID_BT3_#003	
MID_BT3_#004	
