MJID_DragonLord	神龙之子
MJID_H_DragonLord	自古代延续至今的龙族后裔。\n能使用神龙剑术。
MJID_DragonKing	神龙之王
MJID_H_DragonKing	世界的领导者，拥有强大的龙之力量。\n能使用神龙剑术与神龙气功。
MJID_ShadowLord	邪龙之子
MJID_H_ShadowLord	没有自我意志的邪龙手下。\n能使用强大的邪龙剑术。
MJID_ShadowPrincess	邪龙之女
MJID_H_ShadowPrincess	继承邪龙血脉。\n擅长邪术，能使用强大的暗魔法。
MJID_ShadowKing	邪龙之王
MJID_H_ShadowKing	企图以邪恶力量支配世界。\n擅长暗魔法，能将一切破坏殆尽。
MJID_ShadowDragon	大邪龙
MJID_H_ShadowDragon	获得纹章士戒指之力的邪龙。\n拥有能打开异界之门的强大魔力。
MJID_AvenirLC	王室贵族
MJID_H_AvenirLC	拥有高贵王室血统之人。\n驾驭战马，擅长枪术。
MJID_Avenir	阿巴尼尔
MJID_H_Avenir	驰骋战场的白马王子。\n不仅擅长枪术，也精通剑术。
MJID_FleurageLC	王室贵族
MJID_H_FleurageLC	拥有高贵王室血统之人。\n擅长魔道，也能以剑战斗。
MJID_Fleurage	弗罗剌祝
MJID_H_Fleurage	使用魔法并斩杀敌人的魔法剑士。\n也能以杖战斗。
MJID_SuccesseurLC	领主
MJID_H_SuccesseurLC	继承引领众人的君主血脉之人。\n擅长剑术。
MJID_Successeur	继承者
MJID_H_Successeur	拥有统领国家的强大力量与意志之人。\n不仅擅长剑术，也精通斧术。
MJID_TirailleurLC	领主
MJID_H_TirailleurLC	继承引领众人的君主血脉之人。\n擅长弓术。
MJID_Tirailleur	狙击兵
MJID_H_Tirailleur	天赋异禀的神射手。\n能以百发百中的弓术狙击敌人。
MJID_LindwurmLC	驯兽师
MJID_H_LindwurmLC	与野兽心灵相通，并驱使其作战的骑士。\n驾驭飞龙，擅长魔法与杖术。
MJID_Lindwurm	林德普尔姆
MJID_H_Lindwurm	自空中歼灭敌人的魔龙骑士。\n擅长强大的魔法与杖术。
MJID_SleipnirLC	驯兽师
MJID_H_SleipnirLC	与野兽心灵相通，并驱使其作战的骑士。\n驾驭飞马，擅长魔法与杖术。
MJID_Sleipnir	斯雷普尼尔
MJID_H_Sleipnir	驾驭圣洁天马“斯雷普尼尔”的骑士。\n擅长高等杖术与魔法。
MJID_PitchforkLC	义警队
MJID_H_PitchforkLC	手持武器，捍卫国家的自卫团。\n擅长枪术。
MJID_Pitchfork	草叉枪兵
MJID_H_Pitchfork	凭借天衣无缝的枪术纵横战场的枪斗士。\n能踏着灵巧的步法给予敌人致命一击。
MJID_CupidoLC	义警队
MJID_H_CupidoLC	手持武器，捍卫国家的自卫团。\n驾驭战马，擅长弓术。
MJID_Cupido	邱比特
MJID_H_Cupido	身手敏捷、魅力四射的弓骑士。\n灵活运用弓术与剑术，将敌人玩弄于股掌间。
MJID_SwordFighter	刀剑战士
MJID_H_SwordFighter	擅长以剑战斗的士兵。\n能以敏捷的身法闪避敌人的攻击。
MJID_SwordMaster	刀剑将领
MJID_H_SwordMaster	登峰造极的剑术大师。\n能在生死关头避开攻击，并施展强力特技。
MJID_BraveHero	无畏英雄
MJID_H_BraveHero	实力过人的战场英雄。\n擅长运用各种武器一路杀进前线。
MJID_LanceFighter	枪战士
MJID_H_LanceFighter	使用长枪战斗的士兵。\n攻守能力皆具高水准。
MJID_Halberdier	枪斗士
MJID_H_Halberdier	经验老到的长枪士兵。\n在枪法上无人能出其右。
MJID_RoyalKnight	皇家骑士
MJID_H_RoyalKnight	骑着战马穿梭战场的高等骑士。\n不仅能鼓舞友军士气，也善于操杖。
MJID_AxFighter	斧战士
MJID_H_AxFighter	挥舞战斧，以力量为傲的战士。\n虽力大无穷，但防守较弱。
MJID_Berserker	狂斗士
MJID_H_Berserker	力大无比的铁腕斗士。\n能使用巨大的战斧将敌人粉身碎骨。
MJID_Warrior	勇士
MJID_H_Warrior	擅长击溃敌人的战斗专家。\n不仅能使用战斧，也能以弓战斗。
MJID_Archer	弓箭手
MJID_H_Archer	使用弓箭战斗的轻装士兵。\n能攻击稍远的敌人。
MJID_Sniper	狙击手
MJID_H_Sniper	精通弓术的狙击手。\n能以强力一箭射穿对手要害。
MJID_BowKnight	弓骑士
