MID_WU_C_1_IN_#001	我真的能进来吗？
MID_WU_C_1_IN_#002	应该不会被骂吧？
MID_WU_C_1_SOON_#001	抱歉，吵醒你了。
MID_WU_C_1_SOON_#002	啊……我本来就是要叫你起床，应该没关系吧。
MID_WU_C_1_SOON_#003	早安，神龙大人。
MID_WU_C_1_WAKEUP_#001	虽然我不太敢叫神龙大人起床，
MID_WU_C_1_WAKEUP_#002	但我更怕\x0E\x0A\x02\x00就这样一直不醒来。
MID_WU_C_1_WAKEUP_#003	我该怎么办才好……
MID_WU_C_1_WAKEUP_#004	要试着温柔地叫醒\x0E\x0A\x02\x00吗？
MID_WU_C_1_HELLO_#001	啊，早安，神龙大人。
MID_WU_C_1_HELLO_#002	真是不好意思，一睁开眼睛就看到我，吓到你了吧。
MID_WU_C_1_HELLO_#003	下次我会换个更好的方法叫你。
MID_WU_C_2_IN_#001	这里可是神龙大人的房间，
MID_WU_C_2_IN_#002	说不定会设下什么陷阱……
MID_WU_C_2_IN_#003	应该不会吧？
MID_WU_C_2_SOON_#001	听到可疑的脚步声，
MID_WU_C_2_SOON_#002	当然会马上醒来吧。
MID_WU_C_2_SOON_#003	嗯嗯……
MID_WU_C_2_SOON_#004	我很能理解你的心情。
MID_WU_C_2_WAKEUP_#001	嘿咻……
MID_WU_C_2_WAKEUP_#002	幸好什么事都没发生，这样我就安心了。
MID_WU_C_2_WAKEUP_#003	好，为了不吓到神龙大人……
MID_WU_C_2_WAKEUP_#004	我就用最温柔的语气叫醒\x0E\x0A\x02\x00吧。
MID_WU_C_2_WAKEUP_#005	神龙大人……
MID_WU_C_2_HELLO_#001	你昨晚睡得好吗？
MID_WU_C_2_HELLO_#002	被我这种人叫醒……
MID_WU_C_2_HELLO_#003	希望不会让你觉得不快……
MID_WU_C_2_HELLO_#004	不过，看你的表情，我的担心似乎是多余了。
MID_WU_B_1_IN_#001	毕竟神龙大人总是那么忙，
MID_WU_B_1_IN_#002	会起不来也是正常的吧。
MID_WU_B_1_SOON_#001	咦？你不多睡一下吗？
MID_WU_B_1_SOON_#002	我都已经准备好要打长期战了呢……
MID_WU_B_1_SOON_#003	你可不要太勉强自己哦。
MID_WU_B_1_WAKEUP_#001	真是的，明明只要做好自己的事就行了……
MID_WU_B_1_WAKEUP_#002	你就是爱管别人的麻烦事，才会累成这样。
MID_WU_B_1_WAKEUP_#003	偶尔也要爱惜一下自己嘛。
MID_WU_B_1_HELLO_#001	早安，
MID_WU_B_1_HELLO_#002	已经起来了吗，真是了不起呢。
MID_WU_B_1_HELLO_#003	虽然有点睡过头就是了……
MID_WU_B_1_HELLO_#004	别担心，
MID_WU_B_1_HELLO_#005	我会帮你跟大家好好说明的。
MID_WU_B_2_IN_#001	好痛……
MID_WU_B_2_IN_#002	来这里的途中摔了一跤。
MID_WU_B_2_IN_#003	我真的是最讨厌疼痛了。
MID_WU_B_2_SOON_#001	你醒来啦，听我说……
MID_WU_B_2_SOON_#002	我刚才在那边的楼梯摔倒了。
MID_WU_B_2_SOON_#003	神龙大人也要小心哦，
MID_WU_B_2_SOON_#004	一摔下去可是真的很疼啊。
MID_WU_B_2_SOON_#005	那么，我先走喽。
MID_WU_B_2_WAKEUP_#001	虽然刚才摔倒的地方很硬……
MID_WU_B_2_WAKEUP_#002	但看到神龙大人的床这么软，我就放心了。
MID_WU_B_2_WAKEUP_#003	不过，要是再多摆几个玩偶，
MID_WU_B_2_WAKEUP_#004	应该会更棒吧。
MID_WU_B_2_HELLO_#001	对了，神龙大人。
MID_WU_B_2_HELLO_#002	为了让你能睡得更舒服，
MID_WU_B_2_HELLO_#003	要不要在床上摆几个玩偶啊？
MID_WU_B_2_HELLO_#004	抱着玩偶就能安心入睡了哟。
MID_WU_A_1_IN_#001	抱歉在你这么累的时候打扰你，
MID_WU_A_1_IN_#002	但有人让我来叫你起床。
MID_WU_A_1_SOON_#001	你其实很想多睡一会吧。
MID_WU_A_1_SOON_#002	我懂……
MID_WU_A_1_SOON_#003	软绵绵的被窝，
MID_WU_A_1_SOON_#004	有着让人无法离开的魔力呢。
MID_WU_A_1_WAKEUP_#001	喂～你还是很困吗？
MID_WU_A_1_WAKEUP_#002	真是的……
MID_WU_A_1_WAKEUP_#003	要是再不起床，
MID_WU_A_1_WAKEUP_#004	我就要弹你的额头喽～
MID_WU_A_1_WAKEUP_#005	这招可是你教我的呢。
MID_WU_A_1_HELLO_#001	哈哈，还真的起来了。
MID_WU_A_1_HELLO_#002	虽然说是弹额头，但我不会用力啦。
