MID_FORTUNE_TROUBLE_Lueur	只有蓝色的头发\n容易在睡醒时乱翘。
MID_FORTUNE_TROUBLE_Vandre	编得最好的蕾丝织品\n却掉到水坑里了。
MID_FORTUNE_TROUBLE_Clan	被敌人说身上有酸菜的味道。
MID_FORTUNE_TROUBLE_Fram	想和神龙大人说说话，\n却老是碰不上对的时机。
MID_FORTUNE_TROUBLE_Alfred	总会被人问说：\n“你头上的花是真的吗？”
MID_FORTUNE_TROUBLE_Boucheron	在森林睡午觉时，\n被别人误认成熊了。
MID_FORTUNE_TROUBLE_Etie	买了一大堆肌肉增强剂，\n味道却不是很令人满意。
MID_FORTUNE_TROUBLE_Celine	因为太喜欢喝热红茶，\n常常烫到自己的舌头。
MID_FORTUNE_TROUBLE_Louis	冲出满意的红茶时，\n会忍不住傻笑一整天。
MID_FORTUNE_TROUBLE_Chloe	给伙伴飞马分享珍奇美食，\n却换来它一脸嫌弃的表情。
MID_FORTUNE_TROUBLE_Veyre	不知为何只有黑色发尾\n分岔得特别严重。
MID_FORTUNE_TROUBLE_Mauve	自己也爱吃甜食一事，\n总觉得有些难以启齿。
MID_FORTUNE_TROUBLE_Diamand	无论何时，\n手心的温度总是很高。
MID_FORTUNE_TROUBLE_Umber	买了传说中的武器，\n却发现又是个假货。
MID_FORTUNE_TROUBLE_Jade	最近力气变大了，\n老是把笔头写断。
MID_FORTUNE_TROUBLE_Staluke	和不熟的人对上眼时，\n总觉得很可怕。
MID_FORTUNE_TROUBLE_Lapis	使劲绑在头上的缎带\n就连自己也解不开。
MID_FORTUNE_TROUBLE_Citrinica	以为自己摆出了亲切的微笑，\n却把对上视线的孩子吓哭了。
MID_FORTUNE_TROUBLE_Ivy	虽然好奇雪尝起来是什么滋味，\n但自尊心却不允许自己这么做。
MID_FORTUNE_TROUBLE_Zelkova	身上虽然带着许多钥匙，\n却分不清楚它们的用途。
MID_FORTUNE_TROUBLE_Kagetsu	常被别人说：\n“你好像都没有烦恼呢。”
MID_FORTUNE_TROUBLE_Hortensia	想要一直维持可爱的形象，\n睡醒时的脸却是唯一败笔。
MID_FORTUNE_TROUBLE_Rosado	想画下结合时的英姿，\n却总是没那个闲工夫。
MID_FORTUNE_TROUBLE_Goldmary	城里的人不分男女老幼，\n都被自己迷得神魂颠倒。
MID_FORTUNE_TROUBLE_Misutira	因为耐不住性子等肉烤好，\n常常会吃到半生不熟的肉。
MID_FORTUNE_TROUBLE_Merin	发现动物时会露出\n不怎么帅气的傻笑。
MID_FORTUNE_TROUBLE_Panetone	对大家都怕虫这件事感到难过。\n虫子明明就很可爱。
MID_FORTUNE_TROUBLE_Fogato	很喜欢吃水果，\n但总切不好。
MID_FORTUNE_TROUBLE_Pandoro	战斗中遇上该祷告的时间时，\n不知道该如何是好。
MID_FORTUNE_TROUBLE_Bonet	对占卜卡的滋味，\n好奇到无法自拔。
MID_FORTUNE_TROUBLE_Anna	总是被别人说\n曾在其他地方见过自己。
MID_FORTUNE_TROUBLE_Jean	立志成为医生，\n吃药时却很怕苦。
MID_FORTUNE_TROUBLE_Yunaka	别在头发上的星星，\n在战斗中有时会脱落。
MID_FORTUNE_TROUBLE_Seadas	本来打算替别人占卜，\n却总是算到自己头上。
MID_FORTUNE_TROUBLE_Linden	做点心时总是乐在其中，\n每次都会不小心做太多。
MID_FORTUNE_TROUBLE_Saphir	看到池塘时，总会想象\n自己是悠游其中的鱼儿。
MID_FORTUNE_TROUBLE_Shere_01	走进其他房间时，\n常会忘记自己是为何而来。
MID_FORTUNE_TROUBLE_Shere_02	不小心踩到了盛开的花朵。
MID_FORTUNE_TROUBLE_Shere_03	刚才笑了一声后，\n打嗝就停不下来了。
MID_FORTUNE_TROUBLE_Shere_04	想和纹章士变得更要好，\n却总是会不自觉地紧张。
MID_FORTUNE_TROUBLE_Shere_05	最近吃完油腻的东西后，\n肚子会不太舒服。
MID_FORTUNE_TROUBLE_Shere_06	虽然脸上一副若无其事的样子，\n但现在还是会在索拉涅尔迷路。
MID_FORTUNE_TROUBLE_Shere_07	在夜半时分仰望星空时，\n会不小心躺在地上睡着。
MID_FORTUNE_TROUBLE_Shere_08	每次喊“纹章·结合！”时，\n都很怕会吃螺丝。
MID_FORTUNE_TROUBLE_Shere_09	之前曾经脚滑掉进\n索拉涅尔的池塘里。
MID_FORTUNE_TROUBLE_Shere_10	这里的伙食太好了，\n自己比刚来时胖了一点。
MID_FORTUNE_TROUBLE_Shere_11	每天都会光顾索拉涅尔的商店，\n但逛完之后却不知道该买什么。
MID_FORTUNE_TROUBLE_Shere_12	每天晚上都会肚子饿，\n戒不掉吃宵夜的习惯。
MID_FORTUNE_TROUBLE_Shere_13	其实替自己的武器\n取了一个可爱的名字。
MID_FORTUNE_TROUBLE_Shere_14	现在身上穿的这件衣服，\n下摆有许多地方脱线了。
MID_FORTUNE_TROUBLE_Shere_15	虽然装作一脸无事，\n其实睡到落枕了。
MID_FORTUNE_TROUBLE_Shere_16	得到新的武器时，\n会开心到抱着睡觉。
MID_FORTUNE_TROUBLE_Shere_17	总觉得最近老是搞不定发型。
MID_FORTUNE_TROUBLE_Shere_18	会特别在意自己\n结合后的样貌好不好看。
MID_FORTUNE_TROUBLE_Shere_19	附近没人时，\n会拉开嗓门高歌。
MID_FORTUNE_TROUBLE_Shere_20	看到纹章士身上散发的光芒，\n总是忍不住想伸手去摸摸看。
MID_FORTUNE_TROUBLE_Shere_21	大概有三个人跟我说过\n自己会讲奇怪的梦话。
MID_FORTUNE_TROUBLE_Shere_22	总会在意战火是否\n波及到了附近的野生动物。
MID_FORTUNE_TROUBLE_Shere_23	最近已经连续五天\n梦到自己睡过头了。
MID_FORTUNE_TROUBLE_Shere_24	总觉得有人看到了\n自己在平地跌倒的丑态。
MID_FORTUNE_TROUBLE_Shere_25	站在崖上对天呐喊时，\n听到有人回应觉得很可怕。
MID_FORTUNE_TROUBLE_Shere_26	看着那些每天都在严格训练的人，\n非常担心他们的身体会吃不消。
MID_FORTUNE_TROUBLE_Shere_27	和平常没怎么说过话的人\n擦身而过时被他拍了下肩膀。
MID_FORTUNE_TROUBLE_Shere_28	深夜时分写下的诗稿，\n好像掉在某个地方了。
MID_FORTUNE_TROUBLE_Shere_29	午餐的菜粘在脸颊上，\n却一整天都没有发现。
