MID_MSG_CC_DLC_JOB_OPEN	可以转职为\n“附魔师”或“魔法加农炮兵”了。\n（需有各兵种的专用道具）
MID_MSG_EVIL_COMPLETE_REWARD	邪龙之章通关奖励
MID_DLC_News_Patch3_Title	Ver.2.0.0 更新内容
MID_DLC_News_Patch3	【扩展票】\n\n・新增故事\n　通关所有战斗地图后，\n　将有新伙伴加入，\n　还可转职成特殊兵种“附魔师”及“魔法加农炮兵”。\n\n【免费更新】\n\n・将赠送结合武器的强化材料\n　通关第四章后，进入据点即可领取。\n\n・在Nintendo eShop也可免费获取联动内容
MID_MSG_GET_ITEM_Patch3	已领取免费更新特典2
MID_SYS_EvilMap	邪龙之章
MID_SysDialog_Move_EvilMap	前往邪龙之章
MID_MSG_Encount_EvilMap	邪龙之章已出现遭遇战
MID_Hub_Well_GotoEvil	前往邪龙之章
MID_Hub_Well_GotoEvil_Dialog_Message	是否要开始邪龙之章？
MID_Hub_Well_GotoEvil_Dialog_Yes	开始
MID_Hub_Well_GotoEvil_Dialog_Message_After	要前往邪龙之章吗？
MCID_E001_PREFIX	邪龙之章1
MCID_E001	异国双龙
MCID_E001_PLACE	手镯祭坛
MCID_E002_PREFIX	邪龙之章2
MCID_E002	动荡不安的花城
MCID_E002_PLACE	华美之园
MCID_E002_OUTLINE	神龙与爱尔、伊尔一同击退刺客后，\n便前往费列聂王国，欲取回纹章士手镯。
MCID_E003_PREFIX	邪龙之章3
MCID_E003	士兵们的作战之道
MCID_E003_PLACE	威严之路
MCID_E003_OUTLINE	一行人让费列聂的纹章士沉眠后，\n便前往布罗帝亚王国，欲取回新的手镯。
MCID_E004_PREFIX	邪龙之章4
MCID_E004	王者之战
MCID_E004_PLACE	极寒森林
MCID_E004_OUTLINE	手镯还剩三个尚未取回。\n此时，一行人发现伊尔席翁的诡异行动。
MCID_E005_PREFIX	邪龙之章5
MCID_E005	邪龙继承者
MCID_E005_PLACE	沙尘堡垒
MCID_E006_PREFIX	邪龙之章6
MCID_E006	七手镯
MCID_E006_PLACE	坠落的索拉涅尔
MCID_E006_OUTLINE	爱尔与所有手镯皆遭人夺走后，\n神龙决意前往伊尔口中的昔日浮游岛。
MID_RULE_DLC_LOSE	\x0E\x06\x03\x00、爱尔或伊尔被击败
MID_RULE_DLC_LOSE2	\x0E\x06\x03\x00或爱尔被击败
MID_RULE_E001_WIN	击败？？？
MID_RULE_E002_WIN	击败阿尔弗雷德与锡莉奴
MID_RULE_E003_WIN	击败帝亚曼德与史塔卢克
MID_RULE_E004_WIN	击败艾比与蜜丝提拉
MID_RULE_E005_WIN	击败伊尔
MID_RULE_E006_WIN	击败大邪龙伊尔
MTID_Cemetery	墓地
MTID_Dragon	邪龙阵
MPID_El	爱尔
MPID_H_El	继承邪龙血脉的双胞胎姐姐。\n与弟弟携手奋战的坚强女性。
MPID_Il	伊尔
MPID_H_Il	继承邪龙血脉的双胞胎弟弟。\n支持着姐姐的善良青年。
MPID_H_Il_E005	继承邪龙血脉的双胞胎弟弟。\n背叛姐姐与神龙后，显露本性的青年。
MPID_Il_E006	大邪龙伊尔
MPID_H_Il_E006	继承父王尚卜尔的遗志，\n利用七手镯之力化为大邪龙的青年。
MPID_Rafale	拉法尔
MPID_H_Rafale	继承邪龙血脉的青年。\n答应神龙的邀请，再次与其并肩作战。
MPID_Selestia	赛勒斯提雅
MPID_H_Selestia	四翼的首领。\n魔龙族的后裔，情感丰富，相当为伙伴着想。
MPID_Gregory	孤雷葛里
MPID_H_Gregory_E	四翼的一员。\n性格爽朗，行动却非常谨慎的胆小魔术师。
MPID_H_Gregory	四翼的副官。\n性格爽朗，行动却非常谨慎的胆小魔术师。
MPID_Madeline	玛德琳
MPID_H_Madeline	四翼的一员。\n理性且信念坚定的重装骑士。
MPID_MorphWolf	异形狼
MPID_H_MorphWolf	邪龙用秘术制造出的异形狼。\n行动敏捷，会以尖爪与利牙发动攻击。
MPID_MorphWolfSilver	银异形狼
MPID_H_MorphWolfSilver	邪龙用秘术制造出的黑银异形狼，非常罕见。\n击倒后可获得大量的经验值。
MPID_MorphDragonF	异形飞龙
MPID_H_MorphDragonF	邪龙用秘术制造出的巨大异形飞龙。\n会在空中翱翔，喷出猛烈的吐息。
MPID_MorphDragonFGold	金异形飞龙
MPID_H_MorphDragonFGold	邪龙用秘术制造出的金色飞龙，非常罕见。\n击倒后可获得大量的金币。
MPID_ShadowSiblings	邪龙的兄弟姐妹
MPID_H_FogatoHide	神秘的敌人。\n觊觎纹章士手镯的刺客。
MPID_H_AlfredR	异世界的费列聂国王。\n非常好战，歼灭敌人毫不手软。
MPID_H_CelineR	异世界的费列聂公主。\n感情用事，对其他人非常傲慢。
MPID_H_DiamandR	异世界的布罗帝亚国王。\n优柔寡断，懦弱又没有信念。
MPID_H_StalukeR	异世界的布罗帝亚王子。\n自尊心很强，看不起软弱的哥哥。
MPID_H_IvyR	异世界的伊尔席翁女王。\n迷恋高贵的自己，十分鄙视下贱的妹妹。
MPID_H_HortensiaR	异世界的伊尔席翁公主。\n因丧父之痛导致精神崩溃。
MPID_H_MisutiraR	异世界的索尔姆女王。\n严肃且不知变通。
MPID_H_FogatoR	异世界的索尔姆王子。\n上战场也不忘笑容的享乐主义者。
MPID_alias_El	诚心的邪龙
MPID_alias_Rafale	赎罪的邪龙
MPID_alias_Selestia	全新的爱
MPID_alias_Gregory	过往的伤痕
MPID_alias_Madeline	赞颂之蓝
MJID_ShadowPrincessR	邪龙之女
MJID_H_ShadowPrincessR	继承邪龙血脉。\n手执长枪，能用龙石化成龙参战。
MJID_ShadowLordR	邪龙之子
MJID_H_ShadowLordRE	继承邪龙血脉。\n不善战斗，却仍为了和平挥舞战斧。
MJID_H_ShadowLordRE_E005	继承邪龙血脉。\n显露本性，为达目的挥舞战斧。
MJID_H_ShadowLordR	继承邪龙血脉。\n手执战斧，能用龙石化成龙参战。
MJID_ShadowDragonR	大邪龙
MJID_H_ShadowDragonR	获得纹章士手镯之力的邪龙。\n能发动强大的攻击将战场破坏殆尽。
MJID_MorphWolf	异形狼
MJID_H_MorphWolf	将世界导向毁灭的邪龙使徒。\n会用带有诅咒的獠牙对猎物穷追不舍。
MJID_MorphFlyingDragon	异形飞龙
MJID_H_MorphFlyingDragon	将世界导向毁灭的邪龙使徒。\n所使出的邪恶吐息能将远处的猎物一网打尽。
MJID_AvenirR	EX王室贵族
MJID_H_AvenirR	渴望争斗的好战之人。\n驾驭战马，善于枪术。
MJID_FleurageR	EX王室贵族
MJID_H_FleurageR	渴望争斗的好战之人。\n善于魔道，也能以剑战斗。
MJID_SuccesseurR	EX领主
MJID_H_SuccesseurR	失去荣耀并忘记骑士精神之人。\n善于剑术。
MJID_TirailleurR	EX领主
MJID_H_TirailleurR	失去荣耀并忘记骑士精神之人。\n善于弓术。
MJID_LindwurmR	EX驯兽师
MJID_H_LindwurmR	控制野兽并信仰邪龙之人。\n驾驭飞龙，善于魔法与杖术。
MJID_SleipnirR	EX驯兽师
