MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	魔法加农炮兵
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	魔法加农炮兵会从远处发射炮弹攻击，\n需多加留意。
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	敌方的魔法加农炮兵显示全体危险范围的方式\n与一般情况不同。
MID_TUT_HUB_WELL_TITLE	神秘水井
MID_TUT_HUB_WELL_0	把不需要的道具丢到水井里吧。\n（丢到水井的道具将会消失）
MID_TUT_HUB_WELL_1	出击后再来查看水井，\n将可获得其他道具。
MID_TUT_HUB_WELL_2	丢入的道具价值越高，期待值便越高，\n可获得优质道具的机率也就越大。
MID_TUT_HUB_WELL_WEAPON_1	武器店老板似乎有什么事。
MID_TUT_HUB_WELL_WEAPON_2	到水井找武器店老板的失物吧。
MID_TUT_HUB_WELL_WEAPON_3	把在水井捡到的武器交给武器店老板吧。
MID_TUT_GOD_CHROM_TITLE	纹章士库洛武
MID_TUT_GOD_CHROM_0	“纹章士库洛武”会用自己的剑术\n及伙伴鲁弗莱的魔法或计策，将敌人玩弄于股掌之间。
MID_TUT_GOD_CHROM_1	同步技“偷袭”\n可让人在“回避+补正地形”发动攻击时，\n不会遭到敌人反击。
MID_TUT_GOD_CHROM_2	结合武器“雷电剑”\n可以对远处的敌人发动魔法攻击。
MID_TUT_GOD_CHROM_3	结合特技“另一半”\n因为鲁弗莱的力量而大幅提升魔力，\n战斗时鲁弗莱也会参与连锁攻击。
MID_TUT_GOD_CHROM_4	结合技“万钧雷霆剑”\n可用附有魔力的剑攻击敌人，\n并对“魔防”低的对手造成大量伤害。
MID_TUT_GOD_VERONICA_TITLE	纹章士维洛妮卡
MID_TUT_GOD_VERONICA_0	“纹章士维洛妮卡”的战术变幻莫测，\n可召唤我方单位或发动特殊攻击。
MID_TUT_GOD_VERONICA_1	同步技“血仇”\n在攻击敌人时，若自身HP未达最大值，\n会将减少量的30%加计至攻击力。
MID_TUT_GOD_VERONICA_2	结合武器“至高王座之杖”\n可在主动攻击时，让自身不会遭到对手反击。
MID_TUT_GOD_VERONICA_3	结合特技“契约”\n可让结束行动的我方单位\n再次发动攻击或使用道具。
MID_TUT_GOD_VERONICA_4	结合技“英雄召唤”\n可在地图上随机召唤\n我方单位一起并肩作战。
MID_TUT_TIPS_Veronica	纹章士维洛妮卡
MID_TUT_TIPS_Chrom	纹章士库洛武
MID_TUT_TIPS_Reflet	纹章士鲁弗莱
MID_TIPS_OTHER_36	道具若丢入“神秘水井”，出击后将会变成其他道具。
MID_TIPS_SKILL_34	击败等级高于自身的单位时，自身等级将会提升，并持续至整场战斗结束。
MID_TIPS_SKILL_35	不展开战斗及不使用道具便待命时，“异界之力”会提升1个阶段。
MID_TIPS_JOB_01	使用休息之杖能解除幻影狼的“牙咒”。
MID_TIPS_GOD_35	异界恩布拉帝国的皇女，能关闭通往其他世界的门扉。
MID_TIPS_GOD_36	是位能操控异界英雄的少女，曾用这份力量侵略其他国家。
MID_TIPS_GOD_37	继承传说之剑“法尔西昂”的异界伊里斯圣王国王子。
MID_TIPS_GOD_38	与库洛武建立深厚友谊的军师，会用计扭转战局，带领伙伴取得胜利。
