MID_SYS_EnchantEffect	附魔效果
MID_DLC_News_Patch1_Title	Ver.1.2.0 更新内容
MID_DLC_News_Patch1	【扩展票】\n\n・新增纹章士海克托尔、纹章士塞涅里欧、纹章士卡美拉\n　通关他们各自的新战斗地图后，该纹章士就会成为伙伴。\n\n・新增扩展票购买特典2\n　可领取锻造材料、武器及特技之书等道具。\n\n・新增装饰品\n　到装饰品店即可领取\n　　“守护神配对套装”、“守护神尊容”、\n　　“守护神耳朵”、“狗耳朵”、\n　　“兔耳朵”、“狐狸耳朵”。\n\n【免费更新】\n\n・据点设施新增“放松身心”\n　使用该项目即可提升伙伴的支援值。\n
MID_MSG_GET_ITEM_DLC_Accessory2	已领取扩展票购买特典2
MCID_G002_PREFIX	神龙之章
MCID_G002	热血猛将
MCID_G002_PLACE	狂战士洞穴
MCID_G002_OUTLINE	据说有人在瘴气弥漫的阴暗洞穴中，\n发现了新的手镯。
MCID_G004_PREFIX	神龙之章
MCID_G004	苍色参谋
MCID_G004_PLACE	灼热焦土
MCID_G004_OUTLINE	据说有人在周围满是灼热熔岩流的\n岩山洞窟内，发现了新的手镯。
MCID_G005_PREFIX	神龙之章
MCID_G005	黑暗妖艳
MCID_G005_PLACE	黄昏水都
MCID_G005_OUTLINE	据说有人在满是下水道\n且被人遗忘的废都里，发现了新的手镯。
MID_RULE_G002_WIN	战胜纹章士海克托尔
MID_RULE_G004_WIN	战胜纹章士塞涅里欧
MID_RULE_G005_WIN	战胜纹章士卡美拉
MTID_VolcanicBombTraces	焦痕
MTID_Fumarole	喷气孔
MTID_Crater	喷火口
MPID_Hector	海克托尔
MPID_H_Hector	人称“天雷纹章士”。\n是位充满自信且勇敢善战的豪爽青年。
MPID_Senerio	塞涅里欧
MPID_H_Senerio	人称“贤风纹章士”。\n是位做事沉着，能冷静下判断的黑衣参谋。
MPID_Camilla	卡美拉
MPID_H_Camilla	人称“暗夜纹章士”。\n是位非常妖艳美丽的魔龙骑士。
MGID_Hector	海克托尔
MGID_H_Hector	人称“天雷纹章士”。\n是位充满自信且勇敢善战的豪爽青年。\n会为了伙伴挺身而出，挥斧即可横扫千军。
MGID_H_EnemyHector	从“热血猛将的手镯”中苏醒的纹章士。
MGID_Senerio	塞涅里欧
MGID_H_Senerio	人称“贤风纹章士”。\n是位做事沉着，能冷静下判断的黑衣参谋。\n擅长魔道，精通高等魔法。
MGID_H_EnemySenerio	从“苍色参谋的手镯”中苏醒的纹章士。
MGID_Camilla	卡美拉
MGID_H_Camilla	人称“暗夜纹章士”。\n是位非常妖艳的美丽魔龙骑士。\n能在空中以斧与魔法葬送敌人。
MGID_H_EnemyCamilla	从“黑暗妖艳的手镯”中苏醒的纹章士。
MGEID_Hector	天雷纹章
MGEID_Senerio	贤风纹章
MGEID_Camilla	暗夜纹章
MJID_Enchant	附魔师
MJID_H_Enchant	灵活运用道具作战的军医。\n除了能使用运输队，还擅长以战术支援伙伴。
MIID_Hector_WolfBeil	沃夫拜尔
MIID_H_Hector_WolfBeil	纹章士海克托尔的斧。\n克制骑马/克制重装。
MIID_Hector_Runesword	卢恩剑
MIID_H_Hector_Runesword	纹章士海克托尔的魔法剑。\n攻击时可回复自身HP，\n回复量为造成伤害的50%，\n并能以魔法攻击远处敌人。
MIID_Hector_Armads	阿尔玛兹
MIID_H_Hector_Armads	纹章士海克托尔的天雷之斧。\n防守+5/克制龙。
MIID_Senerio_Thunderstorm	雷暴
MIID_H_Senerio_Thunderstorm	纹章士塞涅里欧的长射程雷魔法\n不可追击
MIID_Senerio_MagicShield	魔法防护罩
MIID_H_Senerio_MagicShield	纹章士塞涅里欧的魔法之杖。\n周围2格内的我方单位受到魔法攻击时，\n可将所受伤害的50%反击给对方，\n效果持续1回合。
MIID_Senerio_Rexcalibur	列克斯卡利伯
MIID_H_Senerio_Rexcalibur	纹章士塞涅里欧最高等的风魔法。\n克制飞行。
MIID_Senerio_Disaster	灾厄
MIID_H_Senerio_Disaster	纹章士塞涅里欧的连续攻击魔法。\n能对范围内的敌人发动40%伤害的\n炎、雷、风（克制飞行）连续魔法攻击。
MIID_Camilla_BoltAxe	闪雷斧
MIID_H_Camilla_BoltAxe	纹章士卡美拉的魔法斧。\n能攻击远方敌人。
MIID_Camilla_Lightning	闪电
MIID_H_Camilla_Lightning	纹章士卡美拉的魔法。\n由自身发动攻击时，连续攻击2次。
MIID_Camilla_Camilla'sAxe	卡美拉的艳斧
MIID_H_Camilla_Camilla'sAxe	纹章士卡美拉的斧。\n魔防+10/将对方的（魔防-防守）\n加计至伤害。
MIID_HE_Vulnerary	可回复自身与周围2格内\n我方单位15HP。
MIID_HE_Antidote	可解除自身与相邻我方单位的\n异常状态。
MIID_HE_Medicine	自身与相邻我方单位的\n结合计量条+2。
MIID_HE_HolyWater	可赋予自身与相邻我方单位\n克制异形效果，效果持续1回合。
MIID_HE_Torch	可赋予自身与相邻我方单位\n火把效果。（可照亮周围7格，\n每回合逐渐缩小）
MIID_HE_HpTonic	自身与相邻我方单位\n不会受到敌人的连锁攻击伤害，\n效果持续1回合。\n此外，将依等级提升HP最大值。
MIID_HE_StrTonic	自身与相邻我方单位的\n武器重量减半，效果持续1回合。\n此外，将依等级提升力量。
MIID_HE_TecTonic	自身与相邻我方单位受到敌人攻击时，\n不会陷入打破状态，效果持续1回合。\n此外，将依等级提升技巧。
MIID_HE_SpdTonic	自身与相邻我方单位\n不会陷入冰封状态，效果持续1回合。\n此外，将依等级提升速度。
MIID_HE_LckTonic	自身与相邻我方单位\n有30%几率使敌人的攻击无效，\n效果持续1回合。
MIID_HE_DefTonic	自身与相邻我方单位\n受到敌人的物理攻击时，\n可将所受伤害反击给对方，\n效果持续1回合。
MIID_HE_MagTonic	自身与相邻我方单位\n不会陷入沉默状态，效果持续1回合。\n此外，将依等级提升魔力。
MIID_HE_MdefTonic	自身与相邻我方单位\n受到敌人的魔法攻击时，\n可将所受伤害反击给对方，\n效果持续1回合。
MIID_HE_Bento	对1名相邻我方单位赋予效果。战斗开始时，\n若该单位的HP为2以上，无论受到多大伤害，\n该单位必定能以1HP的状态存活下来。\n（此效果发动后即会消失）
MIID_HE_WeaponAvo	战斗结束前\n使同名武器的回避提升20。
MIID_HE_WeaponDef	战斗结束前\n使同名武器的防守与魔防提升5。
MIID_HE_WeaponCrit	战斗结束前\n使同名武器的必杀提升20。
MIID_HE_WeaponAtk	战斗结束前\n使同名武器的威力提升5。
MIID_HE_WeaponHit	战斗结束前\n使同名武器的命中提升20。
MIID_HE_WeaponAvo_Short	附魔效果：回避+20
MIID_HE_WeaponDef_Short	附魔效果：防守+5、魔防+5
MIID_HE_WeaponCrit_Short	附魔效果：必杀+20
MIID_HE_WeaponAtk_Short	附魔效果：威力+5
MIID_HE_WeaponHit_Short	附魔效果：命中+20
MSID_QuickResponse	回击
MSID_H_QuickResponse	受到敌人攻击时\n若自身的HP为80%以上将发动追击
MSID_QuickResponse+	回击+
MSID_H_QuickResponse+	受到敌人攻击时\n若自身的HP为60%以上将发动追击
MSID_HeavyAttack	重击
MSID_H_HeavyAttack	发动物理攻击时\n若装备的武器重量大于体格\n则将超过的数值加计至伤害\n（上限为+5）
MSID_GazeDiagonally	角之瞪视
MSID_H_GazeDiagonally	在HP为最大值时，可使用“角之瞪视”指令\n消耗HP最大值的20%\n阻止敌人进入自身斜角4格范围内\n效果持续1回合
MSID_H_GazeDiagonally_CMD	防止敌人进入自身斜角4格范围内。
MSID_WARNING_GazeDiagonally_CMD	HP未达最大值，无法使用。
MSID_Adaptability	适应力
