MID_WU_C_1_IN_#001	神龙大人，打扰了，请问我现在可以进去吗？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哎呀，您这么快就醒了啊。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早安，我得去告诉今天的主厨……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	要赶快准备早餐才行呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	我其实很喜欢照顾人的……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	但在宅邸时大家什么事都不让我做……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	所以我一直很期待今天的到来哦，呵呵呵。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安，神龙大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	我来帮您梳洗更衣吧。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我一直很想试试女仆的工作呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	来，请尽管吩咐我吧。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	糟糕，我迟到了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	神龙大人，真的很抱歉。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我一直在思考您会喜欢什么样的早餐……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	一个不小心就耽误了时间。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	您喜欢吃什么呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	我在思考神龙大人的早餐要怎么安排……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	回过神来就这个时间了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	是烤肉片做主餐搭配面包和蔬菜，还是要……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安，不好意思，您刚醒我就问问题……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	能请神龙大人告诉我，您喜欢的食物吗？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	我想做个参考好让主厨做料理。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	居然将这样的重责大任交给我，太令人开心了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	神龙大人连睡醒的样子都很优雅呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我总是想赖床……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	让女仆们很困扰。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	为了让神龙大人起床时能有好心情，我今天带了宝石来哦。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	有钻石、黄宝石、祖母绿……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	还有和神龙大人眼睛很像的红、蓝宝石。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安，晨光中看这些宝石是不是很漂亮？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	那些都是产自布罗帝亚……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	由工匠精心打磨而成的宝石。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	全都送给神龙大人。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	索拉涅尔的路边还真是出现什么都不奇怪呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安，神龙大人。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	今天早上我在路边看到了一个很大的牛奶瓶。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	自从我在路边捡了小石头……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	就总忍不住去看有什么东西呢……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	今天早上是牛奶瓶，昨天是红茶的茶叶……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	大前天则是很重的金属块……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	但这些就没办法像之前的小石头一样……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	拿来送给神龙大人了……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	就算是我，寻找失主这点小事还是能做的。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	神龙大人，您要不要也来帮忙呢？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	哎呀，裙子上有灰尘……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	我要不要回去一趟……\x0E\x04\x00\x00
MID_WU_A_1_IN_#003	把衣服换了呢？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早安，我今天是锻炼完才过来的……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	实在是有些仪表不整……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	还请您见谅。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	但我会继续坚持晨练的。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	毕竟勤能补拙嘛。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	任何人都能拥有实力……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	但那也是需要付出努力的……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	您醒了啊。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	您可以悠闲度过这个早晨……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	或是选择活动一下筋骨。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	神龙大人，您想怎么做呢？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龙大人，我用今天早上摘的香草做了花束。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	是不是很香？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	呵呵……听说这种香草能让人起床后精神一振……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	是不是已经有效果了？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我看您很喜欢我之前送的花束……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	所以这次又换了种形式。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	做成干燥花可以保存很久……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	这样您就能慢慢欣赏了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	哎呀，我本来是想把花束放在您枕头边的……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	很高兴您醒来了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	毕竟我最喜欢看到您开心的样子了。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我来叫您起床喽，我亲爱的搭档。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	您一早就让我见到如此耀眼的宝石……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	是为了报复我扰了您的清梦吗？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	我是指您的双眸啊……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	您的双眸美得令所有宝物都黯然失色了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我今天摘了野花，想送给您。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	虽然这礼物很不起眼……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	但您会喜欢的吧？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	从前我总想着……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	要尽力为我喜欢的人们做些什么。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	可现在……我只想让您……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	比任何人都幸福。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，呵呵呵……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	早上来叫您起床的这段时光……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	是我最珍贵的宝物。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	如果您也能这么想……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	那我会非常开心的。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	这是之前送的花束和小石头……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	呵呵……这个房间到处都有我的心意呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安，我真高兴……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	您还留着我送您的礼物……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	我也很珍惜您送我的戒指。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	它是我人生中最珍贵的宝物。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	哎呀，神龙大人您看起来很累呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我去买一片海滩，给您度个假吧？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	啊，不行不行……送礼要包含心意才行。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	可我今天什么都没带……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	还有什么能慰劳您呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	对了，这样如何？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我轻轻地吻一下您的额头吧……我开玩笑的。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	哇，您、您醒了啊。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	没什么，我只是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	在想要送您什么礼物。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	总有一天，我一定要……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	就请您拭目以待吧。\x0E\x04\x00\x00
