MID_WU_C_1_IN_#001	打扰了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	没想到您能这么快就醒来……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	这下就算受到敌人袭击也不用担心了呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	那我就先告辞了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	总觉得进神龙大人的卧室有些不好意思……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	但既已受命，我就得做好。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	……神龙大人，神龙大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	或许在我的呼唤中醒来，\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	会让您的心情不太愉快……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	还请您原谅。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	“骑士踏入了祭坛……”\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	“神龙听见了骑士的脚步声，立刻从睡梦中醒了过来……”\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	早安，神龙大人。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	“神龙横卧于祭坛上，呼吸平稳绵长。”\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	“骑士突然狠狠摔了一跤，扰了神龙的安眠……”\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	……这发展行不通吧。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	“骑士小心翼翼地唤了一声，”\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	“希望能唤醒神龙……”\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	早安，您睡得还舒适吗？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	真安静……似乎很适合集中精神冥想呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	抱歉，搅扰了宁静的时光。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	时间已经到了，请您尽快打理好。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	还有点时间，不如来冥想吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	不行……无法排除杂念……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	我下部喜剧的灵感来了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	您醒了吗？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	那我就先告退了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	我得趁忘记前，赶紧把构想写下来……\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	“骑士听见了睡梦中的神龙的平稳呼吸声……”\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	昨天的夕阳就和神龙大人说得一样，非常美丽……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我想今天一定会是好天气。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神龙大人真的很温柔……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	先前您陪在我身边时，\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	就让我明白了这点……我得找机会回报您才行……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	昨晚您睡得还好吗……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	您可别光顾着担心伙伴，\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	也要好好照顾自己哦……那我先失陪了……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	想不到，在索拉涅尔会发生这么有趣的事……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	神龙大人，请听我说。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	在来这里的路上，我踩到水果皮摔了一跤……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	神龙大人也请务必留心……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	来这里前发生的趣事，\x0E\x04\x00\x00
