MID_WU_C_1_IN_#001	四翼首领──赛勒斯提雅，
MID_WU_C_1_IN_#002	今天受命负责叫醒神龙大人！
MID_WU_C_1_SOON_#001	真不愧是神龙大人，
MID_WU_C_1_SOON_#002	连我这魔龙的气息也能察觉到呢。
MID_WU_C_1_SOON_#003	咦，您说我没有隐藏气息？
MID_WU_C_1_SOON_#004	怎么会……
MID_WU_C_1_WAKEUP_#001	呵呵呵，没想到会轮到我……
MID_WU_C_1_WAKEUP_#002	这种成为军队一员的感觉，真是开心。
MID_WU_C_1_WAKEUP_#003	那么，我可要好好努力了……
MID_WU_C_1_WAKEUP_#004	神龙大人──
MID_WU_C_1_HELLO_#001	很好，看来我完美地达成使命了呢。
MID_WU_C_1_HELLO_#002	真是令人愉快的工作。
MID_WU_C_1_HELLO_#003	咦，那下次要轮到谁负责？
MID_WU_C_2_IN_#001	神龙大人，我来迎接您了！
MID_WU_C_2_IN_#002	啊……还在休息呢。
MID_WU_C_2_SOON_#001	对不起，
MID_WU_C_2_SOON_#002	都怪我叫得太大声吓醒您了。
MID_WU_C_2_SOON_#003	下次我会用淑女一点的方式叫您。
MID_WU_C_2_WAKEUP_#001	真是伤脑筋，我还以为神龙大人已经起床了。
MID_WU_C_2_WAKEUP_#002	为了让\x0E\x0A\x02\x00醒来时可以马上出门，
MID_WU_C_2_WAKEUP_#003	我得准备好替换的衣服才行……
MID_WU_C_2_WAKEUP_#004	啊！？
MID_WU_C_2_HELLO_#001	对、对不起。
MID_WU_C_2_HELLO_#002	我踩到床周围的布，脚滑摔倒了。
MID_WU_C_2_HELLO_#003	神龙大人出门时也请务必小心。
MID_WU_C_2_HELLO_#004	啊哈哈……
MID_WU_B_1_IN_#001	刚才的餐点非常美味呢。
MID_WU_B_1_IN_#002	我想分享给神龙大人……
MID_WU_B_1_IN_#003	哎呀，还在睡觉呢。
MID_WU_B_1_SOON_#001	其实我是想来喂神龙大人喝蒜头汤的。
MID_WU_B_1_SOON_#002	不过，这道料理好像不太适合起床时喝呢。
MID_WU_B_1_SOON_#003	我待会再来，神龙大人。
MID_WU_B_1_WAKEUP_#001	前阵子我们一起喝了汤，真的很开心呢。
MID_WU_B_1_WAKEUP_#002	我原本想重温那段时光，不过……
MID_WU_B_1_WAKEUP_#003	呵呵……今天还是先算了吧。
MID_WU_B_1_HELLO_#001	嚼嚼……
MID_WU_B_1_HELLO_#002	啊，神龙大人？
MID_WU_B_1_HELLO_#003	不好意思，我刚好吃完了……
MID_WU_B_1_HELLO_#004	我原本打算今天……
MID_WU_B_1_HELLO_#005	也要喂神龙大人吃饭的。
MID_WU_B_2_IN_#001	叫神龙大人起床也是四翼的使命之一。
MID_WU_B_2_IN_#002	我可不会有所怠慢。
MID_WU_B_2_SOON_#001	哎呀，看来今天不需要我呢。
MID_WU_B_2_SOON_#002	我想在这里多待一会，
MID_WU_B_2_SOON_#003	所以下次还请您继续装睡吧。
MID_WU_B_2_WAKEUP_#001	好了，只要我赛勒斯提雅出马，
MID_WU_B_2_WAKEUP_#002	就一定会为您提供最棒的起床体验。
MID_WU_B_2_WAKEUP_#003	神龙大人、神龙大人，起床的时间到喽……
MID_WU_B_2_HELLO_#001	早安。
MID_WU_B_2_HELLO_#002	要是您再不起床，我就要在您的耳边吹气了呢。
MID_WU_B_2_HELLO_#003	咦，您说那样比较好？
MID_WU_A_1_IN_#001	神龙大人，对不起……
MID_WU_A_1_IN_#002	我又忘记吃饭了。
MID_WU_A_1_SOON_#001	我想找神龙大人一起吃饭，就来了……
MID_WU_A_1_SOON_#002	打扰到您休息，真是抱歉。
MID_WU_A_1_SOON_#003	我这就去吃点东西！
MID_WU_A_1_WAKEUP_#001	原本想找您一起吃饭，好补上那次忘吃的份。
MID_WU_A_1_WAKEUP_#002	不过，现在这样也挺开心的。
MID_WU_A_1_WAKEUP_#003	看着神龙大人的可爱睡脸，我也……
MID_WU_A_1_WAKEUP_#004	呼啊啊～
MID_WU_A_1_HELLO_#001	呼……呼……
MID_WU_A_1_HELLO_#002	啊……连我都睡着了。
MID_WU_A_1_HELLO_#003	对了，不如我们去散个步提提神？
MID_WU_A_1_HELLO_#004	虽然我好像忘记了什么……
MID_WU_A_1_HELLO_#005	不过，那一定是错觉吧。
MID_WU_A_2_IN_#001	能够像这样叫神龙大人起床，我实在是太幸福了。
MID_WU_A_2_IN_#002	一切彷佛都回到了从前的那个世界。
MID_WU_A_2_SOON_#001	早安。
MID_WU_A_2_SOON_#002	虽然您是另一个世界的神龙大人，
MID_WU_A_2_SOON_#003	但你们刚睡醒的表情简直一模一样呢。
MID_WU_A_2_SOON_#004	总觉得有种令人怀念的感觉。
MID_WU_A_2_WAKEUP_#001	在那个世界里，琉弥艾尔大人还在世的时候……
MID_WU_A_2_WAKEUP_#002	都是我负责叫醒您的哦。
MID_WU_A_2_WAKEUP_#003	虽然您登基之后，就没有我出场的机会了……
MID_WU_A_2_HELLO_#001	神龙大人，您醒了啊。
MID_WU_A_2_HELLO_#002	您可不要太早改掉赖床的习惯哦。
MID_WU_A_2_HELLO_#003	要是您能一个人起床，
