MID_WU_C_1_IN_#001	我是从今天起负责叫您起床，来自羊驼之乡的勇者──\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	安巴──！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哦？我还以为您会赖床呢！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早安！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	进门前先好好报上名号！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	这才像个勇者！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	好啦……该怎么叫神龙大人起床呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	尽可能轻柔一点……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#005	啊！对耳朵吹口气看看？呼～\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	那我再报一次名号吧。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我是羊驼之乡的勇者！安……咦？不用再说了吗？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	传说中的祭坛！神龙大人就是在这沉睡了千年吗……！\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	太令人亢奋啦──！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，我吵到您了吗……这么快就醒了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	呃……我太吵了？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	对不起，神龙大人，一大早的就把您吵醒了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	好紧张哦……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	索拉涅尔本身就是圣地中的圣地……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	这里又是更神圣的地方。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	我得小心别闯祸了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	哇，脚滑了──！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	好痛啊……神龙大人，对不起！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	虽然我紧张得摔跤了，但没有弄坏东西！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	早安！！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	打扰了！我就是……！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……啊，我名号还没报完呢。神龙大人早安！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	我就是羊驼之乡的勇者──安巴！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	好了好了，快起床吧，勇者来叫您喽～\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	快看看我帅气的姿势！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安，神龙大人！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	睡醒就看见我的英姿，感觉不错吧？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	咦？太热情了？怎么会……！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	嗯～嗯嗯嗯～\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	神龙大人就是厉害！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我用羊驼语叫您起床也行得通呢！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	没错，刚才我说的就是“天亮喽～”！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	这感觉还真是令人怀念。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	我老家的羊驼们也是这样……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	早上叫它们都不太搭理我。\x0E\x04\x00\x00
