MID_TUT_BMAP_SilverCard_TITLE	银卡
MID_TUT_BMAP_SilverCard_0	持有此卡，\n便可在武器店或道具店\n享有7折的购物优惠。
MID_TUT_GMAP_GOD_TITLE	世界地图（神龙之章）
MID_TUT_GMAP_GOD_0	可通过世界地图菜单\n前往主线故事的世界地图，\n或回到据点索拉涅尔。
MID_TUT_GMAP_GOD_1	已通关的地图也有可能会出现遭遇战。
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	回想战
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	即使已通关扩展票新增的战斗地图，\n依然可通过“回想战”重温故事剧情。
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	通过替换不同成员，\n可不断享受攻略地图的乐趣。
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	但无法获得经验值与道具。\n此外，出击时“消耗的道具”及“倒下的伙伴”\n都会在游玩结束后恢复原状。
MID_TUT_HUB_GOD_START_TITLE	神龙之章
MID_TUT_HUB_GOD_START_0	可通过世界地图\n前往纹章士手镯所沉睡的岛屿。
MID_TUT_HUB_GOD_START_1	随时都能返回主线故事，\n想到时就过去看看吧！
MID_TUT_HUB_GOD_START_NOTICE	好像有人在“眺望之丘”发现了什么。
MID_TUT_GOD_TIKI_TITLE	纹章士琪姬
MID_TUT_GOD_TIKI_0	“纹章士琪姬”能赐予各种加护，\n让我方单位藉由龙之力使出强大的攻击。
MID_TUT_GOD_TIKI_1	同步技“星玉加护”在等级提升时，\n可让基本能力值较易上升。
MID_TUT_GOD_TIKI_2	结合武器“吐息”\n可对攻击目标及其周围的敌人造成伤害，\n还能依战斗类型变换性能。
MID_TUT_GOD_TIKI_3	结合特技“龙化”\n可化成龙，大幅增强能力值。
MID_TUT_GOD_TIKI_4	结合技“神龙的祝福”\n可赋予指定的我方单位“复活之石”，\n让该单位在HP归零时也能完全回复HP。
MID_TUT_GOD_EDELGARD_TITLE	纹章士艾黛尔贾特
MID_TUT_GOD_EDELGARD_0	“纹章士艾黛尔贾特”与帝弥托利及库罗德\n会随机交替上场，使出各种不同的能力。
MID_TUT_GOD_EDELGARD_1	处于同步状态的纹章士不同\n同步技“计策”所能使用的指令\n也会有所不同。
MID_TUT_GOD_EDELGARD_2	结合武器“艾姆鲁”\n可对敌人猛击，\n并能对龙族造成大量伤害。
MID_TUT_GOD_EDELGARD_3	结合特技“战技”\n可消耗结合状态的持续回合数，\n从三种招式中择一使用。
MID_TUT_GOD_EDELGARD_4	结合技“连花月风闪”可用斧、枪、弓的\n连续攻击，让敌人较易陷入打破状态，\n并能对飞行的敌人造成大量伤害。
MID_TUT_TIPS_Tiki	纹章士琪姬
MID_TUT_TIPS_Edelgard	纹章士艾黛尔贾特
MID_TUT_TIPS_Dimitri	纹章士帝弥托利
MID_TUT_TIPS_Claude	纹章士库罗德
MID_TIPS_SKILL_30	“三鼎纹章士”会在我军行动阶段开始时，从三位纹章士中随机派一位上场。
MID_TIPS_SKILL_31	自身发动攻击时，若与同步的纹章士装备同种武器，或是处于结合状态将可提升伤害。
MID_TIPS_SKILL_32	纹章士艾黛尔贾特的斧。不可追击/克制龙/由自身主动攻击时必为后攻，但会发动猛击。
MID_TIPS_SKILL_33	消耗结合状态的持续回合数，即可使用其中一位“三鼎纹章士”的战技。
MID_TIPS_SKILL_39	即使结合持续回合数因特技“战技”归零，该回合也不会解除结合状态。
MID_TIPS_GOD_24	自远古时期就住在异界阿卡奈亚陆地的神龙族公主。
MID_TIPS_GOD_25	能幻化成人形的“龙族”少女，将马尔斯当成“哥哥”景仰。
MID_TIPS_GOD_26	异界之地芙朵拉中阿德剌斯忒亚帝国的皇女，是位善于用斧的高贵女性。
MID_TIPS_GOD_27	异界之地芙朵拉中法嘉斯神圣王国的王子，是位善于用枪的聪明青年。
MID_TIPS_GOD_28	异界之地芙朵拉中雷斯塔诸侯同盟的盟主嫡子，是位善于用弓的洒脱青年。
