MID_Movie_S02	过去决战
MID_H_Movie_S02	奔驰在战场上的神龙\x0E\x06\x03\x00。\n得到同伴与纹章士们的协助，\n推开门扉奔赴最后的战场。
MID_Movie_S03	纹章士合体！
MID_H_Movie_S03	为了打倒敌人，\n神龙\x0E\x06\x03\x00与纹章士马尔斯结合。\n变身为一心同体的姿态。
MID_Movie_S04	英雄王显现
MID_H_Movie_S04	戒指绽放湛蓝光芒后，\n出现一名自称“纹章士马尔斯”的剑士，\n他曾与神龙\x0E\x06\x03\x00在梦中并肩作战。
MID_Movie_S05	和神龙王的邂逅
MID_H_Movie_S05	神龙\x0E\x06\x03\x00被敌方增援逼入绝境。\n此时突然出现了一条白色的龙。\n白龙将异形兵一举歼灭后变回了人型。
MID_Movie_S06	艾雷欧斯大陆叙述
MID_H_Movie_S06	一行人出发前往神龙王城。\n并从琉弥艾尔口中得知了\n艾雷欧斯大陆的历史，以及纹章士的存在。
MID_Movie_S07	红色记忆
MID_H_Movie_S07	一段有名红发剑士伫立在王城火窟的记忆。\n剑士对琉弥艾尔的呼喊无动于衷，\n仅露出散发邪恶气息的笑容。
MID_Movie_S08	阿尔弗雷德
MID_H_Movie_S08	神龙王城遭到神秘团体袭击陷入一片混乱，\n此时英姿飒爽骑着白马登场的人\n正是费列聂王国第一王子阿尔弗雷德。
MID_Movie_S09	神龙王逝去
MID_H_Movie_S09	敌方将领以魔法袭击神龙\x0E\x06\x03\x00。\n琉弥艾尔见状，便以自己的肉身抵挡，\n经过一番激烈战斗后力竭身亡。
MID_Movie_S10	和贝珥的相遇
MID_H_Movie_S10	神龙\x0E\x06\x03\x00遭遇异形兵突袭，\n被一位不明人士以魔法相救。\n释放魔法的人，是名神秘的少女。
MID_Movie_S11	帝亚曼德
MID_H_Movie_S11	布罗帝亚王国第一王子帝亚曼德。\n他在布罗帝亚王城的城门前\n迎接神龙\x0E\x06\x03\x00一行人。
MID_Movie_S12	艾比
MID_H_Movie_S12	伊尔席翁王国第一公主艾比。\n她率兵攻入布罗帝亚王城，\n宣告自己奉国王之命前来夺取纹章士戒指。
MID_Movie_S13	国境激烈冲突
MID_H_Movie_S13	布罗帝亚与伊尔席翁两军激烈交战。\n被莫力翁王逼入绝境的海亚信斯王\n召唤出暗黑纹章士，扭转了战局。
MID_Movie_S14	邪龙尚卜尔
MID_H_Movie_S14	邪龙尚卜尔藉由仪式取回了力量，\n但这仍称不上完全复活。\n渴求王之血的他，将魔爪伸向了海亚信斯王。
MID_Movie_S15	蜜丝提拉
MID_H_Movie_S15	索尔姆王国第一公主蜜丝提拉。\n带着“苍炎勇者”戒指，\n和臣子一同在国内流浪。
MID_Movie_S16	贝珥的心意
MID_H_Movie_S16	贝珥与四狗起航前往伊尔席翁。\n在众人未察觉下恢复神志的贝珥，\n拿起“圣战骑士戒指”，下定了决心。
MID_Movie_S17	神龙之死
MID_H_Movie_S17	尚卜尔决定斩草除根，铲除已和神龙\n心意相通的贝珥。在这千钧一发之际，\n神龙\x0E\x06\x03\x00替贝珥挡下了攻击。
MID_Movie_S18	古拉铎隆复活
MID_H_Movie_S18	尚卜尔得到了所有戒指，\n利用戒指的力量化身为大邪龙，\n并让古拉铎隆之地再次复苏。
MID_Movie_S19	1000年前的记忆
MID_H_Movie_S19	\x0E\x06\x03\x00想起千年前的往事，\n当时城里烈焰冲天，把父亲尚卜尔逼入绝境，\n才刚使出致命一击，琉弥艾尔就赶到了。
MID_Movie_S20	新纹章士
MID_H_Movie_S20	神龙\x0E\x06\x03\x00即便殒命仍想继续战斗。\n十二名纹章士们呼应他的祈愿，\n授予他“纹章奇迹”的力量。
MID_Movie_S21	恶梦
MID_H_Movie_S21	在最终决战中用尽了所有力量。\n醒来后，眼前是邪龙尚卜尔与贝珥 。\n但神龙\x0E\x06\x03\x00在镜中的模样却是……
MID_Movie_S22	再会的预感
MID_H_Movie_S22	战争止息后，于神龙王城举行加冕仪式。\n神龙\x0E\x06\x03\x00站在戒指之间，\n向纹章士们报告自己即将即位。
MID_Movie_C01	苏醒
MID_H_Movie_C01	神龙\x0E\x06\x03\x00苏醒。\n随侍在侧的柯岚与芙岚感到又惊又喜，\n立刻离开祭坛报告喜讯。
MID_Movie_C02	异形兵
MID_H_Movie_C02	一行人在里特司草原遭到怪物袭击。\n面对未知的敌军正当众人不知所措时，\n柯岚与芙岚却因擅自进攻而陷入险境。
MID_Movie_C03	纹章士
MID_H_Movie_C03	从戒指里传来了某个人的声音。\n神龙\x0E\x06\x03\x00想起了声音的主人是谁，\n高喊咒文后，一位纹章士从戒指显现。
MID_Movie_C04	共同战斗
MID_H_Movie_C04	多亏纹章士马尔斯显现并参与了战斗，\n神龙\x0E\x06\x03\x00总算是打败了异形兵，\n并且成功救出柯岚与芙岚。
MID_Movie_C05	袭击者
MID_H_Movie_C05	听到爆炸声后，神龙\x0E\x06\x03\x00\n赶紧前往戒指之间和凡德雷等人会合。\n并得知这是来自某方势力的袭击。
MID_Movie_C06	龙之时水晶
MID_H_Movie_C06	神龙\x0E\x06\x03\x00将敌将逼入了绝境。\n此时对方却使用诡谲的力量绕至神龙身后，\n导致双方情势逆转。
MID_Movie_C07	琉弥艾尔之死
MID_H_Movie_C07	遭受敌人攻击，奄奄一息的琉弥艾尔。\n她将“圣战骑士戒指”以及拯救世界的使命托付给\n神龙\x0E\x06\x03\x00后，安详地与世长辞。
MID_Movie_C08	锡莉奴
MID_H_Movie_C08	遭遇异形兵袭击的费列聂公主锡莉奴。\n她的臣子路易与克萝艾在前方抵御敌人，\n好让她能尽快赶往阿尔弗雷德身旁。
MID_Movie_C09	伊芙女王
MID_H_Movie_C09	费列聂王城被伊尔席翁军占领。\n正当敌将聂尔凯质问伊芙女王时，\n聂尔凯的上司赛皮雅出现了。
MID_Movie_C10	善后
MID_H_Movie_C10	聂尔凯在费列聂王城战败后，踏上逃亡之路。\n不料被赛皮雅给逮住，无论他如何为失败做辩解，\n最后仍遭到无情的处置。
MID_Movie_C11	史塔卢克
MID_H_Movie_C11	在国境一带警备的布罗帝亚王子史塔卢克。\n他一度将神龙\x0E\x06\x03\x00一行误认为盗贼，\n当得知来者身分后，为自己的无礼谢罪。
MID_Movie_C12	奥尔坦希亚
MID_H_Movie_C12	打算夺取戒指的伊尔席翁公主奥尔坦希亚。\n率领伊尔席翁大军占据古兰斯尔大桥，\n布好阵型等待神龙\x0E\x06\x03\x00等人到来。
MID_Movie_C13	暗黑纹章士
MID_H_Movie_C13	听命于奥尔坦希亚的暗黑纹章士。\n神龙一行人因此得知，不仅是神龙之力，\n邪龙的力量也能使纹章士显现。
MID_Movie_C14	贝珥的战斗
MID_H_Movie_C14	在背地里击败异形兵的贝珥。\n感叹着这点程度的力量仍远远不足，\n同时也想起了失散多年的手足。
MID_Movie_C15	决断
MID_H_Movie_C15	莫力翁王败给海亚信斯王后被虏至伊尔席翁王国。\n虽然神龙\x0E\x06\x03\x00试图营救，\n却在途中遭到艾比阻挠。
MID_Movie_C16	异形莫力翁王
MID_H_Movie_C16	在德斯坦大教会与海亚信斯王对峙的\n神龙\x0E\x06\x03\x00。在那里等着他们的是\n被变为异形兵的莫力翁王。
MID_Movie_C17	撤退
MID_H_Movie_C17	神龙\x0E\x06\x03\x00的纹章士戒指遭到掠夺。\n纹章士们被邪龙尚卜尔以力量重新显现，\n散发着暗黑力量，成了敌人站在神龙面前。
MID_Movie_C18	佛贾特
MID_H_Movie_C18	神龙\x0E\x06\x03\x00一行人在图拉沙漠迷路。\n正当束手无策之际，自称是自卫团团长的\n青年佛贾特出现在众人眼前。
MID_Movie_C19	废墟的舞蹈家
MID_H_Movie_C19	在北城塞跳舞的舞蹈家赛安达斯。\n当他见到异形兵出现，本已做好了赴死的准备。\n这时他听见了一个声音，为他指引了一条生路。
MID_Movie_C20	燃烧的风车村
MID_H_Movie_C20	弗鲁鲁风车村惨遭袭击，\n原本平静的村庄霎时化为一片火海。\n港口则停泊着大量伊尔席翁的战船。
MID_Movie_C21	另一个贝珥
MID_H_Movie_C21	藉由赛皮雅之术使负面人格觉醒的贝珥。\n她率领四狗以及暗黑纹章士们\n向神龙\x0E\x06\x03\x00宣战。
MID_Movie_C22	邪龙之子
MID_H_Movie_C22	孤栗亲眼见证纹章士通过咒文之力而显现。\n他洋洋自得地放声大笑后，\n告诉神龙\x0E\x06\x03\x00一个惊人的事实。
MID_Movie_C23	玛伦的反抗
MID_H_Movie_C23	玛伦因贝珥为黑暗所污染而感到不舍。\n她尝试破坏洗脑的关键魔法器具，\n却以失败告终，被赛皮雅当场处决。
MID_Movie_C24	粉碎龙石
MID_H_Movie_C24	神龙\x0E\x06\x03\x00为保护贝珥殒命，\n这时贝珥身上的龙石也随之粉碎，\n她寻觅多年的手足，其真实身分终于揭晓。
MID_Movie_C25	贝珥觉醒
MID_H_Movie_C25	和另一个自己战斗的贝珥。\n在亲手摧毁魔法器具并恢复神志后，\n将神龙\x0E\x06\x03\x00以异形兵的姿态复活。
MID_Movie_C26	四狗
MID_H_Movie_C26	战败的赛皮雅与孤栗。\n两人在弥留之际，\n对彼此坦诚了真心。
MID_Movie_C27	和琉弥艾尔的再会
MID_H_Movie_C27	守护最后龙纹的，\n是藉由尚卜尔之手化作异形兵的琉弥艾尔。\n贝珥下定决心要独自承担这场战斗。
MID_Movie_C28	和琉弥艾尔的离别
MID_H_Movie_C28	临终前，琉弥艾尔想起了一切，\n她与神龙\x0E\x06\x03\x00对话，\n并勾起小指立下约定后，化为光芒消逝。
MID_Movie_C29	消失的纹章士
MID_H_Movie_C29	邪龙尚卜尔将异界之门关闭。\n在次元扭曲、纹章士们接连消失的情况下，\n神龙\x0E\x06\x03\x00与同伴们站了起来。
MID_Movie_C30	十三牵绊
MID_H_Movie_C30	十二纹章士藉由神龙\x0E\x06\x03\x00之力\n再次显现。加上神龙，共计十三名纹章士齐聚。\n和尚卜尔的最终决战终于揭幕。
MID_Movie_C31	大邪龙尚卜尔
MID_H_Movie_C31	看似落败的尚卜尔，\n却露出自信的笑容，\n化身成巨大的邪龙。
MID_Movie_K01	纹章士西格尔特
MID_H_Movie_K01	自“圣战骑士戒指”显现的\n纹章士西格尔特。
MID_Movie_K02	纹章士赛莉卡
MID_H_Movie_K02	自“慈悲公主戒指”显现的\n纹章士赛莉卡。
MID_Movie_K03	纹章士米卡雅
MID_H_Movie_K03	自“拂晓巫女戒指”显现的\n纹章士米卡雅。
MID_Movie_K04	纹章士罗伊
MID_H_Movie_K04	自“幼狮戒指”显现的\n纹章士罗伊。
MID_Movie_K05	纹章士里弗
MID_H_Movie_K05	自“贤王戒指”显现的\n纹章士里弗。
MID_Movie_K06	纹章士琳
MID_H_Movie_K06	自“草原女爵戒指”显现的\n纹章士琳。
MID_Movie_K07	纹章士露琪娜
MID_H_Movie_K07	自“圣公主戒指”显现的\n纹章士露琪娜。
MID_Movie_K08	纹章士艾克
MID_H_Movie_K08	自“苍炎勇者戒指”显现的\n纹章士艾克。
MID_Movie_K09	纹章士贝雷特
MID_H_Movie_K09	自“引领者戒指”显现的\n纹章士贝雷特。
MID_Movie_K10	纹章士神威
