MID_TUT_BMAP_EVIL_RULE_TITLE	邪龙之章的出击规则
MID_TUT_BMAP_EVIL_RULE_0	在邪龙之章中，\n我方单位将依每张战斗地图\n规定的等级和兵种出击。
MID_TUT_BMAP_EVIL_RULE_1	持有的道具也是固定的，\n但可与其他单位交换持有物品。
MID_TUT_BMAP_EVIL_RULE_2	此外，无论游玩“轻松模式”或“经典模式”，\n在战斗中倒下的我方单位都会在通关该地图后归队。
MID_TUT_BMAP_EVIL_GUEST_TITLE	特别单位
MID_TUT_BMAP_EVIL_GUEST_0	在邪龙之章的故事中，\n每张地图都会有指定的特别单位参战。
MID_TUT_BMAP_EVIL_GUEST_1	爱尔是能使用龙石战斗的强大单位，\n而伊尔的基本能力值较低，尽量别派他上前线，\n让他与纹章士联手支援友军吧。
MID_TUT_BMAP_EVIL_GUEST_2	在邪龙之章中，\n爱尔或伊尔倒下将会败北，\n请务必多加留意。
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	异常状态＜牙咒＞
MID_TUT_BMAP_EVIL_FANG_CURSE_0	若被异形狼的獠牙咬到，\n战斗后将会陷入“牙咒”状态。
MID_TUT_BMAP_EVIL_FANG_CURSE_1	陷入牙咒状态后HP最大值将会减少5，\n且每次受到獠牙攻击效果都会叠加。
MID_TUT_BMAP_EVIL_FANG_CURSE_2	牙咒状态会持续至整场战斗结束，\n使用“休息”之杖即可回复。
MID_TUT_BMAP_EVIL_MELEE_TITLE	混战
MID_TUT_BMAP_EVIL_MELEE_0	脚下圆圈呈黄色的单位也是敌人。
MID_TUT_BMAP_EVIL_MELEE_1	红色单位与黄色单位彼此为敌，\n将会互相攻击。
MID_TUT_BMAP_EVIL_MELEE_2	或许能巧施妙计\n让他们两败俱伤。
MID_TUT_BMAP_EVIL_POW_TITLE	被俘的\x0E\x06\x03\x00
MID_TUT_BMAP_EVIL_POW_0	被俘的\x0E\x06\x03\x00身上没有武器，\n只能单方面承受攻击。
