MID_H_INFO_WLV_Bullet	炮弹
MID_MSG_LOST_ITEM	失去了\x0E\x01\x00\x00\x0E\x01\x01\x00。
MID_DLC_News_Patch2_Title	Ver.1.3.0 更新内容
MID_DLC_News_Patch2	【扩展票】\n\n・新增纹章士库洛武/鲁弗莱、纹章士维洛妮卡\n　通关他们各自的新战斗地图后，该纹章士就会成为伙伴。\n\n【免费更新】\n\n・据点“神秘水井”新增功能\n　可将不要的道具转换成其他道具。\n\n・在“锻炼之间”也能够进行“特技继承”。
MCID_G003_PREFIX	神龙之章
MCID_G003	年幼皇女
MCID_G003_PLACE	英雄们的圣域
MCID_G003_OUTLINE	据说有人在立有神秘石碑的天空之岛上，\n发现了新的手镯。
MCID_G006_PREFIX	神龙之章
MCID_G006	圣王
MCID_G006_PLACE	命运与牵绊的祭坛
MCID_G006_OUTLINE	据说有人在庄严的神殿内部，\n发现了新的手镯。
MID_RULE_G003_WIN	战胜纹章士维洛妮卡
MID_RULE_G006_WIN	战胜纹章士库洛武与纹章士鲁弗莱
MTID_StartupTile	启动盘
MTID_MagicWall	魔法障壁
MTID_Pond	池塘
MPID_PhantomWolf	造物
MPID_H_PhantomWolf	通过秘术制造出来的无魂野兽。\n没有自己的意志，只会遵从主人的命令行事。
MPID_Veronica	维洛妮卡
MPID_H_Veronica	人称“英雄纹章士”。\n是位能操控异界英雄的皇女。
MPID_Chrom	库洛武
MPID_H_Chrom	人称“牵绊纹章士”。\n是位信任伙伴、扭转命运的神圣王子。
MPID_Reflet	鲁弗莱
MPID_H_Reflet	人称“牵绊纹章士”。\n是位失去记忆，辅佐着库洛武的天才军师。
MGID_Veronica	维洛妮卡
MGID_H_Veronica	人称“英雄纹章士”。\n是位能操控异界英雄的皇女。\n不仅魔道力高超，本身也能用魔法或杖战斗。
MGID_H_EnemyVeronica	从“年幼皇女的手镯”中苏醒的纹章士。
MGID_Chrom	库洛武
MGID_H_Chrom	人称“牵绊纹章士”。\n是位信任伙伴、扭转命运的神圣王子。\n能用高强的剑术与牵绊之力击溃敌人。
MGID_H_EnemyChrom	从“圣王的手镯”中苏醒的纹章士。
MGID_Reflet	鲁弗莱
MGEID_Veronica	英雄纹章
MGEID_Chrom	牵绊纹章
MJID_MageCannon	魔法加农炮兵
MJID_H_MageCannon	随身携带着铁炮，能发射炮弹的重装步兵。\n宛如行动炮台，可从远处发动各种攻击。\n
MJID_PhantomWolf	幻影狼
MJID_H_PhantomWolf	在地上爬行的狼之眷属。\n行动敏捷难以捉摸，能以诅咒獠牙咬伤敌人。
MIID_Trahison	特拉伊宗
MIID_H_Trahison	散发异世界氛围的战枪。
MIID_Levanche	路邦修
MIID_H_Levanche	散发异世界氛围的战斧。
MIID_Chocolate	巧克力之刃
MIID_H_Chocolate	散发甜甜香气的剑。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_SoftCream	甜筒枪
MIID_H_SoftCream	散发甜甜香气的枪。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_Lollipop	棒棒糖之斧
MIID_H_Lollipop	散发甜甜香气的斧。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_Croissant	可颂弯弓
MIID_H_Croissant	散发甜甜香气的弓。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_Tiramisu	提拉米苏风暴
MIID_H_Tiramisu	散发甜甜香气的攻击魔法。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_Dango	丸子兄弟
MIID_H_Dango	散发甜甜香气的短剑。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_Cupcake	午茶时光
MIID_H_Cupcake	散发甜甜香气的魔法之杖。\n可回复我方单位的HP。
