MID_WU_C_1_IN_#001	喂，别再贪睡了，神龙。
MID_WU_C_1_SOON_#001	虽然你鼾声震天，
MID_WU_C_1_SOON_#002	醒得倒是很快啊。
MID_WU_C_1_SOON_#003	嗯？嗯，说你打呼是骗你的。
MID_WU_C_1_SOON_#004	你居然相信了，真是个笨蛋。
MID_WU_C_1_WAKEUP_#001	哼，好一个傻乎乎的睡脸啊。
MID_WU_C_1_WAKEUP_#002	虽然吾拥有让纹章士觉醒的能力，
MID_WU_C_1_WAKEUP_#003	但在这个世界……也只能用一般的方法叫醒你了。
MID_WU_C_1_WAKEUP_#004	喂，快起床。
MID_WU_C_1_HELLO_#001	终于起来啦。
MID_WU_C_1_HELLO_#002	真是的，
MID_WU_C_1_HELLO_#003	没想到吾来到这个世界还要负责叫人起床。
MID_WU_C_1_HELLO_#004	事情办完，吾要回去了。
MID_WU_C_2_IN_#001	吾特地来叫你起床了，神龙。
MID_WU_C_2_SOON_#001	哦，看到吾来你很高兴吗？
MID_WU_C_2_SOON_#002	不过很可惜，
MID_WU_C_2_SOON_#003	工作已经完成，吾要回去了。
MID_WU_C_2_SOON_#004	再怎么挽留也没用。
MID_WU_C_2_WAKEUP_#001	这样没关系吗？
MID_WU_C_2_WAKEUP_#002	在吾这个曾经的敌人面前，
MID_WU_C_2_WAKEUP_#003	摆出这样的睡脸。
MID_WU_C_2_WAKEUP_#004	若换作是以前的吾，
MID_WU_C_2_WAKEUP_#005	现在可不知道会对你做出什么事哦。
MID_WU_C_2_HELLO_#001	哼，终于起床了啊。
MID_WU_C_2_HELLO_#002	能平安地醒来，你该感谢吾。
MID_WU_C_2_HELLO_#003	即使是伙伴，也不会知道对方有什么企图。
MID_WU_C_2_HELLO_#004	……你从吾身上学过这个道理了吧？
MID_WU_B_1_IN_#001	说到唤醒别人的工作……
MID_WU_B_1_IN_#002	吾的确是合适的人选。
MID_WU_B_1_IN_#003	不过就算是这样……
MID_WU_B_1_SOON_#001	哦哦，你还是做得到的嘛。
MID_WU_B_1_SOON_#002	要是能在吾来之前自己起床，
MID_WU_B_1_SOON_#003	那就更好了。
MID_WU_B_1_WAKEUP_#001	唉……负责叫醒神龙吗……
MID_WU_B_1_WAKEUP_#002	真不懂为何会有这种奇怪的工作。
MID_WU_B_1_WAKEUP_#003	吾可不会像其他人一样温柔地叫醒你。
MID_WU_B_1_WAKEUP_#004	吾现在就用龙石……嗯？
MID_WU_B_1_HELLO_#001	真是敏锐。
MID_WU_B_1_HELLO_#002	要是再晚一点醒来……
MID_WU_B_1_HELLO_#003	你起床第一眼看到的，
