MID_WU_C_1_IN_#001	来到这个世界让我惊讶的事之一，
MID_WU_C_1_IN_#002	就是居然要有人负责叫神龙大人起床。
MID_WU_C_1_SOON_#001	要是你每天都这么顺利起床，
MID_WU_C_1_SOON_#002	负责叫你起床的工作就轻松多了……
MID_WU_C_1_SOON_#003	不过，算了吧。
MID_WU_C_1_SOON_#004	早安。
MID_WU_C_1_WAKEUP_#001	不起床呢。
MID_WU_C_1_WAKEUP_#002	你总是这样吗？
MID_WU_C_1_WAKEUP_#003	身为一军统帅，居然时常睡过头，
MID_WU_C_1_WAKEUP_#004	我能体会你那些人族伙伴们有多操劳了。
MID_WU_C_1_HELLO_#001	啊，你起来了啊。
MID_WU_C_1_HELLO_#002	太好了。
MID_WU_C_1_HELLO_#003	话先说在前头，
MID_WU_C_1_HELLO_#004	我绝不容许你去睡回笼觉哦。
MID_WU_C_2_IN_#001	我比较擅长让人沉眠……
MID_WU_C_2_SOON_#001	你能这么迅速地起床真是太好了。
MID_WU_C_2_SOON_#002	我的工作就此结束，先告辞了。
MID_WU_C_2_WAKEUP_#001	睡得很沉呢。
MID_WU_C_2_WAKEUP_#002	让人有种错觉，以为你会就这样一睡不起。
MID_WU_C_2_WAKEUP_#003	拉法尔在等待我醒来的时候……
MID_WU_C_2_WAKEUP_#004	也是怀着这样的心情吗？
MID_WU_C_2_HELLO_#001	早安。
MID_WU_C_2_HELLO_#002	这种程度的贪睡还算可以接受。
MID_WU_C_2_HELLO_#003	只要赶紧梳洗，
MID_WU_C_2_HELLO_#004	应该可以赶上往常的时间吧？
MID_WU_B_1_IN_#001	快起床，神龙大人。
MID_WU_B_1_IN_#002	你还活着吗……？
MID_WU_B_1_SOON_#001	一有人来你就会马上醒来呢。
MID_WU_B_1_SOON_#002	该不会是因为你觉得独自起床很寂寞吧？
MID_WU_B_1_WAKEUP_#001	以前你为了保护我而受的伤看来已经愈合了……
MID_WU_B_1_WAKEUP_#002	但又新添了伤口呢。
MID_WU_B_1_WAKEUP_#003	虽然投身于战事之中，这也是在所难免的，
MID_WU_B_1_WAKEUP_#004	但我……
MID_WU_B_1_HELLO_#001	你醒了啊。
MID_WU_B_1_HELLO_#002	今天也请你毫发无伤地平安归来。
MID_WU_B_1_HELLO_#003	之前说好了要珍惜自己的约定……
MID_WU_B_1_HELLO_#004	你可不能忘记哦。
MID_WU_B_2_IN_#001	真是的……你到底要睡到什么时候？
MID_WU_B_2_SOON_#001	看你慌张地从床上爬起来的模样，
MID_WU_B_2_SOON_#002	似乎你还有睡过头的自知之明，真是太好了。
MID_WU_B_2_SOON_#003	我倒是无所谓，不过大家会担心的哦。
MID_WU_B_2_WAKEUP_#001	或许大家会温柔地叫你起床，
MID_WU_B_2_WAKEUP_#002	可我是不会纵容你的哦。
MID_WU_B_2_WAKEUP_#003	快点起床。
MID_WU_B_2_WAKEUP_#004	不管是战斗还是敌人，都不会乖乖地等你起床的。
MID_WU_B_2_HELLO_#001	你终于起床了。
MID_WU_B_2_HELLO_#002	不，我才没有生气。
MID_WU_B_2_HELLO_#003	你之所以觉得我在生气，
MID_WU_B_2_HELLO_#004	是因为你对于睡过头有内疚感吧？
MID_WU_A_1_IN_#001	我原本所在世界的神龙大人，
MID_WU_A_1_IN_#002	会不会也曾被人这样叫醒过呢……
MID_WU_A_1_SOON_#001	你听见了吗？
