MID_BONDSRING_H_CommonTytle	“出场作品”
MID_BONDSRING_HELP	与纹章士\x0E\x01\x00\x00密不可分，\n蕴藏英雄之力的戒指。\n能赋予佩戴者力量。
MID_BONDSRING_HELP_Special	蕴藏特别英雄之力的戒指。\n能赋予佩戴者力量。
MID_BONDSRING_Marth00	异界阿卡奈亚陆地中\n阿利提亚王国的王子。
MID_BONDSRING_Marth01	富有领袖魅力，\n合伙伴之力共同对抗暗黑龙梅迪乌斯。
MID_BONDSRING_Seeda	希达
MID_BONDSRING_H_Seeda00	异界阿卡奈亚陆地中\n塔利斯王国的公主。
MID_BONDSRING_H_Seeda01	驰骋于沙场上，个性活泼的女天马骑士，\n独具魅力，讨人喜爱。
MID_BONDSRING_H_Seeda02	与逃亡的马尔斯结识后，\n一路扶持他，并成为他的未婚妻。
MID_BONDSRING_H_Seeda03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Tiki	琪姬
MID_BONDSRING_H_Tiki00	异界英雄之一，神龙族公主。
MID_BONDSRING_H_Tiki01	将龙之力封入石中后化为人形的\n“龙族”之一。
MID_BONDSRING_H_Tiki02	曾遭到魔王加内夫操控，\n被马尔斯救助后成为他可靠的伙伴。
MID_BONDSRING_H_Tiki03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Minerba	米奈娃
MID_BONDSRING_H_Minerba00	异界阿卡奈亚陆地中\n马其顿王国的公主。
MID_BONDSRING_H_Minerba01	既高贵又英勇的女性，\n别名“赤色龙骑士”。
MID_BONDSRING_H_Minerba02	无法接受祖国与多鲁亚帝国联手，\n不惜背叛出走，与之对战。
MID_BONDSRING_H_Minerba03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Nabarl	拿巴尔
MID_BONDSRING_H_Nabarl00	异界英雄之一，\n人称“赤色剑士”的用剑好手。
MID_BONDSRING_H_Nabarl01	曾经是盗贼的护卫，\n手持“必杀剑”与马尔斯为敌。
MID_BONDSRING_H_Nabarl02	拿女性没辙，\n曾说过“不砍女人”。
MID_BONDSRING_H_Nabarl03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Oguma	奥古马
MID_BONDSRING_H_Oguma00	异界英雄之一，\n侍奉塔利斯王室的佣兵队队长。
MID_BONDSRING_H_Oguma01	骁勇剽悍、身经百战的勇士，\n过去曾是名剑斗士。
MID_BONDSRING_H_Oguma02	剑斗士时期曾受希达公主的救命之恩，\n自此对希达尊敬爱慕、忠心不二。
MID_BONDSRING_H_Oguma03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Katarina	卡达丽娜
MID_BONDSRING_H_Katarina00	异界英雄之一，见习军师。
MID_BONDSRING_H_Katarina01	为侍奉马尔斯而造访阿利提亚城，\n并与克里斯一起加入第七小队。
MID_BONDSRING_H_Katarina02	个性稳重，为伙伴着想，\n但心中藏着不为人知的秘密。
MID_BONDSRING_H_Katarina03	《新・紋章の謎》
MID_BONDSRING_Marich	马利克
MID_BONDSRING_H_Marich00	异界英雄之一，\n人称“风之魔道士”的魔道天才。
MID_BONDSRING_H_Marich01	在魔道都市卡达因留学，\n后来继承高等风魔法“埃克斯卡利伯”。
MID_BONDSRING_H_Marich02	出身于阿利提亚王国贵族之家，\n是马尔斯王子的儿时玩伴。
MID_BONDSRING_H_Marich03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Rinda	琳达
MID_BONDSRING_H_Rinda00	异界英雄之一，拥有过人魔道天赋的少女。
MID_BONDSRING_H_Rinda01	阿卡奈亚王国大祭司米罗亚的女儿，\n性格强势。
MID_BONDSRING_H_Rinda02	继承亡父的高级光魔法“辉光”后，\n为报仇而讨伐加内夫。
MID_BONDSRING_H_Rinda03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Kris	克里斯
MID_BONDSRING_H_Kris00	异界英雄之一，马尔斯的护卫骑士。
MID_BONDSRING_H_Kris01	来自阿利提亚王国，\n原隶属第七小队，后成为骑士。
MID_BONDSRING_H_Kris02	从此保护马尔斯征战各地，\n在幕后护他周全。
MID_BONDSRING_H_Kris03	《新・紋章の謎》
MID_BONDSRING_Roro	罗罗
MID_BONDSRING_H_Roro00	异界英雄之一，隶属暗杀集团的狂战士。
MID_BONDSRING_H_Roro01	总是戴着古怪的面具，\n战斗时会发出诡异的笑声。
MID_BONDSRING_H_Roro02	有众多外貌一模一样的“兄弟”，\n会齐心协力暗杀目标。
MID_BONDSRING_H_Roro03	《新・紋章の謎》
MID_BONDSRING_Siglud00	异界尤格多拉尔陆地中\n格兰贝鲁王国的希亚费公爵家的勋爵。
MID_BONDSRING_Siglud01	遭信奉暗黑神罗普托乌斯的教团陷害而丧命，\n由其子继承遗志。
MID_BONDSRING_Ira	艾伊拉
MID_BONDSRING_H_Ira00	异界尤格多拉尔陆地中\n伊扎克王国的公主。
MID_BONDSRING_H_Ira01	剑术高超的女剑士，\n与西格尔特成为伙伴后并肩作战。
MID_BONDSRING_H_Ira02	继承了剑圣──圣战士奥德的血脉，\n能炉火纯青地施展必杀奥义“流星剑”。
MID_BONDSRING_H_Ira03	《聖戦の系譜》
MID_BONDSRING_Arden	亚丹
MID_BONDSRING_H_Arden00	异界英雄之一，\n侍奉西格尔特的重装骑士。
MID_BONDSRING_H_Arden01	隶属希亚费公爵家旗下的\n“翠绿骑士团”。
MID_BONDSRING_H_Arden02	战力高但机动性欠佳，\n身边的人都调侃他“又硬、又强、又慢”。
MID_BONDSRING_H_Arden03	《聖戦の系譜》
MID_BONDSRING_Celice	赛列斯
MID_BONDSRING_H_Celice00	异界英雄之一，\n人称“光之勋爵”的青年。
MID_BONDSRING_H_Celice01	西格尔特与迪雅朵拉之子，\n继承了圣战士巴尔德的血脉。
MID_BONDSRING_H_Celice02	率领叛军反抗格兰贝鲁帝国，\n成为尤格多拉尔陆地的救世主。
MID_BONDSRING_H_Celice03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Levn	雷文
MID_BONDSRING_H_Levn00	异界尤格多拉尔陆地中\n西里西亚王国的王子。
MID_BONDSRING_H_Levn01	传承风使赛提血脉的圣战士后裔，\n继承了“风魔法弗鲁赛提”。
MID_BONDSRING_H_Levn02	是西格尔特的战友。\n西格尔特丧命后，仍继续守护其子赛列斯。
MID_BONDSRING_H_Levn03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Rackesis	拉克西丝
MID_BONDSRING_H_Rackesis00	异界尤格多拉尔陆地中\n诺狄恩王国的公主。
MID_BONDSRING_H_Rackesis01	狮子王艾尔多尚的妹妹，\n美丽动人、品行高尚。
MID_BONDSRING_H_Rackesis02	在她心目中，哥哥是最完美的男人。\n兄妹俩手足情深，于民间传为佳话。
MID_BONDSRING_H_Rackesis03	《聖戦の系譜》
MID_BONDSRING_Cuan	乔安
MID_BONDSRING_H_Cuan00	异界尤格多拉尔陆地中\n伦斯特王国的王子。
MID_BONDSRING_H_Cuan01	传承枪骑士诺华血脉的圣战士后裔，\n继承了“地枪盖伯尔加”。
MID_BONDSRING_H_Cuan02	西格尔特就读士官学校时结识的朋友，\n重视友情、富有正义感。
MID_BONDSRING_H_Cuan03	《聖戦の系譜》
MID_BONDSRING_Diadora	迪雅朵拉
MID_BONDSRING_H_Diadora00	异界英雄之一，来自精灵森林的巫女。
MID_BONDSRING_H_Diadora01	被禁止与人接触的她\n与西格尔特相识后结为夫妻。
MID_BONDSRING_H_Diadora02	育有一子赛列斯，原本过着幸福无忧的生活，\n却遭到暗黑教团迫害，最终以悲剧收场。
MID_BONDSRING_H_Diadora03	《聖戦の系譜》
MID_BONDSRING_Ethlin	艾丝琳
MID_BONDSRING_H_Ethlin00	异界尤格多拉尔陆地中\n格兰贝鲁王国希亚费公爵家的女爵。
MID_BONDSRING_H_Ethlin01	西格尔特的妹妹，\n稳重可靠且擅长照顾人。
MID_BONDSRING_H_Ethlin02	嫁给其兄挚友乔安王子后，\n生下了阿尔缇娜和里弗。
MID_BONDSRING_H_Ethlin03	《聖戦の系譜》
MID_BONDSRING_Ferry	菲莉
MID_BONDSRING_H_Ferry00	异界英雄之一，\n效命于西里西亚王国的天马骑士。
MID_BONDSRING_H_Ferry01	人称“四天马骑士”的精锐士兵之一，\n为了寻找雷文王子奔走四方。
MID_BONDSRING_H_Ferry02	拥有过人的身手，\n但为人老实，容易受骗。
MID_BONDSRING_H_Ferry03	《聖戦の系譜》
MID_BONDSRING_Azel	艾泽尔
MID_BONDSRING_H_Azel00	异界尤格多拉尔陆地中\n格兰贝鲁王国贝尔特玛公爵家的勋爵。
MID_BONDSRING_H_Azel01	传承魔法战士法拉血脉的圣战士后裔，\n擅长火焰魔法的善良青年。
MID_BONDSRING_H_Azel02	为了拯救被掳走的心上人爱汀，\n他全力奋战。
MID_BONDSRING_H_Azel03	《聖戦の系譜》
MID_BONDSRING_Celica00	异界瓦伦西亚陆地中\n索菲亚王国的王族幸存者。
MID_BONDSRING_Celica01	为了探究世界异变的原因踏上旅途，\n与阿雷武一同对抗邪神多玛。
MID_BONDSRING_Alm	阿雷武
MID_BONDSRING_H_Alm00	拯救了异界瓦伦西亚陆地的英雄。
MID_BONDSRING_H_Alm01	富有正义感的少年，\n左手上有圣痕，是预言中的勇士。
MID_BONDSRING_H_Alm02	与赛莉卡是儿时玩伴，\n在旅行途中重逢后合力对抗邪神多玛。
MID_BONDSRING_H_Alm03	《外伝》《Echoes》
MID_BONDSRING_Deute	迪优特
MID_BONDSRING_H_Deute00	异界英雄之一，性格开朗的魔道士。
MID_BONDSRING_H_Deute01	在阿雷武的帮助下摆脱了敌军妖术师的操控，\n并与阿雷武成为伙伴。
MID_BONDSRING_H_Deute02	出身于边境村落，不喜欢乡下，\n梦想是与城里人结下良缘。
MID_BONDSRING_H_Deute03	《外伝》《Echoes》
MID_BONDSRING_Effie	艾菲
MID_BONDSRING_H_Effie00	异界英雄之一，爱慕阿雷武的少女。
MID_BONDSRING_H_Effie01	来自阿雷武长大的拉姆村，\n两人是儿时玩伴。
MID_BONDSRING_H_Effie02	从小便倾心于阿雷武，\n梦想是与他共度一生。
MID_BONDSRING_H_Effie03	《Echoes》
MID_BONDSRING_Genny	杰妮
MID_BONDSRING_H_Genny00	异界英雄之一，温文尔雅的修女。
