MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAhouuuu ! Alors Rosado, t'en as pensé\nquoi, de la fête ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nAhouuuu ! C'était incroyable ! Si elles sont\ntoujours aussi sympa, moi je veux bien\nen être tous les jours !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nTous les jours ? Même moi, rien que d'y\npenser... Ça m'épuise.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nJ'imagine que pour toi, c'est pas pareil,\nvu que tu viens du village des fées.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nEh oui !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nOn m'a raconté que les gens qui venaient de\nlà pouvaient faire la fête des jours entiers\nsans avoir le moindre cerne.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nEn plus, il paraît qu'ils peuvent ripailler\net boire jusqu'à plus soif sans jamais\nse sentir mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nBon, j'admets, je suis jaloux. J'aimerais\nbien pouvoir faire ça, moi aussi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\nTant que tu n'es que jaloux...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nHein ? Comment ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nCertains trouvent ça un peu sinistre, en fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nPff ! C'est n'importe quoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nFais pas attention à eux. En fait ils sont\njaloux aussi, mais ça les tuerait de l'admettre.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nOuais, je sais bien. Mais merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nPas de souci ! En tout cas, la prochaine fois\nqu'il y a une fête, je fonce te chercher !\nAhouuuu !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nAhouuuu !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nDis donc, Pandreo, t'as pas exactement bonne\nmine ! Tu t'es un peu trop amusé, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nHmm... Non. En fait j'aimerais bien que\nce soit ça, mon problème.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nBen qu'est-ce qui ne va pas ? Si ça peut\nt'aider, je veux bien t'écouter.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nEn fait, c'est pas la première fois que ça\nm'arrive, et ce sera pas la dernière non plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nDes prêtres coincés se sont plaints auprès\nde mon église.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nAh, je vois. C'est vrai qu'elle n'est pas\ntrès conventionnelle, il me semble ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nJ'ai entendu que tu y organisais des fêtes\nsomptueuses à la pointe de la mode pour\nla rendre plus accessible.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nSans parler des énormes pancartes pour\nindiquer la direction de l'église.\x0E\x04\x00\x00
