MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLouis... Vous me fixez depuis un moment, et\nça devient légèrement gênant. Je peux vous\naider ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nIllustre chevalier de Brodia, pardonnez-moi\nle moindre désagrément que j'ai pu vous causer.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nL'intérêt profond que je vous porte me conduit\npeut-être à agir d'une façon importune.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nVous me regardez fixement et vous\nqualifiez cela d'« intérêt » ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nVous accomplissez chaque mission avec tant\nde grâce, et jamais vous ne discutez un ordre de\nvotre prince.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nQui plus est, vous ne montrez aucune pitié sur\nle champ de bataille, à telle enseigne qu'on\npourrait injustement douter de votre humanité.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Nous avons largement dépassé les\nlimites de « l'intérêt ». Tentez-vous donc\nd'être charmant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSi vous me trouvez dangereuse, je n'essaierai\npas de vous convaincre du contraire. Vous ne\nm'inspirez pas tellement confiance non plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nDangereuse ? Absolument pas. Je crains de\nvous avoir à nouveau inspiré de fausses idées.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nMais vous ne nierez sans doute pas que vous\nconservez certaines choses secrètes avec un\nsoin jaloux, hmm ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nDes mystères que vous ne daignez partager\nqu'avec de rares élus.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nMais je n'en ignore pas le moindre détail.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nJe ne sais pas de quoi vous parlez.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nVous travaillez sur un nouveau roman,\nn'est-ce pas ? Une comédie que d'aucuns\npourraient qualifier de particulièrement frivole ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, je suis persuadée que je ne viens pas de\nvous entendre mentionner un nouveau roman...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nAllons, je suis un modèle de discrétion.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ジェーデ\nOh, cela vaut mieux. Vous avez vous-même\nsouligné que je peux me montrer sans pitié.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nMettez un peu vos « intérêts » en sourdine et\nprofitez d'une longue vie simple, consacrée à\nvous occuper de vos affaires.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nFort bien, Jade. Je me le tiendrai pour dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nJ'ai une idée de roman : un groupe d'amis\nse réunit et ils bavardent à bâtons rompus.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nQu'est-ce que vous racontez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nUn air de désarroi obscurcissait votre visage,\nj'en ai conclu que vous cherchiez l'inspiration.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nJe ne peux plus le nier, c'est cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nEh bien, vous avez raison. J'essaie en effet de\ndéterminer le thème de mon prochain roman.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nVous l'avez, désormais. Racontez une histoire\ncentrée autour d'un groupe de bons amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAmis à quel point ? Vous pensez à un de ces\nrécits où un cercle de bons camarades fait\nl'expérience d'un événement qui les rapproche ?\x0E\x04\x00\x00
