MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous avez une force considérable, Roy. Ce n'est\npas étonnant que Brodia ait été chargé de votre\nprotection.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x06\x04ロイ\nVous me flattez. Je suis simplement heureux\nde collaborer avec vous pour rétablir la paix.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVous avez fait de nombreux progrès.\nVous avez l'étoffe d'un\x0E\x0A\x00\x06
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nJe dois dire que je n'y croyais pas vraiment\navant de l'entendre de votre bouche.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nSavez-vous ce que j'apprécie chez vous ?\nVous n'abandonnez jamais, même dans\nles situations les plus désespérées.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04ロイ\nQuand des gens ont besoin d'aide, j'ai le\nsentiment de devoir faire tout mon possible\npour les aider. C'est tout.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nTout le monde ne pense pas ainsi, pourtant.\nC'est une philosophie dont je devrais m'inspirer.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04ロイ\nSi vous admirez cette façon de voir les choses,\nc'est que vous la partagez déjà. Je suis heureux\nque vous soyez mon allié\x0E\x0A\x00\x06
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMessire Roy, il me serait fort utile d'en\napprendre davantage au sujet des capacités\ndes Emblèmes.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04ロイ\nAvec plaisir. Ce sera une excellente occasion\nde profiter moi aussi de vos enseignements,\nMessire Vander.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai achevé un ouvrage de dentelle, dont j'ai\npensé qu'il aurait l'heur de vous plaire.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x06\x04ロイ\nC'est absolument magnifique. Il me plaît\nbeaucoup ! Nous pourrions même le disposer\ndans la salle des Emblèmes.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nTiens, vous tricotez... Est-ce ainsi que vous\navez confectionné l'ouvrage de dentelle que\nvous m'avez montré ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOui. Tricoter de charmants motifs tels que\nceux-là exige une technique pointue ainsi\nqu'un toucher délicat.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nMais surtout, c'est une besogne qui apaise le\ncœur. Rien ne m'est plus agréable quand je\nm'en reviens du champ de bataille.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04ロイ\nMa foi, vous avez piqué ma curiosité. J'espère\nque vous me montrerez vos autres créations.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nClanne, vous avez passé beaucoup de temps à\nSomniel, n'est-ce pas ? Est-ce que vous pouvez\nm'en dire un peu plus sur ce lieu ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nVous en dire un peu plus... Eh bien...\nOui, bien sûr ! Je n'en reviens pas que\nMessire Roy me demande quelque chose !\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nEuh... Messire Roy ? Je me demandais à tout\nhasard... Ça vous dirait de rejoindre notre\nfan-club du Dragon divin ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04ロイ\nExpliquez-moi d'abord ce qu'est un\n« fan-club », et je pourrai vous répondre.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nMessire Roy... Vous croyez que je suis enfin\nassez fort pour protéger le Dragon divin ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x06\x04ロイ\nBien sûr. Je vous vois gagner en force\nà chaque fois que je me bats à vos côtés.\x0E\x04\x00\x00
