MID_Movie_S02	Bataille du passé
MID_H_Movie_S02	\x0E\x06\x03\x00 traverse le champ de\nbataille. Alliés et Emblèmes l'aident à se\nfrayer un chemin vers le combat final.
MID_Movie_S03	Fusion de l'Emblème !
MID_H_Movie_S03	L'Emblème Marth et \x0E\x06\x03\x00\nfusionnent, unissant ainsi leurs pouvoirs\npour vaincre l'ennemi.
MID_Movie_S04	Invocation du Roi-Héros
MID_H_Movie_S04	L'anneau brille d'un éclat bleu. L'épéiste\nvu en rêve par \x0E\x06\x03\x00 apparaît\net se présente comme l'Emblème Marth.
MID_Movie_S05	La reine draconique divine
MID_H_Movie_S05	Assailli\x0E\x0A\x00\x06
MID_Movie_S06	L'histoire d'Elyos
MID_H_Movie_S06	En chemin vers le château de Lythos,\nLumera raconte à \x0E\x06\x03\x00\nl'histoire d'Elyos et des Emblèmes.
MID_Movie_S07	Souvenirs écarlates
MID_H_Movie_S07	Le souvenir d'un\x0E\x0A\x00\x06
MID_Movie_S08	Alfred
MID_H_Movie_S08	Un ennemi inconnu assaille le château\nde Lythos. Le prince héritier de Firene,\nAlfred, vole au secours des défenseurs.
MID_Movie_S09	Disparition de la reine
MID_H_Movie_S09	L'ennemi jette un sort à \x0E\x06\x03\x00.\nLumera l'intercepte, mais succombe\nensuite à ses blessures.
MID_Movie_S10	Rencontre avec Veyle
MID_H_Movie_S10	Une Aberration attaque \x0E\x06\x03\x00\npar surprise, mais est arrêtée par le sort\nqu'une mystérieuse jeune fille a lancé.
MID_Movie_S11	Diamant
MID_H_Movie_S11	Le prince héritier de Brodia, Diamant,\naccueille à la porte du château de Brodia\n\x0E\x06\x03\x00 et ses compagnons.
MID_Movie_S12	Ivy
MID_H_Movie_S12	Ivy, princesse héritière d'Elusia, envahit\nle château de Brodia sur l'ordre de son\npère et exige les Anneaux d'Emblèmes.
MID_Movie_S13	Conflit à la frontière
MID_H_Movie_S13	Les armées s'affrontent. Le roi Morion\nmanque de vaincre le roi Hyacinth, mais un\nEmblème Noir renverse l'issue de la bataille.
MID_Movie_S14	Sombron le Dragon déchu
MID_H_Movie_S14	Un rituel permet à Sombron de retrouver\nen partie ses pouvoirs. Il lui faut plus de\nsang, alors il prend celui du roi Hyacinth.
MID_Movie_S15	Timerra
MID_H_Movie_S15	Timerra, la princesse héritière de Solm,\ncampe en compagnie de ses vassaux\nalors qu'elle parcourt le royaume.
MID_Movie_S16	La volonté de Veyle
MID_H_Movie_S16	Veyle navigue avec les Quatre Chacals.\nElle regagne sa volonté et lance l'Anneau\ndu Chevalier Sacré à \x0E\x06\x03\x00.
