MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nBonjour... Vous auriez un instant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nOh ! Mar...\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Non. Vous devez être Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nEn effet.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Et vous, vous êtes Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nOui.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nマデリーン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nIl vous fallait quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nマデリーン\nJe ne veux pas vous importuner... Je désirais\nseulement vous saluer et me présenter\nconvenablement.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Je viens d'un autre monde, et j'ai donc\nnaturellement beaucoup à apprendre du vôtre.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Mais je suis fort aise de faire votre\nconnaissance, et j'ai hâte de terrasser\nl'ennemi à vos côtés. \x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nJe prends bonne note de vos chaleureuses\nsalutations.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	D'ailleurs, j'espérais que nous aurions\nl'occasion de nous entretenir tous les deux.\nMerci de vous être présentée à moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nマデリーン\nOh, ces remerciements sont inutiles. C'est la\nmoindre des choses pour un chevalier novice,\nque de présenter ses hommages à ses maîtres.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nSes maîtres ? Je vous ai vue sur le champ\nde bataille, vous perciez les lignes ennemies\navec brio.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Vous êtes un chevalier qui ne manque\nni de bravoure ni de talent. Mes compliments,\nMadeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nOh... Hmm...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Merci. Vos paroles me vont droit au cœur.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Mais de tels éloges ne sont pas nécessaires.\nJe ne fais qu'honorer le serment des chevaliers\nen protégeant mes alliés.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nSi c'est ainsi que vous fonctionnez...\nVoilà qui est merveilleux.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nJe... Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06モーヴ\nPardonnez-moi. Il va de soi que vous avez\nde nombreuses autres personnes à saluer.\nJe vais prendre congé.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0C\nマデリーン\nAttendez ! Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_C_#024	Ohh...\x0E\x04\x02\x00
MID_RELIANCE_C_#025	M'entretenir à nouveau avec Mauvier...\nQuel étrange sentiment.\x0E\x04\x02\x00
MID_RELIANCE_C_#026	Mais est-ce que je me fais des idées ?\nJ'ai une curieuse impression...\x0E\x04\x02\x00
MID_RELIANCE_C_#027	Comme s'il me regardait, tout en s'adressant\nen réalité à quelqu'un d'autre...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x08\x06モーヴ\nAucune pièce d'équipement n'a échappé\nà l'inspection. Une pause me semble\nde circonstance.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nOui, vous l'avez bien méritée.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nComme vous aviez tout préparé à l'avance,\nla besogne était légère.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Votre aide s'est avérée précieuse. Merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nマデリーン\nJe suis ravie de me rendre utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nC'était une riche idée de trier les objets par\ntype et par taille. Vous avez l'organisation\ndans le sang.\x0E\x04\x02\x00
