MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh non... Qu'est-ce que je vais faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nQuelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEh bien... Mes parents tiennent une auberge\nprès de la meilleure source chaude d'Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis désolée si cela vous rend verte de\njalousie. Je n'y peux rien si je suis la fille\nunique d'une famille aisée.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nOuah ! Ça a l'air formidable !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOui, mais... Mes parents viennent de\nm'apprendre que des ours leur causent\ndes problèmes.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nDes ours ? Il peut être compliqué de s'en\ndébarrasser.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nIl n'y a pas de temps à perdre. Nous devons\nécrire une lettre à tes parents pour leur dire\nquoi faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais je ne sais pas comment me débarrasser\ndes ours.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe possède bien des talents, mais m'occuper\nde prédateurs terrifiants n'en fait pas partie...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nAlors laisse-moi faire. Je viens d'un village\noù ils nous attaquent constamment. Je sais\nde quoi je parle.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nUn exemple : tu vois un ours en train de manger\nta récolte.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nIl suffit de lui crier : « HÉ ! Fiche le camp, boule\nde poils, ou ça va barder pour toi ! »\x0E\x04\x00\x00
