MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nC'est un honneur de vous connaître,\nEmblème Dimitri. L'aide que vous\nnous apportez est précieuse.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nディミトリ\nTout l'honneur est pour moi, et je suis\nimpatient de vous assister au mieux de\nmes capacités.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nPardonnez mon indiscrétion, mais je n'ai pu\nm'empêcher de remarquer à quel point vous\nsemblez seul, même entouré de vos amis.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0C\nディミトリ\nLaissez-moi vous assurer que ce n'est\naucunement le cas, et je regrette d'avoir été\nune source de préoccupation pour vous.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nL'Emblème Claude m'a informée que vous\nfaisiez preuve d'un fort esprit d'indépendance,\npouvant parfois verser dans l'individualisme.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nIl pense qu'il pourrait vous être bénéfique\nd'en appeler davantage au soutien de vos\nalliés, et je suis encline à respecter son avis.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nディミトリ\nJ'imagine qu'il y a du vrai, car c'est une chose\nque l'on m'a répétée tout au long de ma vie.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nディミトリ\nSi j'agis ainsi, c'est par crainte de devenir une\ncharge pour ceux qui m'entourent, mais je\ntâcherai de prendre votre avis en considération.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nラファール\nVous devez me haïr après que j'ai gardé\nvotre bracelet caché pendant si longtemps.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nAu contraire, je constate que vous redoublez\nd'efforts pour expier vos fautes. Nous ne\nnourrissons aucune rancune à votre endroit.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nSi je puis vous faire une confidence, il y a une\nchose qui me chagrine à votre sujet : la quantité\nde sucre que vous mettez dans votre thé...\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nTout est meilleur avec du sucre, Edelgard,\nc'est un fait bien connu et qui ne souffre\naucun débat.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nVous vous lancez seul au combat bien trop\nsouvent, je ne peux que vous enjoindre à\nemployer davantage l'aide de vos alliés.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nSi ma conduite vous déplaît à ce point,\nrien ne vous retient ici, et personne ne\nvous oblige à rester à mes côtés.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nVous déformez mes propos, je ne faisais que\nvous implorer d'appliquer quelques notions\nde stratégie des plus simples.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSi le fait que je parte seul au combat vous\ninquiète à ce point, vous n'avez guère\nd'autre choix que de m'accompagner.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nC'est étrange... J'ai toutes les difficultés\ndu monde à me concentrer sur les tâches\nles plus simples, ces derniers temps.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nディミトリ\nSi j'en crois le... hum, grondement que je viens\nd'entendre, j'oserais avancer une théorie : cela\ntient au fait que votre estomac crie famine.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nLes Quatre Zéphyrs semblent constituer\nun groupe extrêmement soudé, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOui, et je me soucie du sort de tous ceux qui\nnous ont rejoints ici. Vous paraissez former\nun trio inséparable, vous aussi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe crois savoir que vous cohabitiez avec de\nnombreux élèves, à l'Académie des officiers.\nVous deviez former une grande famille.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nディミトリ\nUne famille ? Pas tout à fait, non. Nous venions\nd'horizons très différents, aussi bien par notre\nnaissance que par nos origines.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nRien de tout ça n'a d'importance ici, et chacun\npeut trouver une place dans notre famille\nindépendamment de son histoire personnelle.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nディミトリ\nVoilà une ouverture d'esprit rafraîchissante.\nSi seulement tout le monde pouvait envisager\nles choses de cette manière...\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLe secret de la victoire, c'est une planification\nrigoureuse et une collecte d'informations\nminutieuse. Vous n'êtes pas d'accord ?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08クロード\nJe suis entièrement d'accord. Sans les\nrenseignements idoines, il est simplement\nimpossible de tendre un piège à l'ennemi.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nMa stratégie consiste à éliminer autant d'unités\nennemies que possible, quel qu'en soit le prix.\nSi cela échoue, nous sonnons la retraite.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nVous aimez vraiment plonger dans la fureur\ndes combats, hein ? Je crois qu'on a pas tant\nde choses en commun, finalement.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nMême face à cet ennemi assoiffé de sang,\nvotre talent inné pour la fuite pourrait\ncompléter admirablement ma stratégie.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nQuelle stratégie ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08クロード\nVous vous faufilez au cœur des rangs adverses,\nvous créez une diversion et j'accours pour les\nprendre à revers.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nJe vois, oui... Attendez, non. Si j'ai bien suivi,\nça veut dire que je me retrouverais au cœur\ndu danger, c'est ça ?\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nMon apprentissage est loin d'être achevé, mais\nmes parents étaient d'illustres chevaliers.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nIl suffit de vous observer pour le deviner,\net je suis persuadée que vos parents n'ont\nque la plus grande des fiertés pour vous.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nJ'aimerais vous connaître un peu mieux,\nDame Edelgard. Que pourriez-vous me\ndire au sujet de vos parents ?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMère s'est éteinte alors que je n'étais encore\nqu'une enfant. Mon père était un homme bon...\nSans doute trop pour un empereur.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nMadeline, pourquoi souriez-vous ainsi ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nQuand je suis en votre compagnie, je ne peux\nm'empêcher de penser que ça doit ressembler\nà cela, d'avoir une grande sœur.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nJe suis parfaitement consciente que nos rangs\nnous séparent, mais je suis fille unique, alors...\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nMerci, vous êtes une personne attendrissante,\net deviser avec vous est pour moi une joie\nchaque jour renouvelée.\x0E\x04\x00\x00
