MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nフォガート\nBonjour, Yunaka. Je vais à une fête,\nveux-tu m'accompagner ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nUne fête ? Et pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nAh, tu n'as pas l'air d'avoir envie.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nTu es d'habitude si pétillante, j'ai cru\nque tu serais partante.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nMais ce n'est pas grave ! Je reviendrai\nte voir quand une autre occasion se\nprésentera. Allez, amuse-toi bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nIl est venu si vite que je n'ai pas eu\nle temps de me mettre dans la peau\nde mon personnage !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nJe dois absolument me rattraper,\nautrement il découvrira qui je suis.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nHéééé ! Fogaaaado !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x02\x0C\nフォガート\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nJe me suis bien payé votre tête, c'est top\nmoumoute ! J'adore faire la fête avec plein\nd'inconnus dans un espace clos !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nTu ne serais pas en train de te forcer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nMais non ! Les fêtes, c'est super amusant !\nEt moi, j'adore m'amuser !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nEmmenez-moi à ces fêtes ! Je ne veux\nen manquer aucune !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nHa ha, je t'avais donc bien cernée.\nJe savais qu'on s'entendrait, tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nAllez viens, direction la fête !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nJusqu'au bout de la nuit, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nVous l'avez dit ! Hé hé hé...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nフォガート\nHé... Je voulais m'excuser de t'avoir traînée\nà cette fête. Je n'avais pas remarqué\nque tu détestais ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nNon, c'est moi qui vous dois des excuses.\nDésolée de m'être ainsi enfuie en courant.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nEn réalité, je... je ne suis pas à l'aise\nau milieu de la foule.\x0E\x04\x00\x00
