MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nÊtre votre compagnon me remplit d'allégresse.\nJ'ai juré à Lumera de vous défendre au péril\nde ma vie.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nMerci, Emblème Sigurd. Je... je me réjouis\négalement de vous compter parmi nous.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nJe vous considère comme ma famille. Nous\ndevons arpenter la même route et mener les\nmêmes combats.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nJe me sens plus en sécurité quand vous êtes là.\nDans chaque bataille, je sens nos cœurs battre\nà l'unisson.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nVous avez fait fleurir de nombreuses amitiés\nau sein de vos alliés. C'est à elles que je dois\nma présence parmi vous.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nJe ne serais jamais allé\x0E\x0A\x00\x06
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nVous en faites partie, Sigurd. Je vous remercie\nd'avoir été un tel allié pour nous tous.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08シグルド\nNos liens résisteront au passage du temps.\nNous mettrons un terme à ce conflit ensemble.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLe fait d'avoir été incapable de protéger\nSa Majesté Lumera me met à la torture.\nLa culpabilité ne cesse de me ronger.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08シグルド\nLumera n'est peut-être plus parmi nous, mais\nsa volonté subsiste. Il est de notre devoir\nde poursuivre ses desseins.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nQuelle habileté manuelle vous exhibez ! Il n'est\npas donné à tout le monde de pouvoir tricoter\nune dentelle aussi sophistiquée, je présume ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai peut-être développé quelque adresse dans\ncet art... Mais au fond, ce n'est qu'un passe-\ntemps auquel je consacre mes heures oisives.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\n« Un gardien du Dragon sans nul autre pareil »,\nvoilà comment Lumera vous décrivait.\nLe saviez-vous ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJ'avais le privilège de servir la reine.\nPourtant, je pensais que ce serait elle\nqui m'enterrerait.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nJe nourrissais une telle admiration pour\nSa Majesté Lumera... Passer toutes ces années\nà son service me fut une grande joie.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08シグルド\nEt je ne doute guère que votre présence lui\ninspirait un plaisir semblable. À nous de\npoursuivre son ouvrage, désormais.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nClanne, vous êtes plutôt admiratif du Dragon\ndivin, n'est-ce pas ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOui, et pas qu'un peu ! J'ai attendu son réveil\nsi longtemps ! J'ai l'impression de vivre un\nrêve, maintenant !\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nJ'ai parlé très longtemps avec le Dragon divin\naujourd'hui ! Messire Sigurd, je suis si heureux\nque je pourrais m'évanouir.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08シグルド\nS'évanouir en pleine conversation ? D'aucuns\ntrouveraient pareille attitude inconvenante !\nTâchez de rester sur vos pieds, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nJe dois être fort pour aider le Dragon divin.\nMessire Sigurd, comment dois-je m'y prendre ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08シグルド\nLe devoir d'un chevalier est d'aider son peuple.\nCette pensée m'a fourni l'énergie nécessaire\npour m'entraîner quotidiennement.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0A\x08シグルド\nToutefois, seule, la force ne suffit pas.\nIl faut également faire preuve de compassion\net sonder l'âme des gens.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nL'âme des gens... Oh. D'accord. Merci,\nMessire Sigurd. Je vais y réfléchir !\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLumera ne tarissait pas d'éloges à votre sujet.\nElle disait avoir elle-même sollicité votre venue\nà Somniel.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nLa reine Lumera vous a parlé de moi ?\nJe suis vraiment flattée ! Je ne la décevrai\npas, et vous non plus, Messire Sigurd.\x0E\x04\x00\x00
