MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nBonjour, Jean.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nOh ! Jade ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nDésolée, je crois que je t'ai fait sursauter.\nTu as l'air terrifié...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nP-Pas du tout ! Mon cœur bat à un rythme\ntout à fait normal.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ジェーデ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nBon, si vous n'avez pas besoin de moi...\nje vais m'en aller, hein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nTu es terrifié. C'est à cause de moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSe pourrait-il que je te fasse peur, sans savoir\npourquoi ? Je ne cherche pas à être effrayante...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ジャン\nJe n'ai pas peur. Je vous assure. C'est juste\nque... je suis pas à l'aise en votre présence.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nEn... ma présence ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nBen... ouais. Les monstres et autres, ça va.\nJe me débrouille.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nLes espaces clos, l'obscurité, les insectes,\nles animaux sauvages... rien de tout ça ne me\nfait peur, moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nMais vous, en revanche...\x0E\x04\x00\x00
