MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe dois te remercier, Jean.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nPrincesse Céline ? Me remercier de quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nLe thé produit sur ton île est mon préféré,\net de loin.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nChaque gorgée est un enchantement. Il est\ndonc fort naturel que je te remercie.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nAh. Dans ce cas, il faut que je vous\nremercie aussi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nMa mère va sauter de joie quand elle\napprendra qu'il vous plaît à ce point.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nTa mère ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nElle travaille dans une boutique de thé,\nchez moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\nVous avez probablement bu du thé dont\nma mère avait travaillé les feuilles.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nJe comprends ! Eh bien, transmets-lui donc\nmes remerciements, dans ce cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nJe risque pas d'oublier. Ma mère sera\naux anges quand elle aura entendu\nvotre compliment.\x0E\x04\x00\x00
