MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, auriez-vous un peu de temps pour\ndiscuter ? J'aimerais en savoir davantage\nsur le monde d'où vous venez.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe peux vous accorder quelques minutes,\nmais pas plus.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nEn combat, vous avez toujours une stratégie\ncalme et logique. Il faudrait que j'essaie\nde réfléchir de la même façon...\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nChacun a des domaines qui lui conviennent plus\nou moins bien. La réflexion calme et rationnelle\nne fait peut-être pas partie des vôtres.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous avez toujours l'air intrépide en combat.\nJ'aimerais être comme vous... Moi, je me sens\nen général nerveu\x0E\x0A\x00\x0A\x02x\x04se, au début.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nUn stratège ne peut se permettre de céder à\nla panique. Et il en va de même pour quelqu'un\nqui assume un rôle tel que le vôtre.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nVous avez raison. Je dois m'efforcer de faire\npreuve de confiance, malgré les incertitudes.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nConcentrez-vous sur les décisions à prendre,\nl'une après l'autre. Il n'y a qu'a posteriori que\nvous saurez si vous avez fait les bons choix.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMessire Soren, j'ai hâte de découvrir les plans\nque vous avez mis au point au cours du\nconseil de guerre.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nJ'ignore dans quelle mesure je peux être utile\nà ce groupe, mais je ferai de mon mieux.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLe Dragon divin pèche parfois par excès de\npolitesse. Votre franchise est la bienvenue.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nMerci... Il y a bien longtemps qu'on ne m'avait\nplus adressé de telles paroles.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nJe vous présente de nouveau mes excuses\npour vous avoir demandé d'exprimer ce que\ntous craignaient de formuler à voix haute.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe n'ai fait que vous prodiguer un conseil.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEt pourtant... Il est rassurant de disposer\nd'un conseiller tel que vous.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nEspérons que je saurai me montrer digne\nde la confiance dont vous m'honorez.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nCela fait un moment que vous êtes planté là.\nQu'est-ce que vous fabriquez, au juste ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, je me contente d'admirer le Dragon divin\nde loin. Regardez ! Cette attitude royale... c'est\ntellement sublime.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nJe travaille dur pour servir le Dragon divin.\nIl n'y a rien de plus satisfaisant que de rendre\nquelqu'un heureux.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nVoilà un sentiment que je comprends bien.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nMessire Soren, aimez-vous la viande ? Je crois\nvous avoir vu vous y intéresser, l'autre jour.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nPas particulièrement, non.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nAh bon. Eh bien tant pis. La super recette\nque j'ai trouvée ne va pas vous tenter, alors...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nPas si vite ! Je voudrais en savoir davantage.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nVous ne trouvez pas que le Dragon divin est\nparticulièrement éblouissant, aujourd'hui ?\nUn don du ciel qu'on apprécie jour après jour...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nUn don du ciel ? Mais de quoi vous parlez ?\nJe ne comprends rien à ce que vous dites.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nMessire Soren, pourriez-vous m'aider à trouver\nun encouragement pour soutenir le Dragon divin\npendant ses entraînements ?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nUn encouragement ? Cela pourrait en effet\ns'avérer bénéfique pour son moral...\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nMerci pour vos conseils de l'autre jour.\nJe peux à présent aider le Dragon divin\npar mes encouragements !\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nAh, vraiment ?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nOui. Mais j'avoue être surprise. Je pensais que\nvous alliez me dire d'être moins bruyante.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nSi vos hurlements stridents peuvent apporter\nun bénéfice quelconque à notre armée,\nje ne vois rien à y redire.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai confiance en ma force, mais je dois\nm'améliorer en stratégie, et c'est là que\nvous intervenez.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nS'il le faut...\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nÀ votre avis, Soren... Les gens sont-ils de\nnaissance fondamentalement bons ou mauvais ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nIl faut partir du principe qu'ils sont méchants.\nMême si l'on se trompe, on risque moins de\ndégâts qu'en croyant par erreur en leur bonté.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nAh, vous êtes là. Il est tout à fait irresponsable\nde disparaître au beau milieu d'un conseil\nde guerre.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nDésolé, je suis parti courir. C'est comme ça\nque me viennent mes meilleures idées.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nJ'attends encore de voir le commencement\nd'une bonne idée venant de votre part.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est la preuve que je dois courir davantage !\nMerci du conseil, je vais accélérer ma foulée !\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nJe trouve rassurant de voir l'ancien conseiller\nstratégique d'un groupe de mercenaires\nrejoindre nos rangs.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIl serait sage de ne pas laisser naître en vous\nd'espoirs démesurés.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nJ'aurais besoin d'un conseil. Comment puis-je\nfaire pour éviter de me perdre sans arrêt ?\x0E\x04\x00\x00
