MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nDevant nous, une séparation millénaire...\nDe l'autre côté, un siècle de regrets...\x0E\x04\x02\x00
MID_OP1_#002	Je vous implore, vous qui rêvez de mon chagrin.\nDissipez les ténèbres de ce monde...\x0E\x04\x02\x00
MID_OP1_#003	Nos souvenirs sont ici notre seule lumière,\net l'espoir instillé en nous est incertain.\x0E\x04\x02\x00
MID_OP1_#004	Hélas, je connais la vérité.\x0E\x04\x02\x00
MID_OP1_#005	En ce monde, nul salut.\nVous n'existez point en ce monde.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\n青リュール\x022\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0A\x08リュール\nQuel est cet endroit ? Il ne ressemble en rien\nà Somniel...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0C\n青リュール\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nQui êtes-vous ?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nJe suis...\x0E\x04\x02\x00
MID_OP2_#005	Peu importe mon nom. Il a perdu son sens\nil y a de cela fort longtemps.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nJ'ai l'étrange impression... que nous nous\nsommes déjà rencontrés quelque part.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\n青リュール\nNon, nous ne nous sommes jamais rencontrés.\nEnfin, pas d'une façon que tu puisses concevoir.\x0E\x04\x02\x00
MID_OP2_#008	Je m'adresse à toi comme à travers un miroir.\nTu es mon reflet, le dernier espoir de ma terre.\x0E\x04\x02\x00
MID_OP2_#009	Je sollicite ton assistance. M'aideras-tu à sauver\nceux qui me sont chers ?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nBien sûr. Je ferai mon possible pour vous aider.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\n青リュール\nVraiment ? Tu acceptes sans même savoir\nen quoi consiste ma requête ?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nEh bien... je suppose que cela me permettra\nde surmonter mes propres angoisses.\x0E\x04\x02\x00
MID_OP2_#013	Comme si j'avais l'opportunité de retrouver...\nune chose que j'aurais perdue il y a longtemps.\x0E\x04\x02\x00
MID_OP2_#014	Donc, oui, vous pouvez compter sur moi.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\n青リュール\nJe me réjouis de cette réponse.\x0E\x04\x02\x00
MID_OP2_#016	Je craignais que tu ne refuses, étant donné que\nje ne suis pas en mesure de t'en dire davantage.\x0E\x04\x02\x00
MID_OP2_#017	Tu dois juste savoir qu'un adversaire au cœur\ncorrompu menace cette terre dont je parle.\x0E\x04\x02\x00
MID_OP2_#018	Le seul espoir pour mon peuple, c'est\nque tu récupères les sept bracelets.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nLes sept bracelets...\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0C\n青リュール\nDans mon monde, les Emblèmes résident dans\ndes bracelets. Il te faudra les récupérer pour\nréussir.\x0E\x04\x02\x00
MID_OP2_#021	Bien, je vais à présent te transporter sur place.\nÀ ton arrivée, tu feras la connaissance de ceux\nqui te serviront de guides.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nEst-ce que nous nous reverrons ?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0C\n青リュール\nJe crains que non. Pas plus que nous ne\nnous sommes jamais rencontrés.\x0E\x04\x02\x00
MID_OP2_#024	Pas même en cet instant.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08リュール\nVous parlez si mystérieusement... Pourtant,\nj'ai la conviction que je vous reverrai.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0C\n青リュール\nLe moment est venu. Que la fortune te sourie\nlors des combats à venir !\x0E\x04\x02\x00
MID_OP2_#027	Adieu, très cher Dragon divin.\nMon reflet venu d'un autre monde...\x0E\x04\x02\x00
MID_OP2_#028	Dans ton périple, puisses-tu ressentir la joie,\nla souffrance, le chagrin... mais aussi l'amour.\x0E\x04\x02\x00
MID_OP2_#029	Fais-en l'expérience à ma place...\nMoi qui repose à tout jamais.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_イル\x021\n\x0E\x06\x00*\x0EE001_イル\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x06\x00*\x0EE001_エル\x18MPID_Unknown\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nAh !\x0E\x04\x02\x00
MID_OP3_#002	Cette lumière aveuglante...\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x10\x0EE001_イル\nSœurette, ça a fonctionné !\nNos prières ont été entendues !\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x10\x0EE001_エル\nAprès toutes ces années...\x0E\x04\x02\x00
MID_OP3_#005	Notre \x0E\x0A\x00"\x0Esauveur\x10sauveuse apparaît enfin.\x0E\x04\x02\x00
MID_OP3_#006	Ainsi, vous êtes...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE001_イル\nIl s'agit vraiment de...\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08リュール\nOù suis-je ?\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE001_エル\nVous vous trouvez au château de Lythos.\nNous attendions impatiemment votre venue.\x0E\x04\x02\x00
MID_OP3_#010	Nous vous remercions d'avoir répondu\nà nos prières.\x0E\x04\x02\x00
MID_OP3_#011	\x0E\x06\x00 \x0EE001_エル\x0EMPID_El\nMon nom est Nel. Je suis l'un des dragons\nqui résident en ces lieux.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x06\x00 \x0EE001_イル\x0EMPID_Il\n\x0E\x03\x02\x10\x0EE001_イル\nEt je suis Nil, son frère jumeau.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08リュール\nC'est un plaisir de faire votre connaissance, Nel.\nLa vôtre également, Nil.\x0E\x04\x02\x00
MID_OP3_#014	Je suis \x0E\x06\x03\x00, le Dragon divin.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE001_エル\n\x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x10\x0EE001_イル\nVous êtes donc bien le Dragon divin !\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE001_エル\nLes voies du destin sont aussi cruelles que\nmystérieuses, je le crains...\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE001_イル\nQuoi qu'il en soit, c'est une immense joie\nde vous voir renaître ainsi.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08リュール\n« Renaître » ? Je ne comprends pas...\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE001_エル\nLe Dragon divin a péri.\x0E\x04\x02\x00
MID_OP3_#021	Vous avez succombé lors de la dernière guerre.\nNotre monde est depuis rongé par les ténèbres.\x0E\x04\x02\x00
MID_OP3_#022	Nous attendons depuis longtemps d'être sauvés.\nVotre apparition est la réponse à nos prières.\x0E\x04\x02\x00
MID_OP3_#023	Même si je ne cache point que j'aurais préféré\nne jamais vous revoir.\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE001_イル\nNel !\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x10\x0EE001_エル\nMais notre situation est désespérée...\net nous n'avons guère d'autre choix.\x0E\x04\x02\x00
