MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nPff, ça suffira pour l'entraînement\nd'aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nExcellent travail, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nヴァンドレ\nJe vous ai apporté une serviette chaude pour\nvous essuyer le visage, j'ai songé que cela\nvous rafraîchirait.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nMerci, Vander. C'est très aimable.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nJe vous ai aussi préparé des vêtements\npropres.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nLorsque vous vous changez, déposez\nvos effets usés dans le panier\net je les nettoierai pour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nJ'apprécie votre générosité, Vander, mais\nje préfère me charger de mon linge.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nVous avez certainement d'autres devoirs\nqui vous appellent.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nTous mes devoirs sont tournés vers votre\npersonne, Votre Divinité. Je vous en prie,\nn'ayez aucun scrupule.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nMais...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDéjà bien avant votre éveil, mon devoir\nétait de vous servir.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nEn vous occupant des tâches qui\nm'incombent, vous rendriez ma charge\nobsolète.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nAlors s'il vous plaît, laissez ces frivolités à leur\nplace, c'est-à-dire entre mes mains, et ne vous\nen préoccupez plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nEncore une fois, j'apprécie votre envie de\nm'aider, mais ça ne me met pas très à l'aise.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nヴァンドレ\nRien en Elyos ne saurait vous mettre mal\nà l'aise, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nJe me dois désormais d'insister pour que\nvous changiez vos vêtements trempés avant\nque la maladie ne s'en mêle.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité, j'ai achevé de réparer et polir\nvos armes.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMerci, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai aussi préparé tous les document dont vous\naurez besoin demain, pour le conseil de guerre.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nAyez l'obligeance de les relire dans la journée.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nJe regrette, mais je ne peux pas faire cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nFaire quoi, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nVander, me croyez-vous à ce point incapable ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nヴァンドレ\nPardon ? Mais allons, où allez-vous\nchercher pareille sottise ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nNous ne sommes que de pauvres mortels.\nTandis que vous, Votre Divinité, êtes le\nmagnifique astre guidant nos pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nVous efforcer d'effectuer mes modestes\ntâches est tout à votre honneur, mais ces\ntâches restent indignes de vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nJe suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nAvant de travailler pour vous, j'accomplissais\nle même devoir auprès de Sa Majesté Lumera.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nVotre mère, jouissant d'une grâce aussi bien\nà l'intérieur qu'à l'extérieur, ne s'est jamais\nplainte de mes services.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nAvec le temps, Votre Divinité, j'espère que\nvous vous habituerez à ma sollicitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nJe respecte ma mère et vous suis\nreconnaissant\x0E\x0A\x00\x06
