MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nFiou ! Je me suis suffisamment entraînée\npour aujourd'hui. Je suis en nage !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nC'était assez impressionnant. Tu dois être\népuisée ! Comme quoi, tu n'as pas changé d'un\npouce depuis que tu es arrivée dans ce monde.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Et sinon, tu te plais, ici ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nMaintenant que je me suis liée avec à peu\nprès tout le monde, je commence à me\nsentir chez moi, oui.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Et toi, alors ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nMoi ? On fait aller. J'ai eu un peu de mal\nà gérer toutes ces nouvelles amitiés faites\nd'un seul coup, tu vois...\x0E\x04\x02\x00
MID_RELIANCE_C_#007	J'ai jamais passé beaucoup de temps avec\nles autres, en fait, si on exclut les Quatre\nZéphyrs. Mais je vais m'y faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nC'est vrai qu'il y a beaucoup de monde, ici.\nÇa me rappelle un peu là où j'ai grandi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nTiens, on n'a jamais vraiment parlé de ça.\nElle était comment, ta famille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nマデリーン\nHeureuse. Mes parents étaient des chevaliers,\net je les avais érigés en exemples.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Je sais qu'ils m'aimaient de tout leur cœur.\nEt si je suis devenue chevalier à mon tour,\nc'était pour qu'ils soient fiers de moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nTout cet amour... Je t'avoue que ça\nme rendrait presque jaloux.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nEh bien... Grandir avec des parents qui t'aiment,\nça a l'air d'être une chance inestimable.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Et cette chance, tout le monde ne l'a pas.\nBon après, tout le monde n'est pas capable\nd'aimer, hein...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nHmm... J'ai l'impression qu'on ne parle\nplus du tout de moi, là...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nOh... pardon, j'avais pas l'intention de...\nFais comme si je n'avais rien dit.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Écoute, tu dois être épuisée par ton\nentraînement, et je ne voulais pas te\ndéranger. On discutera une autre fois.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nマデリーン\nTrès bien... Prends soin de toi, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSalut, Madeline. Tu t'entraînes encore,\naujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nBonjour, Gregory. Oui, je m'entraîne,\nmais j'étais justement sur le point de\nprendre une pause.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nJe m'excuse pour l'autre fois. Tu me parlais\nde tes parents, et j'ai tout ramené à moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nAh, mais ne t'en fais pas.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Néanmoins, j'en ai conçu du souci pour toi.\nEst-ce que tu accepterais de me parler\nun peu de ton passé ?\x0E\x04\x02\x00
