MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nSur un champ de bataille loin de ce qui vous est\nfamilier, saurez-vous prouver votre bravoure ?\x0E\x04\x02\x00
MID_OP1_#002	Qui s'éteindra dans le jardin anarchique\ndes plaisirs sanglants de la guerre ?\x0E\x04\x02\x00
MID_OP1_#003	Que s'embrasent les quatre trônes.\nQue les sept flammes reposent dans la sérénité.\x0E\x04\x02\x00
MID_OP1_#004	Quelqu'un, quelque part, connaît cependant\nla vérité.\x0E\x04\x02\x00
MID_OP1_#005	En ce monde, nul futur. Mon cœur solitaire\nne s'entend point battre en ce monde.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_イル\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nNous sommes arrivés, Votre Divinité.\nSoyez l\x0E\x0A\x00\x08\x02e\x02a bienvenu\x0E\x0A\x00\x06
MID_OP2_#002	Ha ha, je suis moi-même un visiteur en\nces lieux, mais quelques mots d'accueil\nme semblaient nécessaires.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nQuel sentiment étrange... Tout comme le\nchâteau de Lythos, cet endroit me semble\nfamilier et inconnu à la fois...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE002_エル\nBien, cette introduction terminée, je me permets\nde vous rappeler qu'une tâche d'importance\nnous attend.\x0E\x04\x02\x00
MID_OP2_#005	Nous devons nous rendre au château de Firene\net obtenir le Bracelet du Général Impétueux.\x0E\x04\x02\x00
MID_OP2_#006	Et le temps nous est compté, il est impératif\nde récupérer les sept bracelets avant l'ennemi.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x10\x0EE002_イル\nJ'espère que la famille royale acceptera de nous\nle remettre... Rien n'est moins sûr, je le crains.\x0E\x04\x02\x00
MID_OP2_#008	Le tempérament des Firéniens peut s'avérer\nimprévisible, comme nous le savons...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nComment cela ? Le peuple de Firene que\nje connais est pacifique et aimable.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE002_イル\nVraiment ? Dans ce monde, ils sont vindicatifs\net prompts à recourir à la violence...\nen particulier les membres de la famille royale.\x0E\x04\x02\x00
MID_OP2_#011	Cela en fit de précieux alliés lors des conflits\nantérieurs, malgré leur aversion pour les\nDragons déchus.\x0E\x04\x02\x00
MID_OP2_#012	Mais depuis la mort du Dragon divin, nous ne\nles avons plus jamais revus en Lythos.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nQui est à la tête de cette nation ? La reine Ève ?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x10\x0EE002_エル\nNon. Elle a péri lorsque commença le dernier\nconflit.\x0E\x04\x02\x00
MID_OP2_#015	Son trône est demeuré vacant jusqu'au terme\nde la guerre. Le roi Alfred a alors pris sa place.\x0E\x04\x02\x00
