MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\nAh ! Une Aberration !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIl y a des Aberrations ? Où ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nDiamant ! À l'aide !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nHyah !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nMerci de vous être porté à mon secours,\nDiamant, et désolé\x0E\x0A\x00\x06
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nVous ne m'importunez pas. Toutefois,\nsi je puis me permettre...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nComment cette créature est-elle parvenue à\nmettre en déroute Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nElle est venue de nulle part ! J'ai pris mes\njambes à mon cou. Je... Je ne suis pas très\nau point en ce qui concerne les Aberrations.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nPas très au point ? Pourtant, vous vous en\nsortez très bien sur le champ de bataille.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas pareil. En combat, je peux les voir\nvenir et me préparer avant de les affronter.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nCette Aberration m'a pris\x0E\x0A\x00\x06
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nHors du champ de bataille, je constitue\nune cible facile pour elles.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nHm, j'ai du mal à vous suivre...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nY a-t-il quelque chose qui vous donne\nla chair de poule, Diamant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOui, sans doute... les chenilles poilues\nme font souvent un tel effet.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nBien, imaginez que vous vous savez sur le point\nde voir une imposante chenille. Vous pourriez\nvous préparer.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEt maintenant, imaginez que vous êtes\ntranquillement en train de dîner, et qu'une telle\ncréature tombe soudain dans votre assiette.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nNe seriez-vous pas effrayé ? Ne bondiriez-vous\npas de surprise ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSi, certainement.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nPour moi, il en va ainsi des attaques inopinées\nd'Aberrations. Comme des chenilles tombant\ndans mon assiette.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nJe comprends mieux. Votre explication est\nlimpide, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08リュール\nMon exemple était un peu curieux, mais je suis\ncontent\x0E\x0A\x00\x06
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08リュール\nDésolé\x0E\x0A\x00\x06
