MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nスフォリア\x023\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nReine Seforia !\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nEnfin ! Vous en avez mis, du temps.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nミスティラ\nLaissez-la partir.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nHum, je ne pense pas. Et ne vous avisez pas\nd'approcher davantage.\x0E\x04\x02\x00
MID_OP1_#005	J'ai un Anneau d'Emblème. Je peux la faire\ndisparaître en un clin d'œil.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nスフォリア\nDésolée, tout le monde. Je n'avais pas réalisé\nqu'elle était encore du côté d'Elusia.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nJe ne vois aucun autre soldat.\nVous êtes entrée toute seule ?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nOui. J'ai dit aux gardes que j'avais été séparée\nd'Ivy et ils m'ont laissée entrer.\x0E\x04\x02\x00
MID_OP1_#010	Maintenant, je vous laisse le choix :\nremettez-moi les anneaux ou je tue\nla reine.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nHortensia. Ne fais pas cela.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nÇa fait un bail, Ivy... Tu sais,\nje... je te croyais morte.\x0E\x04\x02\x00
MID_OP1_#013	J'étais si heureuse quand j'ai su que\ntu t'en étais tirée. Et qu'est-ce que\nj'apprends ? Tu es avec eux ?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08アイビー\nEh bien, je...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nDepuis que Père s'est sacrifié, Elusia travaille\nde concert avec le seigneur Sombron.\x0E\x04\x02\x00
MID_OP1_#016	Mais toi ? Tu nous as abandonnés, tu m'as\nabandonnée... et tu t'es rangée du côté\nde l'ennemi.\x0E\x04\x02\x00
MID_OP1_#017	Tu es une traîtresse, Ivy ! Une sale traîtresse !\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08アイビー\nJe n'ai trahi personne. Hortensia, je t'en prie,\nécoute-moi.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe ne veux pas écouter un seul mot qui sorte de\nta sale bouche de traîtresse. Donne-moi juste\nles anneaux.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP1_#021	Non, Hortensia. Hors de question.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nPardon, n'ai-je pas été assez claire ?\nRemettez-les-moi ou je tue la reine.\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x0A\x08リュール\nJ'ai entendu, mais je refuse de me plier\nà vos exigences.\x0E\x04\x02\x00
MID_OP1_#024	Ce serait gâcher tout ce que Timerra,\nFogado et elle, sans oublier le peuple\nde Solm, ont accompli.\x0E\x04\x02\x00
MID_OP1_#025	Donc non, je ne vous donnerai pas les anneaux.\nEt je ne vous laisserai pas tuer la reine Seforia\nnon plus.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nArgh !\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nJe suis d'accord avec le Dragon divin.\nCes anneaux restent avec nous.\x0E\x04\x02\x00
MID_OP1_#028	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nParfait.\x0E\x04\x00\x00
