MID_BGM_Evt_Amb_Lithos_ST_Play	Jardins de lumière
MID_BGM_Evt_Amb_Lithos_Black_ST_Play	Couloirs des ténèbres
MID_BGM_Evt_Amb_Lithos2_ST_Play	Terre sainte de Lythos
MID_BGM_Evt_Amb_Lithos2_Black_ST_Play	Terre embrasée de Gradlon
MID_BGM_Evt_Ring_ST_Play	Les douze étoiles
MID_BGM_Evt_Tutorial_ST_Play	Réunion filiale
MID_BGM_Evt_Advent_Sigurd_ST_Play	Emblème de la Guerre Sainte
MID_BGM_Evt_Lumiere_Die_ST_Play	Promis juré
MID_BGM_Evt_Amb_Filene_ST_Play	Firene l'abondante
MID_BGM_Evt_Danger1_ST_Play	Urgence
MID_BGM_Evt_Danger2_ST_Play	Attaque surprise
MID_BGM_Evt_Advent_Cellica_ST_Play	Emblème des Échos
MID_BGM_Evt_Brave_ST_Play	Un espoir s'éveille
MID_BGM_Evt_Veyre_ST_Play	Les meilleures intentions
MID_BGM_Evt_Determination_Filene_ST_Play	Bataille pour la paix
MID_BGM_Evt_Disturb1_ST_Play	Projections ombrageuses
MID_BGM_Evt_Disturb2_ST_Play	Intrigues
MID_BGM_Evt_Funny_ST_Play	Coucou à vous !
MID_BGM_Evt_Advent_Micaiah_ST_Play	Emblème de l'Aurore
MID_BGM_Evt_Tension1_ST_Play	Confrontation
MID_BGM_Evt_Tension2_ST_Play	Bataille à l'horizon
MID_BGM_Evt_Amb_Brodia_ST_Play	Brodia la guerrière
MID_BGM_Evt_Collide_ST_Play	Conflit
MID_BGM_Evt_Appear_Diamand_ST_Play	Le prince de la guerre
MID_BGM_Evt_Advent_Roy_ST_Play	Emblème du Sceau
MID_BGM_Evt_Appear_Ivy_ST_Play	Une princesse songeuse
MID_BGM_Evt_Advent_Leif_ST_Play	Emblème de la Généalogie
MID_BGM_Evt_Determination_Brodia_ST_Play	Bataille pour l'honneur
MID_BGM_Evt_Amb_Ircion_ST_Play	Elusia la sage
MID_BGM_Evt_Danger_Church_ST_Play	Tragédie
MID_BGM_Evt_Veyre_Exposed_ST_Play	Les pires atrocités
MID_BGM_Evt_Advent_Lucina_ST_Play	Emblème de l'Éveil
MID_BGM_Evt_Amb_Solum_ST_Play	Solm la libre
MID_BGM_Mov_Vigilante_ST_Play	Rose du désert
MID_BGM_Evt_Vigilante_ST_Play	Les Sentinelles
MID_BGM_Evt_4ku_ST_Play	Les Chacals du Dragon déchu
MID_BGM_Evt_4ku_Sad_ST_Play	Rêves de famille
MID_BGM_Evt_Misutira_Song_ST_Play	La princesse de la liberté
MID_BGM_Evt_Advent_Ike_ST_Play	Emblème du Rayonnement
MID_BGM_Evt_Determination_Solum_ST_Play	Bataille pour la liberté
MID_BGM_Evt_Determination_Ircion_ST_Play	Bataille pour la foi
MID_BGM_Evt_Advent_Eirika_ST_Play	Emblème du Sacré
MID_BGM_Evt_Veyre_Truth_ST_Play	Ailes déchues
MID_BGM_Evt_Veyre_Sad_ST_Play	Des sentiments ambivalents
MID_BGM_Evt_Determination_ST_Play	Le règne de la puissance
MID_BGM_Evt_Past_ST_Play	Deux rencontres
MID_BGM_Evt_BlackLumiere_ST_Play	Un millénaire de solitude
MID_BGM_Evt_BlackLumiere_Die_ST_Play	Merci... Mère
MID_BGM_Evt_Determination_Last_ST_Play	Retour à la vie
MID_BGM_Evt_26OP_ST_Play	Clair obscur
MID_BGM_Evt_26ED_ST_Play	Périples originels
MID_BGM_Evt_Advent_Lyn_ST_Play	Emblème des Flammes
MID_BGM_Evt_Advent_Byleth_ST_Play	Emblème de l'Académie
MID_BGM_Evt_Advent_Corrin_ST_Play	Emblème des Destinées
MID_BGM_Evt_Restart_ST_Play	Un dragon qui sauve le monde
MID_BGM_Evt_Daily1_ST_Play	Conversation amicale
MID_BGM_Evt_Daily2_ST_Play	Un jour comme les autres
MID_BGM_Evt_Daily3_ST_Play	Quiétude
MID_BGM_Evt_Warm_ST_Play	La chaleur des sentiments
MID_BGM_Evt_Engage_ST_Play	Fusion
MID_BGM_Evt_Consultation_ST_Play	Délibération
MID_BGM_Evt_Kindness_ST_Play	Affection
MID_BGM_Evt_P05_OP_ST_Play	Pluie glaçante
MID_BGM_Evt_NewEmblem_ST_Play	Le miracle des Emblèmes
MID_BGM_Evt_Advent_Marth_ST_Play	Emblème du Commencement
MID_BGM_Evt_Veyre_Truth_CS19_ST_Play	Sonnez le glas
MID_BGM_Evt_26ED2_ST_Play	Adieux chaleureux
MID_BGM_Mov_GOP_ST_Play	Fusion de l'Emblème
MID_BGM_Mov_S02_ST_Play	Rêve draconique
MID_BGM_Mov_Eleos_ST_Play	Histoire d'Elyos
MID_BGM_Mov_Red_ST_Play	Souvenirs du temps jadis
MID_BGM_Mov_Appear_Alfred_ST_Play	Le prince de l'abondance
MID_BGM_Mov_Appear_Sombre_ST_Play	Sombron le Dragon déchu
MID_BGM_Mov_Lueur_Die_ST_Play	Mort du Dragon divin
MID_BGM_Mov_S18_ST_Play	Le sixième continent
MID_BGM_Field_P00_ST_Play	Combat épuisant
MID_BGM_Field_P00_Heavy_ST_Play	Combat épuisant (lugubre)
MID_BGM_Field_P01_Map_ST_Play	Lointaine terre sainte
