MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nPfiou. Je pense que j'ai assez couru\npour aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nCet exercice a dû vous faire du bien, Etie !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nOh, c'est toi. Que fais-tu ici ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nJe me suis dit que ceci vous ferait plaisir,\nquand vous auriez fini.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nQu'y a-t-il dans ce pot ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nDes légumes que j'ai fait mariner. Ils devraient\nvous aider à récupérer après l'effort !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nTenez, goûtez-en un.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nEh bien, pourquoi pas ? Merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nOh ! Ce n'est pas mauvais. Et cette acidité...\nExactement comme je l'aime.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nJe suis content d'avoir vu juste.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nComme vous prenez soin de votre corps,\nj'ai préparé quelque chose de bon et de sain.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nVraiment ? Tu as fait ça pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nOui ! Et c'est pas tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nJe les ai mis sous mon oreiller pour dormir,\nun peu comme les poules font avec leurs œufs.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nSérieusement ? C'est... à la fois mignon\net bizarre. Tu es quelqu'un de bien, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nVous pouvez garder le pot. Et si vous en voulez\nd'autres, hésitez pas à me demander !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nOh, c'est promis. Merci d'avoir illuminé\nma journée !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nTe voilà, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nVous me cherchiez ? Vous avez déjà mangé\ntous les légumes marinés ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nJ'ai un peu honte de l'avouer, mais oui.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nVous avez pas perdu de temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nMais je vous ai vue vous entraîner dur, alors\nje me suis dit qu'ils ne feraient pas long feu.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nTu m'impressionnes. Tu es toujours\naux aguets, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nHé hé. Ce n'est pas grand-chose. J'essaie juste\nd'apporter mon aide à nos vaillants soldats.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nCes légumes m'ont fait un bien fou. J'avais\nsouvent des courbatures, après mes exercices.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nMais depuis que je les mange, je n'en ai plus\ntellement eu.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nEt puis ils sont délicieux. J'avais du mal\nà me retenir d'en reprendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nVraiment ?! Vous n'avez pas idée de la joie\nque ça me procure ! Je vais vous préparer\nune troisième ration.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nCela ne te dérange vraiment pas ?\nJ'en serais enchantée !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nOh, vous avez une préférence, pour le\nchoix des légumes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nC'est vraiment selon votre choix. Il est possible\nde faire mariner à peu près n'importe quoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nHm... Pour l'instant, je n'ai pas d'envie précise.\nAccepterais-tu de décider pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nAprès tout, j'ai l'impression que tu connais déjà\ntrès bien mes goûts.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nHa ha ! On dirait, oui. Ne vous inquiétez pas,\nje vais choisir les légumes idéaux pour vous !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nJe n'en ai aucun doute.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x08\x06クラン\nBonjour, Etie. Votre nouveau pot de légumes\nmarinés est prêt.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nCette fois-ci, j'ai concocté un mélange\nde trois légumes. Mais je dois dire...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nTu n'es pas satisfait du résultat ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nIls ne sont pas très bons, au final. Toutes mes\nexcuses, je ne devrais pas vous les donner.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nJe pensais vraiment que mon mélange serait\nun succès, mais je me suis trompé.\nJe devrais probablement tout recommencer.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nエーティエ\nHé, Clanne. Ne t'en inquiète pas trop.\nLeur goût ne sera pas un problème pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nHein ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nJ'adore le goût de tes légumes marinés, mais\nje suis encore plus friande de tout le soin que\ntu y as apporté.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nTu n'as pas mariné n'importe quels légumes,\ntu savais qu'ils étaient pour moi avant même\nde te mettre à la tâche.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nTu as à l'évidence mûrement réfléchi ta recette\npour qu'elle me plaise.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nTes légumes marinés ne sont pas qu'un baume\nsur mes muscles endoloris.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nCes petits bijoux culinaires aident aussi\nà apaiser mon esprit.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nAlors que leur goût ne te mine pas trop.\nJe les dégusterai quand même avec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nEtie... C'est très gentil.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nOh. C'est votre ventre qui gargouille ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nTu l'as aussi entendu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nAlors quand vous disiez que le goût n'avait pas\nd'importance, vous parliez avec votre cœur...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nOu avec votre estomac ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nJe l'ai dit du fond de mon cœur !\nPff. Ne me force pas à le retirer.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nOh, il est presque l'heure de votre séance\nd'exercice, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nTout à fait. Me donnerais-tu quelques légumes\nmarinés avant que je commence ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\nNe venez pas dire ensuite que je ne vous ai\npas prévenue.\x0E\x04\x00\x00
