MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe vous ai apporté quelque chose à manger,\nDame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAaah ! Zephia...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAh non... Vous êtes Zelestia, c'est bien ça ?\nJe suis désolée. Oubliez ce qu'il vient de\nse passer.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nEst-ce que vous allez bien ? On dirait que\nvous transpirez.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Si vous le permettez, je peux éponger\nvotre transpiration.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Allez, j'en ai pour un instant.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAh, mais non ! Je peux très bien faire ça\ntoute seule !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nAllons, ça ne me gêne pas du tout. Je ne\ndemande qu'à m'occuper de vous.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Je pourrais prendre soin de vos cheveux !\nIls sont magnifiques. Une jolie coiffure vous\nirait à ravir, j'en suis sûre.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Oh, j'ai une idée ! Je vous ferais bien une\nnatte.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nEuh... Merci...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nHmm hm-hm... Oh...\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Euh... Vous souvenez-vous comment on\nfait une natte, sur quelqu'un d'autre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nPardon ?\x0E\x04\x00\x00
