MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nAuriez-vous un moment, Ivy ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nBien sûr, Dame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJe tenais vraiment à vous présenter mes\nexcuses.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nPour la façon dont mon père a fait perdre\nla tête au vôtre...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nJe vous arrête tout de suite.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOn dit que c'était un bon roi, avant... et qu'il\nprenait soin de son peuple autant que de sa\nfamille.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nC'est à cause de mon père qu'il n'est plus\nauprès des siens... qu'il n'est plus auprès\nde vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nJe vous prie de vous arrêter.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nC'est du passé, tout cela. Il est inutile de le\nfaire revenir à la surface.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nJe sais que vous voyez les choses ainsi, mais...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nVous ne me devez aucune excuse. Vous n'êtes\npas responsable des crimes de votre père.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nJe crois que vous vous trompez. Je vous en\nprie, laissez-moi me racheter !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nEh bien, vous êtes vraiment têtue !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nSoit. Je réfléchirai donc à quelque pénitence à\nvous infliger lors de notre prochaine rencontre.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nMerci. Je ferai tout ce que vous\nme demanderez.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nVous finirez peut-être par le regretter.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nIvy, cela n'a rien de...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nTrop tard, vous ne pouvez plus reculer. Vous\navez dit que vous feriez tout ce que je vous\ndemanderai.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nC'est vrai, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nIl n'y a pas de « mais ».\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nSi vous voulez vous racheter à mes yeux, vous\nallez devoir terminer ce plat monstrueusement\népicé. Jusqu'à la dernière miette.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nQue se passe-t-il ? La peur vous paralyse-t-elle\nau point de vous faire perdre votre langue ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nJ'y suis peut-être allée un peu fort. Dans ce\ncas, une cuillerée suffira. Tout sera pardonné.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nMais c'est seulement parce que vous insistez.\nN'oubliez pas que pour ma part, je ne trouve\nrien à vous reprocher.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nUn instant.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nVous avez l'air de vous régaler... J'ai pourtant\nveillé à pimenter la recette jusqu'à la limite de\nl'insoutenable !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nJ'adore tous les plats épicés !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nMon père m'a dit que vous les aviez en horreur.\x0E\x04\x00\x00
