MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nSalut, Princesse Ivy !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nBonjour, Princesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nRegardez-nous donc ! Deux futures reines\nqui passent du temps ensemble, comme si\nde rien n'était.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nIl est vrai qu'un jour, je régnerai sur Elusia,\net que vous dirigerez Solm...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nMais en dehors de notre statut royal, il ne\nme semble pas que nous ayons le moindre\npoint commun.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nJe ne crois pas que nous soyons si différentes\nque ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nVraiment ? Pourtant, notre personnalité et\nnotre apparence sont diamétralement opposées.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nCe n'est pas un jugement de valeur. Je constate\nsimplement que nous sommes différentes.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nHmm, vous n'avez pas tort.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nJe n'ai jamais sillonné mes terres dans l'optique\nde combattre des bandits, ni même dormi à la\nbelle étoile...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nNon ? Vous n'avez jamais dormi à la belle\nétoile ? Vous savez pas ce que vous ratez !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nCe n'est pas un hasard si les gens dorment\nentre quatre murs. Je ne vois pas l'intérêt\nde faire différemment.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nVous verrez les choses autrement après votre\npremière nuit sous la voûte céleste !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nMais je n'ai aucune raison de...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nHm.\x0E\x04\x00\x00
