MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nLouis ! Tu étais encore en train de m'épier ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nEn effet. Toi et l'ensemble des gentes dames\nqui t'accompagnent.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nLa vue d'un tel spectacle m'enchante au-delà\nde tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nÀ t'entendre, on dirait que tu contemples\nun tableau dans un musée.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nIl est vrai que c'est pour moi la meilleure\nforme d'art, face à laquelle les musées les mieux\npourvus ne font que pâle figure.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nIl y a là tant de subtilités et de nuances à\nentrevoir que je pourrais les observer tout\nle jour durant.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nEt c'est vraiment ta seule raison ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nCe n'est pas différent de la contemplation\nd'un beau paysage. Je m'assieds tranquillement\net je me laisse apaiser.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nIl n'y a aucun mal à observer les gens, et si\nquelqu'un peut se ranger à mon avis, c'est\nbien toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nOui... Expliqué ainsi, je suppose que\nje ne peux que comprendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nJe sais que tu es aussi capable d'interrompre\ntoute besogne pour t'abandonner à la rêverie\net songer à quelque scène pittoresque...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nUne princesse et son chevalier... Un prince et\nsa servante... oh, ou un chevalier pégase et une\njeune fille !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nToutes ces scènes adorables tout droit sorties\nd'un conte de fées... Je les adore !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nNous sommes des âmes sœurs à cet égard.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nIl me vient une idée. Pourquoi ne nous\noffririons-nous pas une petite séance de\ncontemplation à l'occasion ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nNous pourrions nous montrer des scènes\nravissant nos yeux respectifs, tout en nous\ntenant à distance.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nOui, ce serait amusant. C'est quand tu veux !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nRegarde un peu ça, Louis. Ce couple qui\npartage un repas n'est-il pas adorable ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nLa jeune fille portant les mets à la bouche du\ngarçon, et celui-ci lui rendant la pareille.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nIls sont si proches... comme les princes et\nles princesses des contes de fées.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nQuel spectacle, en effet. On se met à\ns'imaginer comment ils vivent, comment\nils se sont rencontrés...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nCela me change agréablement, d'observer\ndes scènes selon tes goûts de temps en temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nOh... Pour quelqu'un qui vient de parler de\nsensation agréable, tu n'as pas l'air fasciné.\x0E\x04\x00\x00
