MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh, Ivy. Que puis-je faire pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nRien du tout, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nDois-je forcément avoir besoin de quelque\nchose pour avoir le droit de me tenir à\nvos côtés ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nNon, ce n'est pas cela...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nTrès bien. Dans ce cas, ne faites pas attention\nà moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas si simple, vous me lancez des\nregards... courroucés.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nLe royaume d'Elusia vénère le Dragon déchu,\nje crois ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nÉvidemment, cela explique que vous ne vous\nsentiez pas particulièrement à l'aise auprès\nde moi...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nVous ignorez tout de ce que je ressens.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nPeut-être pourriez-vous tenter de m'expliquer ?\nJ'aimerais beaucoup comprendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nCela comblerait peut-être un peu le fossé\nqui nous sépare.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nC'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nMais d'abord... il faudrait commencer par nous\nfaire l'un\x0E\x0A\x00\x06
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nJe vous laisse, pour le moment...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nJe vous vénérerai de loin.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nMe vénérer ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nNe croyez-vous pas qu'il est temps que\nnous discutions, Ivy ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nQuels que soient vos sentiments à mon égard,\nje suis prêt\x0E\x0A\x00\x06
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nNous sommes allié\x0E\x0A\x00\x06
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nTrès bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nJe crois m'être faite à votre présence.\nNous pouvons donc nous entretenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nJ'en suis ravi\x0E\x0A\x00\x06
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nEt si vous commenciez par me dire la raison\npour laquelle je vous inspire toute cette colère ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nJe vous aime.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nJe vous aime, Votre Divinité, et j'ai formé ce\nsentiment avant même de vous connaître.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nNotez que ce sentiment n'a rien de romantique.\nC'est l'amour du croyant pour une divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nMais... vous me regardiez avec des yeux\nluisants de rage...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nPure nervosité, entièrement imputable à la\nproximité de m\x0E\x0A\x00"\x0Eon dieu\x10a déesse sous sa forme incarnée.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nComprenez-vous, à présent ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nEh bien, oui... Merci de m'avoir ouvert votre\ncœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nMoi aussi, je... vous apprécie, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nOui...\x0E\x04\x00\x00
