MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nOn peut savoir pourquoi vous me *fixez*\ncomme ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nBien le bonjour, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous ai posé une *question*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Je vous assure que je ne voulais rien\nde particulier.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nCependant, si vous avez un peu de temps,\npuis-je vous convier à déguster une tasse\nde thé avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nCette *invitation* tombe comme un cheveu\ndans la soupe. On ne peut pas dire que nous\nsoyons amis, tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nC'est justement pour cette raison que\nje vous invite. Je ne demande rien de mieux\nqu'apprendre à davantage vous connaître.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nÉpargnez-moi ces *prétextes*, je vous prie.\nQue voulez-vous au juste ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nCher Zelkov, je ne nourris nulle arrière-pensée.\nJe désire seulement tisser un lien avec vous\nautour d'une tasse de thé.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est regrettable, dans ce cas, mais je me vois\ndans l'obligation de *refuser*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nQuel dommage. Je suppose que je n'ai plus\nqu'à jeter le thé apaisant que j'avais préparé\npour l'occasion.\x0E\x04\x00\x00
